work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
16071356,Baby,/users/ohohomos/pseuds/caratkat,No Archive Warnings Apply,General Audiences,M/M,SEVENTEEN (Band),Kim Mingyu/Lee Jihoon | Woozi,"Kim Mingyu, Lee Jihoon | Woozi, Lee Seokmin | DK, Choi Seungcheol | S.Coups, Hong Jisoo | Joshua, Jeon Wonwoo",Age Regression/De-Aging,English,2018-09-21,Completed,2018-09-21,1996,1/1,1,7,null,106,"Jihoon was confused. He've seen Mingyu cried a couple of times, and it was never like this. This means ugly sobbing like a toddler."
16069424,The Winchesters and oral fixation.,/users/fictionalabyss/pseuds/fictionalabyss,No Archive Warnings Apply,Explicit,Multi,Supernatural,"Dean Winchester/You, Dean Winchester/Sam Winchester/You","You, Reader, Dean Winchester, Sam Winchester","Wincest Undertones, Oral Fixation, Oral Sex",English,2018-09-21,Completed,2018-09-21,1305,1/1,null,8,null,312,It's well known that Dean Winchester has an oral fixation.Sam is starting to notice that he may have one too. He loves to watch people put things in their mouths. Written for : SPN KinkBingoSquare : Oral Fixation.
16064750,(I Wish I Could Keep) You in My Arms,/users/lavenderlotion/pseuds/lavenderlotion,Creator Chose Not To Use Archive Warnings,Explicit,M/M,Teen Wolf (TV),Isaac Lahey/Stiles Stilinski,"Isaac Lahey, Stiles Stilinski, Sheriff Stilinski","Established Relationship, Implied/Referenced Child Abuse, Implied/Referenced Alcohol Abuse/Alcoholism, Good Parent Sheriff Stilinski, Hurt/Comfort, Shower Sex, Hand Jobs, thigh fucking, Cuddling & Snuggling, Fluff and Angst",English,2018-09-21,Completed,2018-09-21,3467,1/1,14,79,13,430,"“Hi, baby,” Stiles whispers, and Isaac's breath shudders out of him in a warm exhale that hits Stiles' eyes. Isaac initiates the kiss, leaning down and pressing their lips together. It's achingly gentle, one of Stiles' favourite way to kiss him. He smooths his thumbs over Isaac's jaw, catching his bottom lip between his own. When Isaac pulls back he chases forward, just a little, pressing one last smooching kiss to Isaac's lips."
16062689,A Loose Thread,/users/ClaraHolsworthy/pseuds/ClaraHolsworthy,Creator Chose Not To Use Archive Warnings,Not Rated,Gen,Original Work,,,"Poetry, connection",English,2018-09-21,Completed,2018-09-21,85,1/1,null,null,null,2,
16062413,Sleepover,/users/Writerleft/pseuds/Writerleft,No Archive Warnings Apply,Teen And Up Audiences,F/F,Avatar: Legend of Korra,Korra/Asami Sato,"Korra, Asami Sato","Fluff, Book 3, Silly, how does Korra not know?, how can she possibly not know?, Korrasami Week 2018, Prompt: Roommates",English,2018-09-21,Completed,2018-09-21,2565,1/1,29,100,5,944,The problem with rooming with the person you've had fantasies with? The fantasies don't go away!
16061549,Of The Same Cloth,/users/ThatAcePaladin/pseuds/ThatAcePaladin,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply",General Audiences,"F/M, Gen, Other",Voltron: Legendary Defender,"Allura/Shiro (Voltron), Allura & Shiro (Voltron), Shiro & Black Lion (Voltron)","Shiro (Voltron), Allura (Voltron), Black Lion (Voltron), Krolia (Voltron), Blue Lion (Voltron), Keith (Voltron)","Shallura Week 2018, Missing Scene, Episode: s07e05 The Ruins, Soul Bond, Misunderstandings, Aftermath of Violence, Canonical Character Death, canonical character revival, Emotional Hurt/Comfort, Shallura Week prompt Body | Soul, I cheated and used both whoops, it ends happy there's just confusion and misunderstands on both sides, Forehead Touching, Canon Character Injury, Past Adam/Shiro (Voltron), Canon Queer Character, Heartfelt Discussions, Sentient Voltron Lions, Voltron Lion to Paladin Psychic Bond, Bottling up your emotions just makes a molotov cocktail kids, Mental Link, Unresolved Romantic Tension Getting Resolved, Paladin/Lion Bonds",English,2018-09-21,Completed,2018-09-21,3348,1/1,null,17,null,131,"Shiro's return to the physical realm was shaky at best, and the following month was fraught with confusion, hesitation, and relearning his place in the lives of those he loved. Even though Allura had harbored his soul in her own body and brought him back to life, she distanced herself from him as he regained his strength. Shiro feared that Haggar's actions through the clone had harmed Allura more than she let on. The Black Lion was silent in his head but a new bond had taken its place, faint and seemingly tied to Allura's emotions. And then Allura is attacked by the Druid on the ruined planet and Shiro was able to feel her pain, and realized he couldn't let the bond between them go unacknowledged any longer."
16061498,Dance of the Hours,/users/Wolf_of_Lilacs/pseuds/Wolf_of_Lilacs,No Archive Warnings Apply,General Audiences,Gen,Harry Potter - J. K. Rowling,Harry Potter & Tom Riddle,"Harry Potter, Tom Riddle","Tom In Harry's Time, unadulterated fluff, Asexuality, Aromantic, Prompt Fill",English,2018-09-21,Completed,2018-09-21,1101,1/1,4,16,4,84,"Harry and Tom are trapped in a room together. They endeavor to figure out why, and end up as friends in the process."
16061414,Cocoon,/users/SomewhereApart/pseuds/SomewhereApart,No Archive Warnings Apply,General Audiences,F/M,Once Upon a Time (TV),Evil Queen | Regina Mills/Robin Hood,"Evil Queen | Regina Mills, Robin Hood (Once Upon a Time)",InspiredbyOQ,English,2018-09-22,Completed,2018-09-22,494,1/1,6,28,1,289,"Robin's used to sleeping rough, but sleeping beside a queen has its own challenges."
16061351,Luxury Tax of Love,/users/Pink_Ego/pseuds/Pink_Ego,Creator Chose Not To Use Archive Warnings,General Audiences,M/M,Game Grumps,Dan Avidan/Arin Hanson,"Dan Avidan, Arin Hanson","monopoly, proposal",English,2018-09-22,Completed,2018-09-22,774,1/1,2,9,1,null,"After playing Monopoly twice, Dan thinks up an interesting way to propose."
16061348,Dumb Bitch Energy,/users/starboyshiro/pseuds/starboyshiro,No Archive Warnings Apply,Teen And Up Audiences,M/M,Voltron: Legendary Defender,"Kuro/Lance (Voltron), Background Shunk - Relationship","Lance (Voltron), Kuro (Voltron), Shiro (Voltron), Hunk (Voltron)","Kuro's real dumb, Alcohol, Alternate Universe - Modern Setting, Mario Kart, First Meetings",English,2018-09-22,Completed,2018-09-22,1756,1/1,4,19,3,103,Kuro's a dumb bitch and doesn't know how to act in front of Lance.
16061333,The Summer Boundary,/users/JustALittleProblem/pseuds/JustALittleProblem,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,NCT (Band),Lee Donghyuck | Haechan/Mark Lee,"Mark Lee (NCT), Lee Donghyuck | Haechan, NCT Dream Ensemble","I put dream ensemble but its really just mentioned, Hurt/Comfort, Ambiguous/Open Ending, Light Angst, Summer, Boys In Love, Bullying, But only a little",English,2018-09-22,Completed,2018-09-22,1803,1/1,10,40,7,339,There’s nothing left for Donghyuck in this sleepy old ghost town.
16061321,This is What Love Is,/users/SleepyEye/pseuds/SleepyEye,Creator Chose Not To Use Archive Warnings,General Audiences,F/M,Cormoran Strike Series - Robert Galbraith,Robin Ellacott/Cormoran Strike,,"Love, First Kiss, One Shot, fluff n stuff",English,2018-09-22,Completed,2018-09-22,1491,1/1,7,45,null,512,Not really any spoilers.
16061312,The Night Before,/users/Tamatoa/pseuds/Tamatoa,No Archive Warnings Apply,Teen And Up Audiences,M/M,A Tale of Two Cities - Charles Dickens,Sydney Carton/Charles Darnay,"Sydney Carton, Charles Darnay, Lucie Manette (mentioned)","implied later death, Or not, depends how you interpret it, sorry dickens, Kissing, Alcohol, Depression",English,2018-09-22,Completed,2018-09-22,898,1/1,null,2,null,2,"Canon divergent: the night before the plot, Sydney and Charles share a moment of understanding that changes the way they see each other— and for Sydney, the way he sees the rest of the world."
16061282,Bubble Baths,/users/HaJunJun/pseuds/HaJunJun,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,bangtansonyeondan | Bangtan Boys | BTS,Jeon Jungkook/Min Yoongi | Suga,"Jeon Jungkook, Min Yoongi | Suga","Weight Gain, Chubby Kink, Belly Kink, stuffing kink, feedee yoongi, feeder jungkook, feederism, chubby yoongi",English,2018-09-22,Completed,2018-09-22,1162,1/1,2,45,3,917,Yoongi doesn’t want to take off his sweater.
16061276,Breakthrough,/users/the_transfeminine_mystique/pseuds/the_transfeminine_mystique,No Archive Warnings Apply,Explicit,F/F,Overwatch (Video Game),"Moira O'Deorain/Angela ""Mercy"" Ziegler","Moira O'Deorain, Angela ""Mercy"" Ziegler","angela is a brat, but literally what's new, that's basically canon",English,2018-09-22,Completed,2018-09-22,1605,1/1,3,75,3,573,"It's after midnight in the lab, and Moira has made a breakthrough."
16061273,arsenic and smoke,/users/The_Snazziest_Dragon/pseuds/The_Snazziest_Dragon,Major Character Death,Teen And Up Audiences,"Gen, M/M",bangtansonyeondan | Bangtan Boys | BTS,Kim Namjoon | RM/Min Yoongi | Suga,"Min Yoongi | Suga, Kim Namjoon | RM","POV Second Person, Min Yoongi | Suga-centric, Character Death, Smoking, Cigarettes, Angst, Heavy Angst, Hurt No Comfort, this work had so many potential titles idk, lapslock",English,2018-09-22,Completed,2018-09-22,1085,1/1,null,6,2,85,grief and smoke make yoongi’s head spin more than the love his heart once held.
16061267,where the hell would i be,/users/softwheeze/pseuds/softwheeze,Major Character Death,Teen And Up Audiences,M/M,Buzzfeed Unsolved (Web Series),"Ryan Bergara & Shane Madej, Ryan Bergara/Shane Madej",Ryan Bergara,"Grieving!Ryan, vent - Freeform, made this because I'm sad I'll probably never meet the boys, Implied Feelings, Buzzfeed Unsolved Supernatural, Grieving, Drabble, One Shot, Angst",English,2018-09-22,Completed,2018-09-22,225,1/1,null,5,null,131,"Leaves crunched under Ryan’s boots as he walked out on a field, hands in his pockets."
16061222,flying too close,/users/transtooru/pseuds/transtooru,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,Dabi/Hawks (My Hero Academia),"Hawks (My Hero Academia), Dabi (My Hero Academia)","Angst, ish?, post sex, lots of greek mythology references, im a slut for icarus",English,2018-09-22,Completed,2018-09-22,784,1/1,null,32,1,220,"icarus is flying too close to the sunand icarus’s life— it had only just begun in which hawks pines for the boy warming his bed, but never for long."
16061213,unsolvable.,/users/abrogxte/pseuds/abrogxte,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,Wen Hao sutoreidotsugusu | Bungou Stray Dogs,Edogawa Ranpo/Edgar Allan Poe (Bungou Stray Dogs),"Edogawa Ranpo (Bungou Stray Dogs), Edgar Allan Poe (Bungou Stray Dogs)","my friends hated reading it, i think you'd hate it too, but read it anyway because im proud of it haha, it's sad stuff, mainly angst or something, a little bit of smut too, edgar is stupid but i love him",English,2018-09-22,Completed,2018-09-22,2027,1/1,8,13,null,120,wherein Ranpo begins to question who he is to Edgar.
16061207,Of Hearth and Home,/users/raiyuki76/pseuds/raiyuki76,No Archive Warnings Apply,General Audiences,,Critical Role (Web Series),,"Caleb Widogast, Leofric Widogast, Una Widogast","Family, Backstory, Prodigal child, Drabble, Double Drabble",English,2018-09-22,Completed,2018-09-22,200,1/1,null,12,null,75,"Caleb always had a knack for fire magic, and his parents were so proud"
16061204,as long as you both shall live,/users/teddylupin_snape/pseuds/teddylupin_snape,Major Character Death,Teen And Up Audiences,"F/M, Gen, M/M",Harry Potter - J. K. Rowling,"James/Lily, Sirius Black/Remus Lupin","James Potter, Lily Evans Potter, Remus Lupin, Sirius Black, Harry Potter, Kingsley Shacklebolt, Alice Longbottom","Marriage Proposal, Weddings, Shotgun Wedding, Pregnancy, Fluff and Angst, Happy Beginning, Imperiused!Sirius, AU, Character Death, Orphans, Drinking, Hurt/Comfort, Baby Harry, Funeral, lots of fun stuff, Basically, past wolfstar - Freeform, jily, Not A Happy Ending",English,2018-09-22,Completed,2018-09-22,2695,1/1,1,2,null,90,"Lily and James get married. It's supposed to be magical, perfect. Life just doesn't always work out that way."
16061198,From a Cucco's Point of View,/users/ChangelingRin/pseuds/ChangelingRin,No Archive Warnings Apply,General Audiences,Gen,The Legend of Zelda & Related Fandoms,,"Cucco(s), Link (Legend of Zelda)","My First Fanfic, That I ever published, Oh gosh it's so bad, But I'm keeping it as a progress marker, Don't judge me too much for it, Cross-Posted on FanFiction.Net",English,2018-09-22,Completed,2018-09-22,943,1/1,1,4,1,25,Remember that side quest in Ocarina of Time where Link had to chase the Cuccos in Kakariko? This is how the Cuccos felt about it.
