work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15922703,the haunting (part two),/users/TheDragonLover/pseuds/TheDragonLover,No Archive Warnings Apply,Explicit,"F/M, M/M, Other",Undertale (Video Game),Papyrus (Undertale)/Original Character(s),"Papyrus (Undertale), spooky OC","Fellswap Papyrus - Freeform, OC is a ghost or banshee or something else spooky, Exhibitionism, Dirty Talk, Masturbation, hope I tagged all them kinks right, definitely NSFW",English,2018-09-03,Completed,2018-09-03,877,1/1,null,1,null,8,"Papyrus decides, if this guest isn't going to leave, he can try to have a little fun. --- FellSwap (Swapfell Red) piece written for fun, following a previous prompt-inspired piece."
15915024,So Glad That It's Over:,/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Underage",Mature,M/M,Hawaii Five-0 (2010),Steve McGarrett/Adam Noshimuri,"Steve McGarrett, Adam Noshimuri, Joe White (Mention)","Engaged Couple, Engagement, Established Relationship, Consensual, Mild Sexual Content, Ratings: R, Rating: M, Romance, Romantic Gestures, Slash, Male Slash, Boys Kissing, Kissing, Boys In Love, General, Kidnapping, Rescue, Rescue Missions, Episode Related, Episode Tag, Episode: s08e24 Ka Lala Kaukonakona Haki 'Ole I Ka Pa A Ka Makani Kona, Post-Episode: s08e24 Ka Lala Kaukonakona Haki 'Ole I Ka Pa A Ka Makani Kona, Hurt/Comfort, Emotional Hurt/Comfort, Drama, Family, Hugs, Cuddling & Snuggling, Happy, Happy Ending",English,2018-09-03,Completed,2018-09-03,225,1/1,null,null,null,12,"*Summary: Adam greets Steve after the Joe White experience, What happens?, Stay Tuned, It’s gonna be a good one!!!!*   *Author’s Note: This is part of my series!!!!*"
15892545,A Dance (Just for You),/users/Kimium/pseuds/Kimium,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,"Fire Emblem: Kakusei | Fire Emblem: Awakening, Fire Emblem: If | Fire Emblem: Fates",Lazward | Laslow & Marx | Xander,"Lazward | Laslow, Gimurei | Grima, Odin (Fire Emblem), Luna | Selena, Lucina (Fire Emblem), Marx | Xander","One Shot, Alternate Universe - Canon Divergence, Canon Divergence for Awakening, Grima kidnaps the Awakening kids, emotional torture, Power Imbalance, Minor Violence, Brief violent outburst, Brief forced eating, Forced Dancing, Brief mention of starvation, slightly open ending, Kidnapping, Held Hostage, Platonic Cuddling, Minor mention of Chrobin, Henry as Inigo's father",English,2018-09-03,Completed,2018-09-03,10828,1/1,4,39,4,234,"One shot. ""There was no music nor was there a prompt for Inigo to begin. Grima never prompted him, though he always stopped Inigo whenever he wanted. Instead it was all on Inigo. He couldn’t start too soon or too late. If he did, Grima could be upset and that wasn’t anything Inigo wanted."" All trauma will heal over time, but some things will forever stick to their minds. In where Grima briefly kidnaps and holds the Awakening kids hostage for his amusement and entertainment, Laslow's memories of dancing forever soured, and the aftermath of the event."
15891696,Tumblr Ficlet: Lineage Family Dinner Awkwardness,/users/antheiasilva/pseuds/antheiasilva,Creator Chose Not To Use Archive Warnings,Not Rated,"F/M, Gen, M/M","Star Wars - All Media Types, Star Wars: The Clone Wars (2008) - All Media Types, Star Wars Prequel Trilogy","Qui-Gon Jinn/Obi-Wan Kenobi, Obi-Wan Kenobi & Anakin Skywalker, Anakin Skywalker & Ahsoka Tano, Padme Amidala/Anakin Skywalker, Qui-Gon Jinn & Obi-Wan Kenobi, Obi-Wan Kenobi & Ahsoka Tano, Obi-Wan Kenobi & Anakin Skywalker & Ahsoka Tano, Plo Koon & Ahsoka Tano","Obi-Wan Kenobi, Qui-Gon Jinn, Ahsoka Tano, Anakin Skywalker, Padme Amidala, Plo Koon","Qui-Gon Lives, Obi-Wan Needs a Hug, Originally Posted on Tumblr, Fluff, Crack, Fluff and Crack, Pre-Slash, Qui-Gon and Padme would have totally been on the same page",English,2018-09-04,Completed,2018-09-04,215,1/1,2,16,2,268,Politics at lineage family dinner: what could go wrong?
15891666,tea,/users/imsodead/pseuds/imsodead,No Archive Warnings Apply,General Audiences,F/M,Fairy Tail,Gray Fullbuster/Erza Scarlet,Erza Scarlet,"Angst, Romance, Post-Break Up, Alternate Universe",English,2018-09-04,Completed,2018-09-04,3059,1/1,1,3,null,41,Erza remembers spring.
15891657,Synonyms,/users/thesaltydragon/pseuds/thesaltydragon,No Archive Warnings Apply,Mature,M/M,Dear Evan Hansen - Pasek & Paul/Levenson,Evan Hansen/Jared Kleinman,"Jared Kleinman, Evan Hansen","Smut, Anal Sex, Anal Fingering, Daddy Kink, Requested",English,2018-09-04,Completed,2018-09-04,2453,1/1,2,31,2,482,Requested! The boys talk about how synonym can change meanings and one phrase gets Jared a little too bothered.
15891654,Seducing Keith,/users/Browneyedmami/pseuds/Browneyedmami,No Archive Warnings Apply,Mature,M/M,Voltron: Legendary Defender,Keith/Lance (Voltron),,"seductive Lance, blushing Keith",English,2018-09-04,Completed,2018-09-04,1190,1/1,1,41,4,514,"Pidge, Hunk, Lance and Keith all hang out in the common room of the Castle of Lions. Pidge and Hunk tell stories of their shennanigans with Lance, and the topic of Lance's seduction skills come into the conversation. Keith makes a bet with Lance all while concealing his gay feels. Was the bet really a good idea?"
15891642,Xiao Lan Hai Bei Ri De Jiu Jiu Ba Shi Yi Shi *Er,/users/kwangmong/pseuds/kwangmong,Creator Chose Not To Use Archive Warnings,Not Rated,F/F,. ,,,,English,2018-09-04,Completed,2018-09-04,546,1/1,null,2,null,441,
15891624,Eyes,/users/thesaltydragon/pseuds/thesaltydragon,No Archive Warnings Apply,Teen And Up Audiences,M/M,Dear Evan Hansen - Pasek & Paul/Levenson,Evan Hansen/Jared Kleinman,"Evan Hansen, Jared Kleinman, Heidi Hansen","Fluff, Domestic, Blindness, Surgery, Seeing for the first time",English,2018-09-04,Completed,2018-09-04,3831,1/1,4,42,2,262,Another Blind Evan fic. Evan goes through an experimental surgery and theres a little bit of a surprise at the end.
15891621,first time (for everything),/users/ThisUsernameTaken/pseuds/ThisUsernameTaken,No Archive Warnings Apply,Not Rated,Gen,"Spider-Man: Homecoming (2017), The Avengers (Marvel Movies), Marvel Cinematic Universe",Peter Parker & Everyone,"Peter Parker, Adrian Toomes, Ben Parker, Academic Decathlon Team (Spider-Man: Homecoming), Guardians of the Galaxy Team, Thanos (Marvel), Tony Stark, Everyone except Peter and Tony are pretty much just there by mention","Angst and Feels, Post-Avengers: Infinity War Part 1 (Movie), Peter Parker Needs a Hug, Peter Parker has issues, Tony Stark Has A Heart, Tony Stark Needs a Hug, They Get that Hug, but not in the way you think, Oh wait, It's definitely the way you think, Angst, Post-Traumatic Stress Disorder - PTSD, Hurt, Hurt Peter Parker, First Time",English,2018-09-04,Completed,2018-09-04,842,1/1,13,43,1,551,"It isn’t the first time, Peter thinks, to feel that thrum of wrong, the scream of warning. The pull within his gut to get out there and help. The hair on his forearm standing on end. That, Peter’s not so sure of."
15891612,You Win This Time (I Really Hate Grasshoppers),/users/RosesUniverse/pseuds/RosesUniverse,Creator Chose Not To Use Archive Warnings,General Audiences,,Naruto,"Kiba/OC, OC Centric - Relationship","Original Character, OC - Character","bugs are evil, Tumblr Prompt, tumblr drabble, Grasshoppers are dicks, Not so graceful, You vs a bug, How your OC handles bugs",English,2018-09-04,Completed,2018-09-04,343,1/1,null,null,null,4,The vast majority of bugs are 100% unwelcome in our homes. But grasshoppers are especially unwelcome.
