work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15914724,the haunting,/users/TheDragonLover/pseuds/TheDragonLover,No Archive Warnings Apply,General Audiences,Gen,Undertale (Video Game),,"Sans (Undertale), Papyrus (Undertale)","fellswap sans - Freeform, Fellswap Papyrus - Freeform, swapfell red, there's a spooky thing in our house and it needs to cut it out, written for request, not fontcest",English,2018-09-02,Completed,2018-09-02,1488,1/1,null,1,null,8,"Something is messing with their kitchen, and Sans is going to lose it. --- For a request to write for FellSwap (SwapFell Red), with a prompt."
15900144,Simple Question:,/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, Graphic Depictions Of Violence, Underage",Mature,F/M,Hawaii Five-0 (2010),Junior Reigns/Tani Rey,"Tani Rey, Junior Reigns","Friends to Lovers, Family, Friendship, First Kiss, Kissing, Established Relationship, Consensual, Mild Sexual Content, General, Drama, Hurt/Comfort, Emotional Hurt/Comfort, Romance, Lunch, Romantic Gestures, Ratings: R, Rating: M, Developing Relationship, Ask/Asking Out, Date/First Date, First Date",English,2018-09-02,Completed,2018-09-02,257,1/1,null,1,null,13,"*Summary: Tania’s having feelings for Junior, What happens when she asks him out?, What happened?, Stay Tuned, It’s gonna be a good one!!!!*   *Author’s Note: This starts my series!!!!*"
15896619,The gift,/users/Servena/pseuds/Servena,No Archive Warnings Apply,Teen And Up Audiences,F/M,Marco Polo (TV),Mei Lin/Ahmad (Marco Polo),"Mei Lin (Marco Polo), Ahmad (Marco Polo)","Concubines, Submission, Desire, Canon Compliant, Dominance, Hidden Talents",English,2018-09-02,Completed,2018-09-02,823,1/1,2,2,1,7,"The greatest gift a concubine could have was the talent to recognize a man’s needs – not the wants they articulated so freely but their innermost desires, unknown even to themselves."
15896484,What's in a name,/users/Servena/pseuds/Servena,No Archive Warnings Apply,General Audiences,,Merlin (TV),Merlin & Arthur Pendragon (Merlin),"Merlin (Merlin), Arthur Pendragon (Merlin), Arthur's Horse (Merlin)","Work, Exhaustion, Bickering, following orders",English,2018-09-02,Completed,2018-09-02,423,1/1,3,null,null,56,Merlin would have never thought that he could get so opposed to hearing his own name.
15896421,Command,/users/Servena/pseuds/Servena,No Archive Warnings Apply,Teen And Up Audiences,Gen,Marco Polo (TV),"Orus & Khutulun (Marco Polo), Khutulun & Jingim (Marco Polo)","Orus (Marco Polo), Khutulun (Marco Polo), Prince Jingim (Marco Polo), Ahmad (Marco Polo)","Alternate Universe - Canon Divergence, Threats of Violence, Sibling Rivalry, Brother-Sister Relationships, Fix-It, Cousins",English,2018-09-02,Completed,2018-09-02,258,1/1,null,null,null,7,“ORUS! Stop right this instant!” [Alternative scene for the episode „Measure Against the Linchpin“ of season 2.)
15896334,The day,/users/Servena/pseuds/Servena,No Archive Warnings Apply,Teen And Up Audiences,F/M,Endgame Series - James Frey & Nils Johnson-Shelton,Sarah Alopay/Jago Tlaloc,"Sarah Alopay, Jago Tlaloc","Protectiveness, Alliances, Danger, Paralysis, Fear",English,2018-09-02,Completed,2018-09-02,255,1/1,2,2,null,1,"The human body has a set of natural responses to danger, developed through thousands of years of evolution."
15880620,but it starts to hurt,/users/spacebubble/pseuds/spacebubble,No Archive Warnings Apply,Teen And Up Audiences,M/M,Star Trek: Deep Space Nine,Odo/Quark (Star Trek),"Odo (Star Trek), Quark (Star Trek)","Pre-Slash, Pre-Canon, Unresolved Sexual Tension, Sexual Tension, Ferengi, Manhandling, Voice Kink, Ficlet, Light Angst, Accidental Stimulation",English,2018-09-02,Completed,2018-09-02,1000,1/1,4,18,2,94,"Another day, another explosion on Terok Nor. Odo investigates. Quark complains, but not about everything he could be complaining about. It's hard to keep his thoughts straight when Odo keeps getting into his personal space."
15880059,Portraits,/users/Lincotavia/pseuds/Lincotavia,No Archive Warnings Apply,Not Rated,,Stranger Things (TV 2016),Billy Hargrove & Robin,"Billy Hargrove, Maxine ""Max"" Mayfield, Robin (Stranger Things)",,English,2018-09-03,Completed,2018-09-03,830,1/1,null,2,1,27,"A baseball cap turned upside down was presented in front of Billy. Christmas was in two  weeks and his art teacher thought it would be a wonderful idea to have everyone in class draw a name of one of their fellow classmates, and they’d have to do a self portrait of said person. Which meant, inevitably, he’d be giving someone a shitty drawing, they’d be absolutely unimpressed with."
15880044,A Night Under The Stars,/users/tumblruserpailylove/pseuds/tumblruserpailylove,No Archive Warnings Apply,General Audiences,F/F,Pretty Little Liars,Emily Fields/Paige McCullers,"Paige McCullers, Emily Fields","Tumblr Prompt, Prompt Fic, Camping, Tickling, Banter, Fluff and Humor",English,2018-09-03,Completed,2018-09-03,1867,1/1,null,1,null,44,Prompt fill: Paily camping trip
15880032,A Gentle Breeze,/users/Somiko_Raven/pseuds/crystallized-iron,No Archive Warnings Apply,Teen And Up Audiences,,"Marvel Cinematic Universe, The Avengers (Marvel Movies), Captain America (Movies)","James ""Bucky"" Barnes/Steve Rogers/Tony Stark","James ""Bucky"" Barnes, James Rhodes, Natasha Romanov (Marvel)","Prompt Fill, Originally Posted on Tumblr, Based on a Longer Fic, September 2018 Prompt List, Alternate Universe, Alternate Universe - Fantasy",English,2018-09-03,Completed,2018-09-03,449,1/1,2,10,null,260,Bucky and the Commandos wait for the time to go after another of Pierce's associates.
