work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15629238,Not Dating,/users/ravenic/pseuds/luoup,General Audiences,Gen,Voltron: Legendary Defender,Allura & Hunk & Keith & Lance & Pidge | Katie Holt & Shiro,"Shiro (Voltron), Lance (Voltron), Allura (Voltron), Hunk (Voltron), Pidge | Katie Holt, Keith (Voltron), Original Alien Character(s)","Platonic Relationships, Mistaken for Being in a Relationship, Alien Cultural Differences",English,2018-08-08,Completed,2018-08-08,1805,1/1,null,7,null,44,"
Day 7 Prompt 2: Free Tropes Day
 The platonic trope of not-dating"
15625545,Curiosity had a Light Snack,/users/rapono/pseuds/Hungry%20Trashlord,Teen And Up Audiences,,Dead by Daylight (Video Game),The Wraith & Nea Karlsson,"Nea Karlsson, Philip Ojomo | The Wraith, Jake Park","Vore, Soft Vore, Willing, slorp your friends, Ficlet, silly continuation, no blood/gore in this one just a dumb idea, wraith doesn't speak, Vore Day",English,2018-08-08,Completed,2018-08-08,1120,1/1,3,3,null,137,"Nea was curious about the new mori, so when she got into a match with a killer who had it, she let her curiosity consume her."
15625071,Sweet Fire,/users/FuzzyAnkleSocks/pseuds/FuzzyAnkleSocks,Explicit,F/M,The Arcana (Visual Novel),Apprentice/Julian Devorak,"Julian Devorak, Apprentice (The Arcana), Asra (The Arcana)","Explicit Sexual Content, Explicit Language, Alcohol Abuse/Alcoholism, Porn With Plot",English,2018-08-08,Completed,2018-08-08,4181,1/1,3,26,2,394,Asra has left her furious and Opal can't stand to stay another minute in the shop. She goes wandering at night and finds a drink a bit too strong for her and a man she can't resist.
15623505,Behind Those Walls That Won't Come Down,/users/surfgirl1/pseuds/Faladrast,Not Rated,,Teen Wolf (TV),,"Stiles Stilinski, Derek Hale",Banners & Icons,English,2018-08-09,Completed,2018-08-09,0,1/1,null,1,null,38,This story featuring artist Derek and college student Stiles is so worth the read! Check it out!https://archiveofourown.org/chapters/24958626
15623496,Let's Run (For Tonight Only),/users/NotASmoothOperator/pseuds/NotASmoothOperator,Mature,M/M,South Park,Kyle Broflovski/Stan Marsh,"Kyle Broflovski, Stan Marsh","this happens before Baby I'm Going To Hell btw, Alternate Universe - Rock Band, Band Fic, Kinda, Making Out, Cussing, lots of cussing, Stan and Kyle are 20 so, Underage Drinking, Coming Out",English,2018-08-09,Completed,2018-08-09,3563,1/1,1,4,null,97,"This is the night that changed everything for them. They just don't know it yet. Stan and Kyle might be losers, but at least they've always had each other. And Stan's blink-182 CD. ( Part of a series but is more of a prequel anyways so ¯\_(ツ)_/¯ )"
15623472,Collide,/users/surfgirl1/pseuds/Faladrast,Not Rated,,Teen Wolf (TV),,"Stiles Stilinski, Derek Hale",Banners & Icons,English,2018-08-09,Completed,2018-08-09,0,1/1,null,1,null,35,"Collide by allyasavedtheday is a beautiful, heart-wrenching soulmate fic. Read it and spread the love!https://archiveofourown.org/chapters/9706284"
15623457,And silver melts,/users/Nary/pseuds/Nary,Explicit,M/M,Adventure World (Game),Laris Valerius Corvis/Sahhiru,"Laris Valerius Corvis, Sahhiru (Adventure World), Calkas (Adventure World)","Past Rufus Metilius Auspex/Laris Valerius Corvis, Ye Olde Adventure Worlde, First Time, Developing Relationship, Bathing/Washing, Grey-A, Shadar-Kai, Tieflings, Awkward Sexual Situations, Kink Negotiation, Rope Bondage, Oral Sex, Rimming, Anal Sex, references to slavery, Sexual Inexperience, Post-Coital Cuddling, Light Dom/sub, Asexuality Spectrum",English,2018-08-09,Completed,2018-08-09,7543,1/1,null,1,null,12,"The path rose and fell with the hills, and at the top of one particularly steep section they paused to catch their breath.  Laris was accustomed to the walk, but Sahhiru was less so, and he needed a moment to recover.  ""Did you pick the site for your villa in order to keep casual visitors away?"" he asked with a slight smile. ""Its isolation is part of its charm,"" Laris replied.  ""And it does have the benefit of dissuading people from dropping by unexpectedly."" Sahhiru nodded.  ""I can certainly see the appeal.""  His bronze eyes lingered on Laris a moment longer, before he turned to take in the rest of the view."
15623445,Gilbert of Bookcase Mazes,/users/babbley/pseuds/babbley,General Audiences,F/M,Anne of Green Gables - L. M. Montgomery,Gilbert Blythe/Anne Shirley,"Gilbert Blythe, Anne Shirley",,English,2018-08-09,Completed,2018-08-09,736,1/1,null,21,1,185,"Throughout Anne of Windy Poplars, Anne is writing letters to Gilbert about her life. He replies in turn. A short letter written in the middle of his tests."
15623439,3D,/users/Toe/pseuds/Toe,Teen And Up Audiences,,Quest Friends! (Podcast),,"xoc, Misha Jarvis, Hopper Scotch, Elee Badge","mostly gen but there are hints of Xoc/Misha bc that's just how they are, Alternate Universe - High School, Alternate Universe - Bands, obligatory i don't know much abt music past eight grade french horn, nerdy high school hop is so fun to write, ao3 let me capitalize Xoc you cowards",English,2018-08-09,Completed,2018-08-09,3272,1/1,4,2,1,27,"Xoc, Misha, Hop, and Elee participate in their high school's battle of the bands. Inspired by the tumblr ask about what instruments each character would play."
15623427,The House In The Woods,/users/surfgirl1/pseuds/Faladrast,Not Rated,,Teen Wolf (TV),,"Stiles Stilinski, Derek Hale, Peter Hale",Banners & Icons,English,2018-08-09,Completed,2018-08-09,0,1/1,null,5,null,98,"The House in The Woods is a breathtaking journey through the life of Stiles Stilinski, and his interactions with the remnants of the Hale family. The magic and intrigue is deep in this one, loves, so buckle up! This is a banner for that story, and you should definitely check it out!"
