work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15502809,Kaz Learns Self Care,/users/DreamAmongStars/pseuds/DreamAmongStars,General Audiences,,Six of Crows Series - Leigh Bardugo,,"Kaz Brekker, Inej Ghafa, Nina Zenik","self-care, kaz is bad at taking care of himself, so inej and nina help, also inej and nina are girlfriends ofc, Modern AU",English,2018-07-31,Completed,2018-07-31,1002,1/1,2,18,2,132,Kaz is bad at taking care of himself. This is a modern au drabble about how he's slowly learning to get better.
15502767,The Fortune of the Rock Star,/users/amoleofmonsters/pseuds/amoleofmonsters,Teen And Up Audiences,M/M,Voltron: Legendary Defender,Keith/Shiro (Voltron),"Shiro (Voltron), Keith (Voltron), Matt Holt, Adam (Voltron)","Established Relationship, Sheith Month 2018, Alternate Universe - Rock Band",English,2018-07-31,Completed,2018-07-31,1036,1/1,4,58,4,467,"Shiro is the lead singer of a popular rock band. The fans find out that he used to date his bandmate, Adam, and Keith has to deal with it. -- For Sheith Month 2018. Day 24: Fame"
15502806,Jeremy wouldn't like someone like you,/users/Wolf_cub200/pseuds/Wolf_cub200,Teen And Up Audiences,M/M,Be More Chill - Iconis/Tracz,Jeremy Heere/Michael Mell,"Michael Mell, Jeremy Heere","Squiped Michael, Body Possession, Squip is a bad boi, He looks like Jeremy",English,2018-07-31,Completed,2018-07-31,844,1/1,null,5,2,184,"Michael was an easy person to imitate for the S.Q.U.I.P. it had access to all of his memories, and his personality traits. Plus it only had to act like Michael in front of Jeremy which made it 20 times easier."
15502782,A WhiteRose Day Off,/users/AngelFlower23/pseuds/AngelFlower23,General Audiences,F/F,RWBY,Ruby Rose/Weiss Schnee,"Ruby Rose, Weiss Schnee",,English,2018-07-31,Completed,2018-07-31,728,1/1,null,11,1,303,Weiss and Ruby spend a leisurely day together.
15502674,Fixated on Your Vertigree,/users/ididthatonce/pseuds/ididthatonce,Explicit,F/M,"The Avengers (Marvel Movies), Marvel Cinematic Universe","Bruce Banner/Natasha Romanov, Bruce Banner & Natasha Romanov, Hulk & Natasha Romanov, Hulk/Natasha Romanov","Bruce Banner, Hulk (Marvel), Natasha Romanov (Marvel)","Explicit Sexual Content, Mildly Dubious Consent, Fuck Or Die, Riding, Oral Sex",English,2018-07-31,Completed,2018-07-31,3753,1/1,3,19,4,453,"Bruce has made some errors in an experiment, and Natasha is the only one who can fix it.  Typical fuck-or-die fic with very little build-up."
15495171,"Stucky, but it's actually Destiel",/users/Herm_own_ninny/pseuds/SquishySterek,General Audiences,M/M,Supernatural,Castiel/Dean Winchester,"Castiel (Supernatural), Dean Winchester, Sam Winchester, Balthazar (Supernatural)","Comic-Con, Stucky - Freeform, Dean is Captain America, Castiel is Bucky Barnes, Balthazar is a meddling shit, but it's okay because it all turns out gay in the end",English,2018-07-31,Completed,2018-07-31,1373,1/1,2,16,null,164,"Listen, it's gay Dean/Cas shenanigans at Comic-Con. Even some meet-cute. Just read it and have a good time."
15502560,Touch,/users/ohnomyheart/pseuds/ohnomyheart,Teen And Up Audiences,M/M,NCT (Band),Dong Si Cheng | WinWin/Nakamoto Yuta,"Dong Si Cheng | WinWin, Nakamoto Yuta, Jung Yoonoh | Jaehyun, Kim Dongyoung | Doyoung","Fluff, Kissing, Pining, Minor Jung Yoonoh | Jaehyun/Kim Dongyoung | Doyoung, Nakamoto Yuta is Whipped, Canon Compliant, it's pretty much just fluff, That's it, that's the fic",English,2018-07-31,Completed,2018-07-31,2447,1/1,20,97,15,751,"At first, Sicheng was sure that Yuta did it all for the cameras. The constant touches, the kisses, the way that somehow, no matter what they were doing or who was with them, Yuta managed to affix himself to Sicheng."
15502662,Pen In Hand,/users/methylviolet10b/pseuds/methylviolet10b,General Audiences,Gen,"Sherlock Holmes - Arthur Conan Doyle, Sherlock Holmes & Related Fandoms",,"Sherlock Holmes, John Watson","Prompt Fic, Fluff, Double Drabble",English,2018-07-31,Completed,2018-07-31,200,1/1,null,14,null,65,Holmes has many outlets. Watson has fewer. Written for JWP #30 over on Watson's Woes.
15502809,Kaz Learns Self Care,/users/DreamAmongStars/pseuds/DreamAmongStars,General Audiences,,Six of Crows Series - Leigh Bardugo,,"Kaz Brekker, Inej Ghafa, Nina Zenik","self-care, kaz is bad at taking care of himself, so inej and nina help, also inej and nina are girlfriends ofc, Modern AU",English,2018-07-31,Completed,2018-07-31,1002,1/1,2,18,2,132,Kaz is bad at taking care of himself. This is a modern au drabble about how he's slowly learning to get better.
15502767,The Fortune of the Rock Star,/users/amoleofmonsters/pseuds/amoleofmonsters,Teen And Up Audiences,M/M,Voltron: Legendary Defender,Keith/Shiro (Voltron),"Shiro (Voltron), Keith (Voltron), Matt Holt, Adam (Voltron)","Established Relationship, Sheith Month 2018, Alternate Universe - Rock Band",English,2018-07-31,Completed,2018-07-31,1036,1/1,4,58,4,468,"Shiro is the lead singer of a popular rock band. The fans find out that he used to date his bandmate, Adam, and Keith has to deal with it. -- For Sheith Month 2018. Day 24: Fame"
