work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15642942,Rain.,/users/FeliciaAmelloides/pseuds/FeliciaAmelloides,Teen And Up Audiences,M/M,Lord of the Flies - William Golding,"Ralph & Simon (Lord of the Flies), Ralph/Simon (Lord of the Flies)","Ralph (Lord of the Flies), Simon (Lord of the Flies)","Alternate Universe - Canon Divergence, Simon Doesn't Die, injuries, Blood, Light Angst, questionable fluff, Set During and After 'A View to a Death', The Beast Isn't Real",English,2018-08-09,Completed,2018-08-09,1484,1/1,4,4,null,32,"In some strange alternate universe, Ralph doesn’t attend Jack’s feast in favour of searching for the supposedly batty Simon. He finds him in the midst of a violent thunderstorm- battered, bruised, and desperate to tell everyone something really important."
15636657,story of my life,/users/Writing_Bearifficly/pseuds/Rosa%20Blythe,General Audiences,Gen,"Club Penguin, Club Penguin Island",,"Aunt Arctic (Club Penguin Island), Rockhopper (Club Penguin Island)","Book Lovers Day, I Wrote This Instead of Sleeping, yup it's a cpi fic, sue me the characters are awesome, and so is the worldbuilding, and the mystery, And the plot, not edited bc no sleep",English,2018-08-09,Completed,2018-08-09,1293,1/1,null,1,null,4,"Aunt Arctic was something of a bookworm. But that was okay, wasn't it? After all, where would she be if she wasn't?"
15635955,The Necklace,/users/ThePatheticTimeTraveler/pseuds/ThePatheticTimeTraveler,Teen And Up Audiences,,Supernatural,"Emma (Supernatural: Slice Girls) & Dean Winchester, Dean Winchester & Sam Winchester, Mary Winchester & Sam Winchester, Dean Winchester & Mary Winchester, Jack Kline & Sam Winchester, Emma (Supernatural: Slice Girls) & Benny Lafitte, Ben Braeden & Emma (Supernatural: Slice Girls), Ben Braeden/Jesse Turner","Emma (Supernatural: Slice Girls), Mary Winchester, Dean Winchester, Sam Winchester, Jack Kline, Bobby Singer, Castiel (Supernatural), Charlie Bradbury, Arthur Ketch, Ben Braeden, Kate (Supernatural: Bitten), Jesse Turner, Benny Lafitte","Post-Purgatory, Post-Traumatic Stress Disorder - PTSD, Family, Family Fluff, Father-Daughter Relationship, Father-Son Relationship, Fluff and Angst, Men of Letters Bunker, Bunker Fluff, Teenage Dorks, Siblings, Friendship, Dysfunctional Family, Post-Season/Series 13, Season/Series 13 Spoilers, Rescue Missions, Purgatory, Emma (Supernatural: Slice Girls) Has Issues, Cute Jack",English,2018-08-09,Completed,2018-08-09,1492,1/1,1,9,1,93,"With Lucifer and Michael trapped in Apocalypse World the world is safe and the boys can finally stop and take a breath. Jack is a broken up about  his father's apparent death and feels just as alone as when sat in the corner of his nursery. But, a confession from Dean about his loss of a loved one may change Jack's view of him and may even give him a chance to rescue someone and make some new friends along the way.  Ignores episode 23 Let the Good Times RollNo Michael!DeanI don't own anything I'm just having fun don't sue me pls"
15635217,The Origins,/users/Skindoodles/pseuds/Skindoodles,General Audiences,"F/F, M/M",Voltron - Fandom,"RomelleXallura, Klance - Relationship","Allura(light), romelle(dark), Keith, Lance, Hunk, Lotor, Shiro, Pidge","klance, universe - Freeform, Moon, Stars, Gay, Lesbians, sun - Freeform, light - Freeform, Dark, origin",English,2018-08-10,Completed,2018-08-10,412,1/1,null,4,null,76,"Gather around children, I will tell you the story of the heros that saved earth."
15635199,Make it up as we go,/users/Fvckthisreality/pseuds/Fvckthisreality,Not Rated,M/M,Tokyo Ghoul,Amon Koutaro/Mado Kureo,,"Awkwardness, Fake/Pretend Relationship, smug Mado, Friends to Lovers",English,2018-08-10,Completed,2018-08-10,1537,1/1,null,2,null,10,"Even when they were alone, he would find the older man's hand lingering, barely brushing his gloved knuckles against his but Amon could never bring himself to pull away and then there was the staring, he could tell the other was watching him from the counter of his eyes."
15635178,I have grown to have nothing but sharp edges (stop pretending it doesn't hurt),/users/olivemartini/pseuds/olivemartini,General Audiences,F/M,"Iron Man (Movies), Marvel Cinematic Universe, The Avengers (Marvel Movies)",Pepper Potts/Tony Stark,,"Arc Reactor, Insecure Tony Stark, Iron Man 1, scene where she switches the arc reactors, Drabble, Pre-Relationship, Canon",English,2018-08-10,Completed,2018-08-10,824,1/1,10,41,null,239,"He needs to go to the doctor, but when he thinks of hands reaching into his chest and pictures of the arc reactor splashed across the front page of every newspaper in the country he can't stand it, so he calls for her instead, even though it's mildly life threatening and not her job and he doesn't really want Pepper to know the extent of that hunk of metal sunk down into his chest, like he's some sort of mutant.It's an incredibly bad idea."
15635166,Day 15: Sweet and Passionate,/users/radicallyred/pseuds/radicallyred,Not Rated,M/M,Marvel Cinematic Universe,Steve Rogers/Tony Stark,"Steve Rogers, Tony Stark","30 Day NSFW Challenge, Day 15, Sweet and Passionate, Smut, anniversary sex, Bottom Steve Rogers, Top Tony Stark",English,2018-08-10,Completed,2018-08-10,907,1/1,1,47,2,628,
15635169,Wild and Untamed,/users/Brumeier/pseuds/Brumeier,Explicit,M/M,Hawaii Five-0 (2010),"Steve McGarrett/Danny ""Danno"" Williams","Steve McGarrett, Danny ""Danno"" Williams, Kono Kalakaua, Chin Ho Kelly, Sam Denning, Max Bergman","Prompt Fill, Alternate Universe - Stargate Fusion, Crossovers & Fandom Fusions, Team, Male Slash, Oral Sex, Hand Jobs, Established Relationship, Post-Mission",English,2018-08-10,Completed,2018-08-10,1025,1/1,22,48,3,578,"LJ Comment Fic for Crossing Over prompt: Stargate Multiverse + Any, any, your favorite characters from the other fandom as a gate team. In which things heat up between Danny and Steve post-mission. It's not just the body paint."
15635133,Late Nights,/users/genovianprince/pseuds/genovianprince,General Audiences,F/M,Voltron: Legendary Defender,Hunk/Pidge | Katie Holt,"Hunk (Voltron), Pidge | Katie Holt",,English,2018-08-10,Completed,2018-08-10,744,1/1,2,27,3,140,"The words haunt him, late in the night."
15635124,Ni Suan Na Kuai Da Gao Dian ?,/users/urnotyolanda/pseuds/urnotyolanda,Not Rated,M/M,Nie Yao  - Fandom,,,,English,2018-08-10,Completed,2018-08-10,268,1/1,null,5,null,427,
