work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15713616,Eight Days Of Loving You,/users/wlw0with0reader/pseuds/wlw0with0reader,Teen And Up Audiences,F/F,Criminal Minds,Emily Prentiss/Reader,"Emily Prentiss, Reader (female)","Reader-Insert, Angel/Demon Relationship",English,2018-08-13,Completed,2018-08-13,773,1/1,1,1,null,30,Demon!Emily and Angel!Reader
15697170,Comfort,/users/FeliciaAmelloides/pseuds/FeliciaAmelloides,Teen And Up Audiences,M/M,nonfandom,Person 1/Person 2,"Person 1, Person 2","OCs - Freeform, Crack, stupid, Hurt/Comfort, 2AM - Freeform, trash, Songfic, dead memes",English,2018-08-13,Completed,2018-08-13,342,1/1,null,1,null,3,"He drives to his house in the middle of night, because he needs comfort. And Person 2’s gonna give it to him."
15679974,Math is War,/users/royalliest/pseuds/royalliest,Teen And Up Audiences,M/M,Persona 5,"Akechi Goro/Kurusu Akira, Akechi Goro/Persona 5 Protagonist","Akechi Goro, Kurusu Akira, Amamiya Ren (Persona Series), Phantom Thieves of Hearts",,English,2018-08-13,Completed,2018-08-13,1053,1/1,3,13,1,119,"Persona 5 Mathletes AU. A late night idea suggested by a friend. Akechi Goro is suddenly upstaged by a bunch of teenagers in crappy latex bodysuits during his last year as a high school mathlete, hindering his plans to quality for the International Math Olympiad. They don’t follow the rules at all. They probably cheat because Sakamoto doesn’t know how to take a derivative. Their leader looks really handsome in pleather gloves."
15678795,Overcome or Bad Outcome,/users/Fellow_Human_Being/pseuds/Fellow_Human_Being,Not Rated,,Voltron: Legendary Defender,,"Lance (Voltron), Coran (Voltron), Hunk (Voltron), Pidge | Katie Holt, Shiro (Voltron), Keith (Voltron), Allura (Voltron)","Langst, Self-Harm, References to Depression, Insecure Lance (Voltron), Fear of Help",English,2018-08-14,Completed,2018-08-14,998,1/1,null,37,null,364,"Lance grew up with many fears.There’s his fear of the dark, spiders, snakes, and etc. And while all his fears are understandable and bearable, his fear of asking for help really makes life hard on him. What can he say, the fear of asking for help just perfectly connects to his fears of rejection and looking pathetic."
15678789,a kissful day,/users/toxicmew/pseuds/jaemstone,Teen And Up Audiences,M/M,NCT (Band),Lee Donghyuck | Haechan/Na Jaemin,"Na Jaemin, NCT Ensemble",Minor Mark Lee/Na Jaemin,English,2018-08-13,Completed,2018-08-13,3726,1/1,6,58,11,423,when nct gives na jaemin the smooches he deserves.
15678777,Scratching an Itch,/users/glamglaceon/pseuds/glamglaceon,General Audiences,,Voltron: Legendary Defender,,"Keith (Voltron), Shiro (Voltron), Coran (Voltron), Hunk (Voltron), Lance (Voltron), Pidge | Katie Holt, Allura (Voltron)","poor Keith lol, Attempt at Humor, Galra Keith",English,2018-08-14,Completed,2018-08-14,727,1/1,3,39,2,417,"One day, Keith wakes up with this horrible itch.  What is the cause of this?"
15678768,In the Mood,/users/Siriusstuff/pseuds/Siriusstuff,Mature,M/M,Teen Wolf (TV),Derek Hale/Stiles Stilinski,"Stiles Stilinski, Derek Hale","Drabble, Alternate Universe, Married Derek Hale/Stiles Stilinski, Domestic Bliss, Foreplay",English,2018-08-14,Completed,2018-08-14,100,1/1,6,33,null,296,
15678765,The Right Direction - Sebastian Stan one shot,/users/captainofherheart/pseuds/captainofherheart,Mature,F/M,Sebastian Stan - Fandom,Sebastian Stan/You,Sebastian Stan,"Sebastian Stan RPF - Freeform, sebastian stan lemons, sebastian stan x you - Freeform, sebastian stan x reader - Freeform, sebastian stan x reader insert, sebastian stan sexy, captainofherheart",English,2018-08-14,Completed,2018-08-14,582,1/1,2,7,1,125,You and Seb enjoy some seductive moments during a black tie event.
15678747,How the Hell do you Tie A fucking Knot?,/users/gayyodelling/pseuds/gayyodelling,Mature,,Be More Chill - Iconis/Tracz,"Jeremy Heere/Michael Mell, Jeremy Heere & Michael Mell, Jake Dillinger & Rich Goranski","Jeremy Heere, Michael Mell, Jake Dillinger, Rich Goranski, Rich Goranski's Father","Boy Scout AU, Coming Out, Implied Sexual Content, All the boys are 15 or 16, They are camping, Michael is bad with his hands, But Jeremy is GOOD with his hands, Michael is innocent, Rich is a little shit, Jake likes gummy bears, Crushes, meremy, Hand Jobs, Oh My God",English,2018-08-14,Completed,2018-08-14,2920,1/1,1,13,2,211,"I thought of this a few days ago,,,,what if Jeremy and Michael were boy scouts when they were like 15 or something? Like imagine how cute and dorky and the fucking POSSIBILITIES. And Rich's dad was the scout leader and was totally forced to be a boy scout, so he ended up getting Jake to do it with him a long time ago when they were little kids and shit. ANYWAYS, this is gonna be a fun little thingy."
15678744,"You're Cute, Y'know",/users/malfxy/pseuds/malfxy,General Audiences,M/M,Andi Mack (TV),Cyrus Goodman/T.J. Kippen,"T. J. Kippen, Cyrus Goodman",,English,2018-08-14,Completed,2018-08-14,1044,1/1,4,87,3,745,“Who ate the last chocolate chip muffin?!”
15678723,Sickdays 5.0 Day 3: Caretaking Focus,/users/SemiRetiredAuthor/pseuds/occasionalspiderfiction,Teen And Up Audiences,Gen,Spider-Man: Homecoming (2017),May Parker (Spider-Man) & Peter Parker,"Peter Parker, May Parker (Spider-Man)","Needles, Phobias, Family Fluff, Hurt/Comfort",English,2018-08-14,Completed,2018-08-14,1116,1/1,null,32,1,462,May comforts a needle-shy Peter through a mandatory vaccination.
15678705,Pale Morning Light,/users/scoresandstars/pseuds/scoresandstars,Explicit,F/F,Harlots (TV),Lady Isabella Fitzwilliam/Charlotte Wells,"Charlotte Wells, Lady Isabella Fitzwilliam, mentions of Harcourt, mentions of Daniel - Character","there's a sex scene, but it's like... not about that?, these gays are just big ol dorks who love each other, they just can't quite say it yet but that is FINE and we SUPPORT THEM, rated E for like... five lines of smut",English,2018-08-14,Completed,2018-08-14,1359,1/1,6,58,4,469,A glimpse into two souls; a snapshot between their first time and the morning after.
15678693,Surprise Graduation,/users/aavandam/pseuds/aavandam,Not Rated,Gen,Agents of S.H.I.E.L.D. (TV),"Melinda May & Skye | Daisy Johnson, Jemma Simmons & Skye | Daisy Johnson","Melinda May, Skye | Daisy Johnson, Jemma Simmons, Leo Fitz, Phil Coulson, Antoine Triplett","Friendship, Graduation, Surprises, Mother-Daughter Relationship, mama may, papa phil (kinda), grant ward is not in this, skye is an official agent",English,2018-08-14,Completed,2018-08-14,2916,1/1,null,18,null,217,Surprise graduation for new agent of SHIELD Skye (she's still Skye at this point). Set in an imaginary bubble where Hydra didn’t ruin the immediate aftermath of Skye becoming an agent and the team can celebrate. Ward does not exist because I don’t want him to and IT’S MY STORY DAMNIT!
15678675,Grace,/users/StrangeMischief/pseuds/StrangeMischief,Teen And Up Audiences,M/M,"Marvel Cinematic Universe, Iron Man (Movies), Doctor Strange (2016)",Tony Stark/Stephen Strange,"Tony Stark, Stephen Strange, Wong (Marvel), Pepper Potts, James ""Rhodey"" Rhodes, Happy Hogan, Ho Yinsen, Christine Palmer","Angst, Heavy Angst, A Part of Me Died, Angst with a Happy Ending",English,2018-08-14,Completed,2018-08-14,3052,1/1,20,149,23,733,The world hadn’t spun. It hadn’t even stopped. It was worse than that. So much worse. The world had ended.
15678672,First Heat,/users/TyrannoVox/pseuds/TyrannoVox,Mature,M/M,Transformers (Unicron Trilogy),Hot Shot/Wheeljack,"Wheeljack (Transformers), Hot Shot (Transformers)","first heat, First Kiss, Fingering, Slash, Doesn't go much further than fingering, at least, not yet",English,2018-08-14,Completed,2018-08-14,533,1/1,6,2,2,68,Hotshot has his first heat. (Hotshot's age: 14)
15678654,Shadowed,/users/3ves/pseuds/3ves,General Audiences,M/M,Homestuck,Dave Strider/Karkat Vantas,"Dave Strider, Karkat Vantas","Falling In Love, awkward confessions, soft, collage of moments, Meteorstuck, postretcon, Oneshot, Fluff, Light Angst, not really - Freeform, like two seconds of angst",English,2018-08-14,Completed,2018-08-14,1505,1/1,4,27,2,146,"In another lifetime, another version of reality, Karkat and Dave both knew that large shadows never bode well. But here, in this place, together, shadows were only a thing of comfort, a place where they made their home."
