work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15519480,Invented Time Travel,/users/ForgottenDream12/pseuds/ForgottenDream12,Not Rated,M/M,Marvel Cinematic Universe,Steve Rogers/Tony Stark,,,English,2018-08-01,Completed,2018-08-01,420,1/1,null,35,null,378,I think you invent time travel
15519465,Slime,/users/ForgottenDream12/pseuds/ForgottenDream12,Not Rated,M/M,"Marvel Cinematic Universe, The Avengers (Marvel Movies)",Steve Rogers/Tony Stark,"Steve Rogers, Tony Stark",Established Relationship,English,2018-08-01,Completed,2018-08-01,254,1/1,null,28,1,515,You look beautiful even when covered in alien gunk Prompt: Slime
15519447,Wants and Needs,/users/Th3_Morrigan/pseuds/Th3_Morrigan,Explicit,F/M,Mass Effect Trilogy,Kaidan Alenko/Female Shepard,"Kaidan Alenko, Female Shepard","Sex, Smut, PWP, blowjob, cinnilingus, Vaginal Sex, doing it in the comm room",English,2018-08-01,Completed,2018-08-01,1413,1/1,2,17,1,202,Shepard is antsy and she wants Kaidan.
15519438,the sunset looks better with you in front of it,/users/kymanenthusiast/pseuds/kymanenthusiast,Not Rated,"Gen, M/M",Homestuck,"Dave Strider/Karkat Vantas, Dave Strider & Karkat Vantas","Dave Strider, Karkat Vantas","Tooth-Rotting Fluff, like.. holy shit i cant believe i wrote something THIS soft, davekat - Freeform, Cuddling, otp prompt, Fluff, its pure fluff and nothing else. absolutely nothing else, i wrote this for my fp, started as a little oneshot turned into more of a drabble??, jesus i need to stop with the unnecessary tags, Earth C (Homestuck), Random Setting, i dunno where the setting is supposed to be tbfh, two bros chilling in a hammock 0 feet apart because theyre REALLY fuckign gay",English,2018-08-01,Completed,2018-08-01,1898,1/1,3,17,2,126,"prompt:  imagine your otp accidentally (or purposefully) dozing off in a hammock together as the sun sets and the air cools downpure, unadulterated, self-indulgent davekat fluff warning for no proper punctuation/capitalization."
15519423,"The Deep, Dark Water",/users/MoonySideDown/pseuds/MoonySideDown,General Audiences,Gen,"Batman - All Media Types, DCU","Jason Todd & Bruce Wayne, Jason Todd & Dick Grayson","Jason Todd, Dick Grayson, Bruce Wayne","Mild Flashbacks, Panic Attacks, jason has a bad time basically, batfamily, batfam, Batfam Week 2018, Trapped",English,2018-08-01,Completed,2018-08-01,771,1/1,6,113,8,784,"Jason is not a fan of closed-in spaces, or tuxedos."
15519414,Properly Aged,/users/methylviolet10b/pseuds/methylviolet10b,General Audiences,Gen,"Basil of Baker Street - All Media Types, Sherlock Holmes & Related Fandoms",Basil of Baker Street & David Dawson,,"Prompt Fic, Retirement, Fluff, a wee bit of melancholy",English,2018-08-01,Completed,2018-08-01,200,1/1,null,9,null,32,"Basil reflects on his longtime companion, and where life has brought them. Written for JWP #31 over on Watson's Woes."
15519378,Wrath,/users/atlus/pseuds/atlus,Explicit,F/M,bangtansonyeondan | Bangtan Boys | BTS,Min Yoongi | Suga/Reader,"Min Yoongi | Suga, Jeon Jungkook, Kim Taehyung | V, Kim Seokjin | Jin, Kim Namjoon | RM, Jung Hoseok | J-Hope, Reader","Seven Deadly Sins, Daddy Kink, Blindfolds, Oral Sex, Spanking, Light Bondage, Smut, Handcuffs",English,2018-08-01,Completed,2018-08-01,4134,1/1,null,36,null,1079,Yoongi gives you one rule for the night and you can't even handle that. Min Yoongi commits the fifth sin: wrath.
15519375,Coffee Flavoured Kisses,/users/orderlychaos/pseuds/orderlychaos,Teen And Up Audiences,M/M,"Marvel Cinematic Universe, Agents of S.H.I.E.L.D. (TV)",Clint Barton/Phil Coulson,"Phil Coulson, Clint Barton, Jasper Sitwell, Skye | Daisy Johnson, Melinda May, Natasha Romanov (Marvel), Isabelle Hartley, Victoria Hand, Bobbi Morse, Antoine Triplett, Tony Stark","Fluff, Coffee, Missions, Funny, Established Relationship, Alternate Universe, Canon Divergence - No Hydra Takeover",English,2018-08-01,Completed,2018-08-01,6131,1/1,22,183,20,900,"
Tuesday morning, SHIELD New York offices
 
Cups of coffee consumed: 2
 Phil Coulson squinted down the corridor.  It was suspiciously empty and quiet.  Too quiet. (a.k.a. A day in the life of Phil Coulson, including coffee, missions, Tony Stark and kisses from his husband.)"
15519354,Advice,/users/ForgottenDream12/pseuds/ForgottenDream12,Not Rated,M/M,"Marvel Cinematic Universe, The Avengers (Marvel Movies)",Steve Rogers/Tony Stark,"Steve Rogers, Tony Stark, Sharon Carter (Marvel)","Friends With Benefits, Relationship Advice",English,2018-08-01,Completed,2018-08-01,643,1/1,1,31,1,712,He really couldn’t believe how much he messed up when all he wanted was some damn advice. Prompt: road to hell is paved with good intentions
15519357,A Mile in My Shoes Prompt,/users/J13579/pseuds/J13579,Teen And Up Audiences,,Fire Emblem: Kakusei | Fire Emblem: Awakening,,"Guire | Gaius, Maribelle (Fire Emblem)","Role Reversal, Crossdressing, Humor",English,2018-08-01,Completed,2018-08-01,808,1/1,null,null,null,27,Gaius and Maribelle are forced to swap roles in an attempt to understand each other better.
15519321,Breakdown on the Galactic Railroad,/users/MiniNephthys/pseuds/MiniNephthys,General Audiences,Gen,Wen Hao sutoreidotsugusu | Bungou Stray Dogs,,"Mori Ougai (Bungou Stray Dogs), Miyazawa Kenji (Bungou Stray Dogs), Yosano Akiko (Bungou Stray Dogs), Edogawa Ranpo (Bungou Stray Dogs), Nakajima Atsushi (Bungou Stray Dogs), Tanizaki Junichirou (Bungou Stray Dogs), Izumi Kyouka (Bungou Stray Dogs)","Angst, Alternate Universe - Canon Divergence",English,2018-08-01,Completed,2018-08-01,1000,1/1,8,15,1,82,"“Kenji, welcome to the Port Mafia.  I do hope you’ll adjust to your new home quickly.”"
