work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15713964,Because Loving Her Was Never A Winning Game,/users/wlw0with0reader/pseuds/wlw0with0reader,Teen And Up Audiences,F/F,Marvel Cinematic Universe,Wanda Maximoff/Reader,"Wanda Maximoff, Reader (female)",Reader-Insert,English,2018-08-11,Completed,2018-08-11,1149,1/1,null,null,null,33,"The song Lost by Illenium ft. Emilie Brant with the lyrics: ""It’s time for me to breathe I’m gasping for the air you stole from me“"
15677142,Salad Days,/users/FeliciaAmelloides/pseuds/FeliciaAmelloides,Teen And Up Audiences,Gen,Frozen (2013),,"Elsa (Disney), Anna (Disney), OC - Character","Crack, Drabble, trash, salad, what",English,2018-08-11,Completed,2018-08-11,363,1/1,null,null,null,7,"Have you ever wondered what Frozen would be like if it took place inside a giant bowl of potato salad? Yes? Well, congratulations! Today is your lucky day! For today, I shall be answering that curious question... in the form of a wonderful oneshot."
15660411,One Christmas That I Won't Forget:,/users/stevedannolover100781/pseuds/stevedannolover100781,Mature,M/M,Hawaii Five-0 (2010),"Steve McGarrett/Danny ""Danno"" Williams","Steve McGarrett, Danny ""Danno"" Williams, Charles ""Charlie"" Williams Edwards, Grace Williams","Children, Daughters, Sons, Father-Daughter Relationship, Father-Son Relationship, Drama, General, Hurt/Comfort, Emotional Hurt/Comfort, Hugs, Cuddling & Snuggling, Ratings: R, Rating: M, Romance, Slash, Male Slash, Kissing, Boys Kissing, Boys In Love, Major Character Injury, Recovery, Injury Recovery, Injury, Gunplay, Shooting, Gunshot Wounds, Guns, Shooting Guns, Episode Related, Episode Tag, Episode: s08e11 Oni Kalalea Ke Ku A Ka La'au Loa (A Tall Tree Stands Above the Others), Post-Episode: s08e11 Oni Kalalea Ke Ku A Ka La'au Loa (A Tall Tree Stands Above the Others), Established Relationship, Consensual, Mild Sexual Content",English,2018-08-11,Completed,2018-08-11,180,1/1,null,11,1,112,"*Summary: Steve, Grace, & Charlie surprises Danny with the best Christmas, after he was shot, What happened?, Stay Tuned, It’s gonna be a good one!!!!*"
15656922,Who Are You: A Wake Up Call,/users/ariestess/pseuds/A%20Magiluna%20Stormwriter,Teen And Up Audiences,"F/F, F/M, Multi",Once Upon a Time (TV),Evil Queen | Regina Mills/Maleficent/Robin Hood,"Evil Queen | Regina Mills, Drizella Tremaine | Ivy Belfrey, Robin Hood (Once Upon a Time)","Alternate Universe - Canon Divergence, Threesome - F/F/M, Bisexual Female Character, Cursed Hyperion Heights, Recovered Memories, Family Drama, Family Secrets, Angst and Feels, Swearing, Threats of Violence",English,2018-08-11,Completed,2018-08-11,2919,1/1,null,5,null,65,"One minute I'm happily prepping to close the bar early, like I do every Sunday night, and the next has my entire world spinning unevenly on its axis."
15656730,Icy Possessiveness,/users/Kimium/pseuds/Kimium,Teen And Up Audiences,Multi,Fire Emblem: If | Fire Emblem: Fates,Lazward | Laslow/Luna | Selena/Odin,"Lazward | Laslow, Hydra | Anankos, Odin (Fire Emblem), Luna | Selena, Pieri | Peri, Marx | Xander","One Shot, Revelations Route, Dragon Anankos able to take human form, He's still corrupt, Hint of Laslow/Odin/Selena OT3, Sort of Laslow/Anankos, Possessive actions and words, Forced kisses, Minor mention of injury",English,2018-08-11,Completed,2018-08-11,4860,1/1,2,31,null,211,"One shot. Revelations Route. In where Dragon!Anankos is able to take on human form, still be corrupt, and acts possessively towards the Trio (though mainly Laslow because his luck Sucks)."
15655764,Ulterior Motives,/users/Alisanne/pseuds/Alisanne,Teen And Up Audiences,M/M,Harry Potter - J. K. Rowling,Draco Malfoy/Harry Potter,"Draco Malfoy, Harry Potter",,English,2018-08-12,Completed,2018-08-12,1462,1/1,2,66,4,408,
15655752,I Just Don't Want To Miss You Tonight,/users/Georgie04/pseuds/Georgie04,Not Rated,M/M,Ackley Bridge (TV),Cory Wilson/Naveed Haider,"Naveed Haider, Cory Wilson, Riz Nawaz","Understanding Naveed, confused Cory, Getting Together, they're so soft, i love them, Riz is smart, Love, Acceptance, Bisexual Male Character, Gay Character",English,2018-08-12,Completed,2018-08-12,3708,1/1,2,51,6,413,Naveed decides to give Cory time to figure things out. Maybe Cory has known all along.
15655731,The Scent of Magic,/users/dazebras/pseuds/dazebras,Explicit,F/M,Uprooted - Naomi Novik,Agnieszka/The Dragon | Sarkan,"Agnieszka (Uprooted), The Dragon | Sarkan","Potions, Spells & Enchantments, Multiple Orgasms, Sex Pollen, Recreational Drug Use, Marathon Sex, Magic, Sex Magic, Enthusiastic Consent, Woman on Top, Dry Orgasm",English,2018-08-12,Completed,2018-08-12,3987,1/1,null,19,2,217,"With a plot against the young king afoot, Sarkan and Agnieszka are called back to Kralia to determine if there is any chance a last corrupted fragment of the Wood still lives in the capital.  However, Agnieszka may have gotten more than she bargained for when Sarkan reveals that the potion they are using to scry for it has some undiscussed side effects. Written for the 2018 Uprooted Fic-a-thon: Enchanted theme."
15655716,"We're Friends, Right?",/users/queerfindings/pseuds/meowgicmage,Teen And Up Audiences,Gen,Dragon Age: Inquisition,,"Sera (Dragon Age), Cremisius ""Krem"" Aclassi, Iron Bull","Pranks and Practical Jokes, Brotp, Sera Being Sera, Mild Hurt/Comfort",English,2018-08-12,Completed,2018-08-12,1162,1/1,1,9,null,33,"If Sera's an expert at anything, it's messing with people, but when she finds Krem the victim of someone other than her, it's immediately clear this is no joke. Pranks aren't supposed to hurt. Confuse, embarrass, teach a lesson, but never make someone she cares about look like they just took a fist in the gut while he excuses it as ""just a prank"". So she makes it right like good friends do. And if the cruel jokester gets the Thedas equivalent of Icy Hot in their knickers, well, she's sure that's ""just a prank"" too."
15655710,Saved by Winter,/users/unknown33/pseuds/unknown33,Not Rated,F/M,"The Avengers (Marvel Movies), Marvel Cinematic Universe, Winter Soldier (Comics), Bucky Barnes - Fandom, Winter Soldier - Fandom",winter soldier/ reader,"Winter Soldier, Bucky Barnes","idk where this is going, Nice winter soldier, Hydra, on the run from Hydra, slow burn?",English,2018-08-12,Completed,2018-08-12,741,1/1,null,2,null,131,"You worked at tiring, boring job that was no fun and paid little: a cashier at a grocery store. You lived in the middle of nowhere Illinois, and every day was about the same. The same old, boring, tiring process. Then, one day, a handsome stranger walks into the store, and your life is never the same. Amidst gunfire and smoke, you find happiness and love."
