work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15744393,Valentine's Day: First Date:,/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Underage",Not Rated,M/M,Hawaii Five-0 (2010),"Steve McGarrett/Danny ""Danno"" Williams","Steve McGarrett, Danny ""Danno"" Williams","Romance, Romantic Gestures, Slash, Walks On The Beach, Date/Date Night, Ratings: R, Rating: M, Male Slash, Boys Kissing, Kissing, Boys In Love, Valentine's Day, General, Established Relationship, Consensual, Mild Sexual Content, Surprises, Beaches, Happy, Happy Ending",English,2018-08-19,Completed,2018-08-19,273,1/1,null,6,1,40,"*Summary: Danny wanted to plan their first real date, What did he do?, Stay Tuned, It’s gonna be a good one!!!!*   *Author’s Note: This is part of my series, Enjoy with my compliments!!!!*"
15740697,Deadly and Psychotic,/users/LoveFandoms828/pseuds/LoveFandoms828,No Archive Warnings Apply,Mature,M/M,Sha Lu noTian Shi  | Satsuriku no Tenshi | Angels of Death (Anime),"Isaac Foster & Rachel Gardner, Isaac Foster & Original Male Character(s), Isaac Foster/Original Male Character(s)","Isaac Foster, Original Male Character(s), Rachel Gardner","Blood, Scythe, Insanity, insane, Crazy, Psycho, Deadly Guy, Obsession, Psychopath in Love, Yandere, knife, Warm, Feelings, Kissing, slight bromance, killers, Dark Character, Rare Purple Eyes, sad past, Gay",English,2018-08-19,Completed,2018-08-19,935,1/1,null,5,2,96,"Zack (Isaac Foster) and Ray (Rachel) get out of the elevator, into another floor. Everywhere there's blood and darkness. They walk into a room and meet the resident of that floor. Lucius. That guy has an obsession for one of them ♡"
15740589,For my best friend,/users/barnabeebaby/pseuds/barnabeebaby,No Archive Warnings Apply,Explicit,Other,X-Files - Fandom,,Dana Scully,,English,2018-08-20,Completed,2018-08-20,5,1/1,null,2,null,122,This is written for my bestie :)
15740583,*sung to the tune of crunkin crunkin whilst i pop my booty in distress* HELPME HELPME,/users/junebeetle/pseuds/junebeetle,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply",Not Rated,Multi,Bring It On - Miranda & Kitt/Green & Miranda/Whitty,,"La Cienega (Bring It On: The Musical), jus putting her there bc thats the only, tag that shows up for this fandom when u google it",,English,2018-08-20,Completed,2018-08-20,592,1/1,4,null,null,13,hmu with requests and shit my dudes (also info on the gc fic yeet)
15740580,Maybe Just a Little,/users/jnp/pseuds/jnp,Creator Chose Not To Use Archive Warnings,General Audiences,F/F,Riverdale (TV 2017),"Cheryl Blossom/Toni Topaz, Cheryl Blossom & Toni Topaz","Cheryl Blossom, Toni Topaz","POV Second Person, Prompt Fic, they're soft, cheryl tries to teach toni to dance, it doesn't go as planned, i guess i'm bad at this, Fluff",English,2018-08-20,Completed,2018-08-20,1183,1/1,3,60,2,867,"""You are not trying to get me tipsy at three in the afternoon,"" you say in faux-annoyance as she hands you a glass.  ""We're dumb teenagers, Cheryl,"" she husks. ""We can get wine-drunk any hour of the day."" or They drink a little. Cheryl tries to teach Toni how to dance."
15740547,Adventures in Babysitting,/users/Victori/pseuds/Victori,"Graphic Depictions Of Violence, No Archive Warnings Apply",Teen And Up Audiences,Gen,"Marvel Cinematic Universe, Spider-Man: Homecoming (2017), The Avengers (Marvel Movies)","Peter Parker & Tony Stark, Pepper Potts/Tony Stark, Peter Parker & Avengers Team","Peter Parker, Tony Stark, Pepper Potts, Steve Rogers, Natasha Romanov, James ""Bucky"" Barnes, James ""Rhodey"" Rhodes, Clint Barton, Sam Wilson (mentioned), Happy Hogan","Post-Avengers: Infinity War Part 1 (Movie), Irondad, spiderson, Tony Stark Acting as Peter Parker's Parental Figure, Tony Stark Has A Heart, Peter Parker Needs a Hug, Tony Stark Needs a Hug, Natasha Romanov Is a Good Bro, so are all the Avengers tbh, Fluff, Angst, Fluff and Angst, Precious Peter Parker, Peter Parker is a Good Bro, Protective Tony Stark, Hurt Peter Parker, Hurt/Comfort, BAMF Peter Parker, Peter Parker is good with kids, and Tony and Pepper have a kid, Peter is an excellent babysitter, This is a one shot that got out of hand, peter is an awesome big bro, i wrote fluff to fix my heart, and angst to break it again, Sorry Not Sorry, rating is for some swearing, Worried Tony Stark, Dad!Tony Stark, Pepper is an exasperated mom",English,2018-08-20,Completed,2018-08-20,16066,1/1,18,194,54,1890,"“What do you mean you’re not going?!” Pepper protested. “It’s your ball!”“I don’t have the time—”“You do have the time—”“And plus, who would watch Maria?” Tony finished. “We all know Happy will be working security, and all the Avengers will be there.”“I’ll babysit her.” Tony and Pepper turned to see Peter raising his hand tentatively.ORPeter offers to watch five-year-old Maria Stark so Tony can get out of the house. Things don't exactly go as planned, Tony's kids nearly give him an aneurysm, and Pepper just wants a relaxing night out."
15740541,We Just Wanted Time,/users/Artemis_Egeria/pseuds/Artemis_Egeria,Creator Chose Not To Use Archive Warnings,General Audiences,F/M,"Marvel Cinematic Universe, The Avengers (Marvel Movies)",Wanda Maximoff/Vision,"Wanda Maximoff, Vision (Marvel), Sam Wilson (Marvel), James Rhodes, Natasha Romanov (Marvel), Bruce Banner","Avengers: Infinity War Part 1 (Movie) Compliant, Missing Scene, Protective Wanda, Protective Vision, they just want to protect each other, Fluff and Angst",English,2018-08-20,Completed,2018-08-20,1293,1/1,4,33,1,264,Wanda and Vision take a moment for themselves between battles. Takes place during Infinity War.
15740535,Death is the Brother of Sleep,/users/NevaehHM/pseuds/Salvatore,No Archive Warnings Apply,Mature,M/M,Greek Mythology,Hypnos/Thanatos (Greek and Roman Mythology),"Thanatos, Hypnos","Incest, Gay, Oneshot, Smut, Smut without much plot",English,2018-08-20,Completed,2018-08-20,322,1/1,null,2,null,41,"Thanatos is at wits end and his dear brother is there to help, and work him up in the process."
15740523,Cliff Notes,/users/minkmix/pseuds/minkmix,No Archive Warnings Apply,General Audiences,,Dark Angel (TV),cindy&alec,"Cynthia ""Original Cindy"" McEachin, Alec McDowell | X5-494",the best platonic love ever,English,2018-08-20,Completed,2018-08-20,2068,1/1,null,2,1,29,Alec always crashes Cindy's place. It's not like he's lonely or something. (btw I was really obsessed with scary stories at the time I wrote this. Melville! *shiver*)
15740505,Rest,/users/stormy1990/pseuds/stormy1990,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,Love-tune,Abe Aran/Nagatsuma Reo,"Abe Aran, Yasui Kentaro, Nagatsuma Reo",Character Death,English,2018-08-20,Completed,2018-08-20,453,1/1,2,1,null,9,It was easier to understand for those who could see what everyone else couldn't. But that wouldn't take the pain away.
