work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15718074,The Simplest Decision,/users/wlw0with0reader/pseuds/wlw0with0reader,Teen And Up Audiences,F/F,Jane the Virgin (TV),Petra Solano/Reader,"Petra Solano, Reader (female)",Reader-Insert,English,2018-08-12,Completed,2018-08-12,1414,1/1,null,2,null,14,Reader is Jane’s twin and Petra has a crush on them which results in Jane getting protective of them but once she sees how much Petra actually cares about the reader she backs off.
15713175,Let Your Demons Roar Tonight,/users/wlw0with0reader/pseuds/wlw0with0reader,Teen And Up Audiences,F/F,The Addams Family (Movies),Wednesday Addams/Reader,"Wednesday Addams, Reader (female)",Reader-Insert,English,2018-08-12,Completed,2018-08-12,709,1/1,null,3,null,27,"instead of going to the school prom, Wednesday and reader have their own Halloween themed prom in the cemetery. both Wednesday and R are 18."
15688881,Bermuda,/users/wonpilhearts/pseuds/wonpilhearts,General Audiences,M/M,Voltron: Legendary Defender,Keith/Shiro (Voltron),"Keith (Voltron), Shiro (Voltron)",It's Sheith If You Squint,English,2018-08-12,Completed,2018-08-12,1083,1/1,null,23,1,185,"“Are we going to investigate or not?” “Um, not? I’m not going up there, what the fuck?”     (Or, Keith thinks his house is haunted and his sleepover with Shiro turns into a ghost hunt.)"
15686808,Anywhere Is,/users/Settiai/pseuds/Settiai,General Audiences,Gen,Tin Man (2007),"DG & Glitch (Tin Man), DG & Wyatt Cain, DG & Raw (Tin Man), Azkadellia & DG (Tin Man), DG & Lavender Eyes, DG & Ahamo",DG (Tin Man),"Embedded Video, Fanvids, Video Format: AVI, Video Format: Streaming, Vividcon",English,2018-08-12,Completed,2018-08-12,24,1/1,null,7,null,46,"[Fanvid] ""I walk the maze of moments / But everywhere I turn to / Begins a new beginning / But never finds a finish."""
15678924,Drunken Disorderly Conduct,/users/stories_from_the_7th_floor/pseuds/stories_from_the_7th_floor,Mature,F/F,Madam Secretary,Elizabeth McCord/Nadine Tolliver,"Nadine Tolliver, Elizabeth McCord","Romance, Girl Power, Smut, Drunkenness",English,2018-08-12,Completed,2018-08-20,5352,2/2,null,6,null,52,"Nadine Tolliver, Chief of Staff to Secretary of State Elizabeth McCord, has a problem- she's hot for her boss. But what if her daydreams of this blonde beauty were to come true? Couldn't possibly happen... right?"
15677289,Big News!,/users/FeliciaAmelloides/pseuds/FeliciaAmelloides,Teen And Up Audiences,F/M,Frozen (2013),"Anna/Kristoff (Disney), Anna & Elsa (Disney)","Anna (Disney), Elsa (Disney), Kristoff (Disney)","Aged-Up Character(s), Pregnant Anna (Disney), Fluff",English,2018-08-12,Completed,2018-08-12,1000,1/1,null,1,null,36,"When Anna receives some big news, she knows she has to break it to Kristoff in the most exciting way possible. Perhaps her sister can help her make her plans a reality..."
15669324,The 1983 Sauternes Bordeaux,/users/ariestess/pseuds/A%20Magiluna%20Stormwriter,Teen And Up Audiences,F/M,Once Upon a Time (TV),Evil Queen | Regina Mills/Robin Hood,"Robin Hood (Once Upon a Time), Evil Queen | Regina Mills","Alternate Universe - Canon Divergence, Established Relationship, Light Angst, Angst and Humor, Wine, Couches",English,2018-08-12,Completed,2018-08-12,879,1/1,null,6,null,77,Robin's spilled red wine on Regina's white couch and is trying to clean it before she gets home.
15668910,"Last Words, Last Wishes",/users/ariestess/pseuds/A%20Magiluna%20Stormwriter,Teen And Up Audiences,F/M,Once Upon a Time (TV),Evil Queen | Regina Mills/Robin Hood,"Robin Hood (Once Upon a Time), Evil Queen | Regina Mills, Marian (Once Upon a Time)","Alternate Universe - Canon Divergence, Established Relationship, Character Death, Canon-Typical Violence, Grief/Mourning, Angst, Phone Calls & Telephones",English,2018-08-12,Completed,2018-08-12,1098,1/1,null,3,null,76,A surprise phone call ends up causing more heartache than perhaps initially intended…
15667929,fighting,/users/txmaki/pseuds/txmaki,Teen And Up Audiences,"F/M, M/M",Voltron: Legendary Defender,"James Griffin/Reader, James Griffin/You","James Griffin, You, Reader","so i watched season seven and at first, i wanted to punch james in the face, but he came back and he was hot so i wanted to punch him and ALSO make out w him, he redeemed himself, please dont judge me, Anyways, Love/hate relationships, Fights, but not really, Making Out, uhh, he could step on me and not only would i be grateful but i'd probably pay him 20 bucks",English,2018-08-13,Completed,2018-08-13,476,1/1,null,16,null,116,"Oh, how you wanted to push him off of you. But the want of needing to kiss him was so much stronger."
15667920,It's Not Your Fault. (Sanders Sides),/users/playertwoisheereandqueer/pseuds/playertwoisheereandqueer,General Audiences,Other,"Sanders Sides (Web Series), Thomas Sanders","No Romantic Relationship(s), Anxiety | Virgil Sanders/Deceit Sanders, Anxiety | Virgil Sanders & Deceit Sanders","Anxiety | Virgil Sanders, Deceit Sanders","I don't mean to make anyone the bad guy, But I think I made the sides the bad guys, Sympathetic Deceit Sanders, Good Deceit Sanders, Deceit Sanders NOT being an asshole, Based of one tumblr post I once saw, Can be romantic if you want to look at it that way, But that's not how it's intended",English,2018-08-13,Completed,2018-08-13,221,1/1,4,35,2,308,"They always send Virgil to deal with Deceit, and it always goes horribly wrong. But for once, it's not deceit that's the problem."
15667911,"come back to me, baby (we can work this out)",/users/notanannoyingfangirl/pseuds/slowklancing,Teen And Up Audiences,M/M,Voltron: Legendary Defender,Keith/Lance (Voltron),"Keith (Voltron), Lance (Voltron)","Season Seven Fix It, post season seven, Miscommunication, talking about feelings, A Conversation I Strongly Feel Needs to Happen, Keith (Voltron) is Bad at Feelings, lance is important, Gay Keith (Voltron), Bisexual Lance (Voltron), First Kiss, Getting Together, Some angst, with a happy ending",English,2018-08-13,Completed,2018-08-13,2874,1/1,38,410,55,2764,"“What do you want from me, Lance?” Keith asked, reaching up to run a hand through his hair.  “I want my friend back,” Lance said quietly. “What happened to you while you were gone?”  // what happened after season seven ended"
