work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15717450,Careful Kisses,/users/wlw0with0reader/pseuds/wlw0with0reader,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,F/F,Brooklyn Nine-Nine (TV),Amy Santiago/Reader,"Amy Santiago, Reader (female)",Reader-Insert,English,2018-08-16,Completed,2018-08-16,770,1/1,null,4,null,47,"Amy is in the hospital, severely injured, and so Reader must be careful with their kisses."
15713715,"Checkmate, Mother",/users/wlw0with0reader/pseuds/wlw0with0reader,Creator Chose Not To Use Archive Warnings,Mature,F/F,Supergirl (TV 2015),Lena Luthor/Reader,"Lena Luthor, Reader (female)","Reader-Insert, plus sized reader",English,2018-08-16,Completed,2018-08-16,1230,1/1,null,2,null,65,Where Reader is Alex and Kara’s little sister an works with them at the DEO and Lillian Luthor doesn’t approve of Lena and Reader and tries to break them apart?
15709881,"Happy Birthday, Connor",/users/Enigmatic_Stardust/pseuds/Enigmatic_Stardust,No Archive Warnings Apply,General Audiences,Gen,Detroit: Become Human (Video Game),,"Connor (Detroit: Become Human), Hank Anderson, Gavin Reed, Markus (Detroit: Become Human)","Tooth-Rotting Fluff, Good Parent Hank Anderson, seriously he's best dad in this, Happy Birthday Connor (Detroit: Become Human), When do androids have their birthday though, some mention of game plot violence, Not Beta Read",English,2018-08-16,Completed,2018-08-16,1893,1/1,2,18,2,141,Connor was built on August 15th. It's his birthday. A quick tribute to one of my favorite andorids~
15709167,Shadows of Yesterday,/users/Jazzy_Kandra/pseuds/Jazzy_Kandra,No Archive Warnings Apply,General Audiences,M/M,Tales of Zestiria,"Mikleo/Sorey (Tales of Zestiria), Edna & Mikleo (Tales of Zestiria)","Mikleo, Edna, Sorey","Found Family, SorMik, Sorey doesn't show up but the lack of his presence is felt, Vaguely based on 8/16's writing prompt pride or fog, I'm joining sormik week late because I didn't know about it, Sormik Week 2018",English,2018-08-17,Completed,2018-08-17,1252,1/1,null,7,1,59,"Mikleo returns to Elysian for the first time after Sorey fell asleep, luckily, he did not come alone."
15709161,Little Red and the Big Bad Wolf (David Rossi/FemOC),/users/LoveisFFandLattes/pseuds/LoveisFFandLattes,No Archive Warnings Apply,Not Rated,F/M,Criminal Minds (US TV),David Rossi/Original Female Character(s),"David Rossi, Original Female Character(s)","Smut, Rough Sex, role play, Little Red Riding Hood - Freeform, Big Bad Wolf - Freeform, cursing, Costumes, Halloween, Office Sex",English,2018-08-17,Completed,2018-08-17,1607,1/1,null,2,null,68,"I wrote this about 2 years ago so the writing style is different, but I love it enough that I wanted to share it with you guys. OC is a member of the BAU named Alyssa whom is in a pre-established relationship with Rossi."
15709158,Come Home,/users/blackmeteor/pseuds/blackmeteor,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,Wanna One (Band),Hwang Minhyun/Ong Seongwu,"Hwang Minhyun, Ong Seongwu, Park Jihoon, Park Woojin, Lee Daehwi, Kim Jaehwan","birthday fic, OHWeekDay4, Domestic!AU",English,2018-08-17,Completed,2018-08-17,3627,1/1,5,68,null,364,It's Minhyun's birthday and Seongwoo is trying to prepare for it with the kids.
15709152,Stuck,/users/sophisticus/pseuds/sophisticus,No Archive Warnings Apply,Teen And Up Audiences,F/M,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,Kirishima Eijirou/Original Character(s),"Kirishima Eijirou, Kaminari Denki, Original Characters",,English,2018-08-17,Completed,2018-08-17,645,1/1,null,1,null,12,"Kitoka tries to figure out her new capture ribbons and gets a little tied up. Thankfully, Kirishima is there to lend a helping hand."
15709143,Enchantment Passing Through,/users/ThatBohoFemme/pseuds/ThatBohoFemme,No Archive Warnings Apply,General Audiences,F/M,World Wrestling Entertainment,Bayley | Davina Rose/Elias Samson,"Bayley | Davina Rose, Elias Samson","Werewolves, Reconciliation, Established Relationship, Breaking Up & Making Up, Hurt/Comfort, Mild Angst, Fluff, Supernatural Elements",English,2018-08-17,Completed,2018-08-17,1332,1/1,1,8,null,48,"He hadn't expected to be waking up to someone pounding on his front door the morning after the full moon. But here he was, crawling out of bed at 6:17 AM, the pounding continuing as he slithered out between the sheet.  ""Bayley?""  ""Thought I'd come back."""
15709131,[(Chu Guo )] Qi Xi He Wen,/users/ShiLiuNN/pseuds/ShiLiuNN,Creator Chose Not To Use Archive Warnings,Mature,M/M,Zhen Hun ,,,,English,2018-08-17,Completed,2018-08-17,214,1/1,null,1,null,176,
15709116,"Welp, That Happened",/users/Cinnamon_Writes/pseuds/Cinnamon_Writes,No Archive Warnings Apply,General Audiences,"F/M, M/M",Percy Jackson and the Olympians & Related Fandoms - All Media Types,"Apollo/Meg McCaffrey, Meg McCaffrey & Rachel Elizabeth Dare, Nico di Angelo/Will Solace (mentioned)","Apollo (Percy Jackson), Meg McCaffrey, Rachel Elizabeth Dare","Rachel & Meg r bffs fite me on this, lol dont actually, Birthday, Makeouts, megpollo is compared to solangelo",English,2018-08-17,Completed,2018-08-17,116,1/1,1,3,null,138,"Rachel walks in on Meg and Apollo arguing. About ten minutes later, they're making out."
15709107,Surprise Activity,/users/sophisticus/pseuds/sophisticus,No Archive Warnings Apply,Teen And Up Audiences,Gen,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,,"Bakugou Katsuki, Kirishima Eijirou, Kaminari Denki, Original Characters, Sero Hanta",,English,2018-08-17,Completed,2018-08-17,503,1/1,null,3,null,9,"Prompt: Your OC finds another character doing something they'd probably be embarrassed to be caught doing. Kitoka walks in on Bakugo trying to figure out eyeliner - for his hero costume, of course."
15709092,"Do The Oceans Call Your Name? [Flash Fiction 1,000 WC Challenge Piece]",/users/princelogical/pseuds/princelogical,No Archive Warnings Apply,General Audiences,Gen,Original Work,No Romantic Relationship(s),"Original Characters, Original Female Character(s), Original Male Character(s)","Allusions to mermaids, Ocean, Flash Fic, POV Second Person",English,2018-08-17,Completed,2018-08-17,1000,1/1,2,4,null,8,The sea summons you.
15709086,Administer,/users/Val_Creative/pseuds/Val_Creative,No Archive Warnings Apply,Teen And Up Audiences,F/M,"X-Men - All Media Types, X-Men (Movieverse)",Logan/Rogue (X-Men),"Logan (X-Men), Rogue (X-Men)","Canon Universe, Far Future, Blood and Injury, Superpowers, Hurt/Comfort, Whump, Angst with a Happy Ending",English,2018-08-17,Completed,2018-08-17,378,1/1,2,25,1,144,Logan saves her life and she saves his. That’s how it goes.
