work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15860235,Wings 76 - 80,/users/learashi/pseuds/learashi,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,"Arashi (Band), Johnny's Entertainment","sakumoto, Ohba, Nino/Toma","Matsumoto Jun, Sakurai Sho, Aiba Masaki, Ohno Satoshi, Ninomiya Kazunari, Ikuta Toma","Alternate Universe, Wingfic, Fluff, Fantasy, Las Vegas, Cleaning, Blow Jobs, K-pop References",English,2018-08-30,Completed,2018-08-30,3311,1/1,null,5,null,29,"The sun was barely peeking over the horizon, suffusing everything with a soft pink glow. This included the feathers on Jun’s wings, which billowed around him like a sea of pink foam."
15855939,"I'm So Sorry, Babe:",/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Underage",Not Rated,M/M,Hawaii Five-0 (2010),"Steve McGarrett/Danny ""Danno"" Williams","Steve McGarrett, Danny ""Danno"" Williams","Arguing, Anger, Sad, Sadstuck, General, Drama, Hurt/Comfort, Emotional Hurt/Comfort, Rating: M, Ratings: R, Romance, Mild Sexual Content, Established Relationship, Consensual, Making Up, Making Out, Kissing, Boys Kissing, Boys In Love, Male Slash, Slash",English,2018-08-30,Completed,2018-08-30,237,1/1,null,2,1,80,"*Summary: Steve & Danny had an argument, What happens?, Stay Tuned, It’s gonna be a good one!!!!*"
15854232,until our hearts give out,/users/classyfoxturtle/pseuds/classyfoxturtle,Major Character Death,Teen And Up Audiences,"F/F, F/M, Gen",Naruto,"Uchiha Mikoto/Uzumaki Kushina, Uchiha Fugaku/Uchiha Mikoto","Uchiha Mikoto, Uchiha Fugaku, Uzumaki Naruto, Uchiha Sasuke, Uchiha Itachi","Unrequited Love, Adopted Uzumaki Naruto, Flashbacks, Drabble, Grief/Mourning, Moving On, Naruto Femslash Week 2018",English,2018-08-30,Completed,2018-08-30,462,1/1,2,25,2,120,"Nobody sees anything until they see Mikoto strolling through town, her head held high with a yellowing bruise on display and a blond boy on her back. Her husband and her two sons are walking beside her."
15850149,The morning after,/users/Servena/pseuds/Servena,No Archive Warnings Apply,Teen And Up Audiences,Gen,Marco Polo (TV),Ahmad & Prince Jingim (Marco Polo),"Ahmad (Marco Polo), Prince Jingim (Marco Polo)","Morning After, Hangover, Blackouts, Headaches & Migraines, Nausea, talk about sex",English,2018-08-30,Completed,2018-08-30,920,1/1,null,null,null,13,Ahmad woke to the pounding in his skull.
15849273,Cruisin' down Kenford,/users/cablecat/pseuds/cablecat,Major Character Death,Teen And Up Audiences,F/M,One Direction (Band),One Direction Ensemble/Reader,"Niall Horan, Zayn Malik, Harry Styles, Louis Tomlinson, Liam Payne",Car Accidents,English,2018-08-31,Completed,2018-08-31,489,1/1,null,14,null,123,1̟d̩̳̞͘ ͕̟͈͎̮ģo̤̥͡e̲ș̜̟͓̟ ̡on ͈a̦ ṛ̥̙̼o̸̟ạ̶͈̹͎̤͉̩d̢͓̖͍ ̠ț̰̫r̭̀i̜̰̝͉̟p ̖͕͚͎͎̙̱an̖d͕
15849249,Over the Wall,/users/Gemini_Wilson_2001/pseuds/Gemini_Wilson_2001,Major Character Death,General Audiences,F/F,Original Work,OMC/OFC (platonic/romantic if you squint),"Original Female Character(s), Original Male Character(s)","Sad, wrote for school assignment, im sorry, Don't get attached",English,2018-08-31,Completed,2018-08-31,1623,1/1,null,null,null,3,I wrote this for English. Got a B+. Pretty chuffed. Just don’t get attached.
15849240,A Wave Breaking on the Shore,/users/triggerswaggiehavoc/pseuds/triggerswaggiehavoc,No Archive Warnings Apply,General Audiences,M/M,SEVENTEEN (Band),Jeon Wonwoo/Kwon Soonyoung | Hoshi,"Jeon Wonwoo, Kwon Soonyoung | Hoshi","Alternate Universe, Established Relationship, Emotional Baggage, Light Angst, Happy Ending, Melancholy, Ocean, Vacation",English,2018-08-31,Completed,2018-08-31,9072,1/1,3,27,null,266,"When the sun stops shining so brightly, make a stop by the beach to check up on it. Soonyoung and Wonwoo are figuring things out."
15849228,"In Other Words, I Love You",/users/ThatHomoGuy/pseuds/ThatHomoGuy,No Archive Warnings Apply,General Audiences,M/M,Mass Effect Trilogy,Male Shepard/Mordin Solus,"Mordin Solus, Shepard (Mass Effect)","Fluff, Comfort, Slow Dancing",English,2018-08-31,Completed,2018-08-31,813,1/1,null,5,null,20,A slow dance on the Normandy late at night is the perfect way to spend some time with your favourite scientist.
15849219,Sewn to the Toes,/users/TheBardsCipher/pseuds/TheBardsCipher,No Archive Warnings Apply,General Audiences,Gen,DuckTales (Cartoon 2017),,"Webby Vanderquack, Lena (Disney: DuckTales), Louie Duck, Huey Duck, Dewey Duck, Scrooge McDuck","Set after season one, Fanfiction: I do what I want, Power of Friendship, awful scottish accent, I'm Sorry, may be out of character, First time writing these characters, Is it a ghost? I don't know",English,2018-08-31,Completed,2018-08-31,5137,1/1,2,45,2,310,"Webby is determined to find and rescue Lena. However, while working on trying to figure out where to even start Webby starts seeing things."
15849213,Not Going Anywhere,/users/starryeyedchar/pseuds/starryeyedchar,Creator Chose Not To Use Archive Warnings,Not Rated,Gen,"Fullmetal Alchemist: Brotherhood & Manga, Fullmetal Alchemist - All Media Types","Edward Elric & Roy Mustang, Minor or Background Relationship(s), Riza Hawkeye/Roy Mustang, Maes Hughes & Roy Mustang","Roy Mustang, Edward Elric, Envy (Fullmetal Alchemist), Riza Hawkeye (mentioned), Maes Hughes (mentioned)","Canon-Typical Violence, Angst, Fluff and Angst, Angst with a Happy Ending, Blood and Injury, Hurt/Comfort, Parental Roy Mustang, Hurt Roy Mustang, Hurt Edward Elric, Edward Elric Is A Little Shit, Canon Universe, Major Character Injury, Near Death Experiences",English,2018-08-31,Completed,2018-08-31,6045,1/1,2,57,6,305,"When the Fullmetal Alchemist is late to make his report, Roy doesn't think anything of it. That is, until he gets a call from the kid himself saying that he ran into Scar, which is more than a little concerning. So he goes immediately to help, because he's not about to let what happened to Hughes happen again. When Ed gets to Colonel Mustang's office and finds the man gone, he knows something is out of the ordinary. This feeling is confirmed when he find a note addressed to Lieutenant Hawkeye that the Colonel had to go because Ed was in trouble. Because that could only mean one thing: Envy was leading Roy right into a trap. In which Ed and Roy are both idiots who will do anything to save someone in danger, especially if that person is someone they care about. And they stop being stubborn long enough to admit that maybe they do care if the other were to die."
