work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15838272,Trouble,/users/ivyness/pseuds/ivyness,No Archive Warnings Apply,Teen And Up Audiences,Gen,The Avengers (Marvel) - All Media Types,,"Steve Rogers, James ""Bucky"" Barnes, Natasha Romanov (Marvel), Clint Barton","au yeah august, Alternate Universe - BFF Swap, Friend Swap",English,2018-08-26,Completed,2018-08-26,1410,1/1,null,null,null,9,Steve and Clint have been childhood best friends. Bucky and Natasha are as close to friends as they can get.
15812085,What's Two More?,/users/ariestess/pseuds/A%20Magiluna%20Stormwriter,No Archive Warnings Apply,General Audiences,F/M,Once Upon a Time (TV),Evil Queen | Regina Mills/Robin Hood,"Evil Queen | Regina Mills, Robin Hood (Once Upon a Time), Minor Characters, Original Female Character(s)","Alternate Universe - Canon Divergence, Established Relationship, Family Feels, Family Fluff, Adoption, OQ on Holidays Week, Mother-Daughter Relationship, Father-Daughter Relationship",English,2018-08-26,Completed,2018-08-26,2388,1/1,8,11,1,118,"Almost sixteen years after adopting Henry, Regina finds herself back at the Kennedy Adoption Agency with Robin to add to their family."
15811731,Brave v. Strong,/users/deathishauntedbyhumans/pseuds/deathishauntedbyhumans,Creator Chose Not To Use Archive Warnings,General Audiences,Gen,DuckTales (Cartoon 2017),Lena (Disney: DuckTales) & Webby Vanderquack,"Lena (Disney: DuckTales), Webby Vanderquack, Magica de Spell (mentioned)","Conversations, Magic, Shadow Realm, spoilers for The Shadow War, Can d e f i n i t e l y be seen as pre-ship with the right goggles on, post S1, The Author Regrets Nothing, POV Third Person, Present Tense, Wordcount: 500-1.000",English,2018-08-26,Completed,2018-08-26,528,1/1,4,18,2,157,Lena and Webby talk some things out post-Shadow War. What does it really mean to be brave? To be strong?
15811158,Wholly Glorious,/users/DarkSideOfThePillow/pseuds/DarkSideOfThePillow,Creator Chose Not To Use Archive Warnings,Explicit,F/F,The Loud House (Cartoon),"Luna Loud/Sam, Saluna","Luna Loud, Sam Sharp, Sam (The Loud House)","Smut, Lemons, Erotica, Yuri, Gangbang, Gloryhole, Facial, cum, Cumplay, Tribbing, Creampie, interracial, Rhyming, Poetry, If you can call it that haha",English,2018-08-27,Completed,2018-08-27,4362,1/1,null,null,1,250,"A rhyming tale for the love of rock and roll: Sam and Luna enjoy a nice glory hole! (Rated M for lemons, smut, you name it. I do not own The Loud House)."
15811134,I Missed You,/users/ErinBocca/pseuds/ErinBocca,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,Thor (Movies),Loki/Thor,"Thor (Marvel), Loki (Marvel), En Dwi Gast | Grandmaster","Fluff, nothing but fluff, Mermaid Loki, Young Love, Loki and Thor Are Not Related, En Dwi isn't a dick, Parental En Dwi, Sweet, Nothing but loving love between these two",English,2018-08-27,Completed,2018-08-27,6938,1/1,5,38,6,368,"Thor finally returns to his uncle's home to see Loki after almost three months, and the two couldn't be happier to see each other again!"
15811125,Boyfriend Status: Zombie,/users/carryaworld/pseuds/carryaworld,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,Midoriya Izuku/Todoroki Shouto,"Midoriya Izuku, Todoroki Shouto, Uraraka Ochako, Bakugou Katsuki, Kirishima Eijirou","Minor Bakugou Katsuki/Kirishima Eijirou, Sickfic, Midoriya Izuku is bad at taking care of himself, this is nothing but fluff, Bakugou Katsuki Swears A Lot, god I'm so excited to use that tag, the T is for Bakugou's filthy mouth, Future Fic",English,2018-08-27,Completed,2018-08-27,2699,1/1,8,103,10,759,"Midoriya Izuku is awful about minding his health, and also about jumping into rivers."
15811116,Swing Set,/users/Kessari_Wolf_Pack/pseuds/Kessari_Wolf_Pack,No Archive Warnings Apply,Not Rated,F/M,Hetalia: Axis Powers,England/France (Hetalia),"America (Hetalia), England (Hetalia), Canada (Hetalia), South Italy (Hetalia), Female France (Hetalia), North Italy (Hetalia), Japan (Hetalia), Germany (Hetalia), Russia (Hetalia), Iceland (Hetalia), Belarus (Hetalia), Liechtenstein (Hetalia), Belgium (Hetalia), Latvia (Hetalia)","Chibi America (Hetalia), Chibi Canada (Hetalia), Chibi Romano (Hetalia), Chibi North Italy (Hetalia), chibi japan, Chibi Germany (Hetalia), Chibi Russia (Hetalia), Chibi Iceland (Hetalia), Chibi Belarus, Chibi Liechtenstein, Chibi Belguim, Chibi Latvia, Mentioned Romano - Freeform, Mentioned Japan (Hetalia), Mentioned Germany (Hetalia), Mentioned Russia (Hetalia), Mentioned Iceland, Mentioned Belarus, Mentioned Liechtenstein - Freeform, Mentioned Belguim, Mentioned Latvia",English,2018-08-27,Completed,2018-08-27,857,1/1,null,null,null,46,
15811104,Feel Your Skin,/users/tenbfireflies/pseuds/tenbfireflies,Creator Chose Not To Use Archive Warnings,Explicit,M/M,Original Work,Original Male Character/Original Male Character,"Charlie Hammond(OC), Eugene ""Sunny"" Xun","Mildly Dubious Consent, only mentioned - Freeform, Anal Sex, Semi-Public Sex, Possessive Behavior",English,2018-08-27,Completed,2018-08-27,836,1/1,null,3,null,112,Charlie finds Sunny in the stairwell.
15811101,Best of Me,/users/InfiniteWoonique/pseuds/InfiniteWoonique,No Archive Warnings Apply,General Audiences,M/M,bangtansonyeondan | Bangtan Boys | BTS,Jung Hoseok | J-Hope/Min Yoongi | Suga,"Kim Seokjin | Jin, Min Yoongi | Suga, Jung Hoseok | J-Hope, Kim Namjoon | RM, Park Jimin (BTS), Kim Taehyung | V, Jeon Jungkook","Mpreg, Tooth-Rotting Fluff, Family, Kid Park Jimin (BTS), Kid Kim Taehyung | V, Kid Kim Seokjin | Jin, Kid Kim Namjoon | RM, Kid Jeon Jungkook, Pregnant Min Yoongi | Suga",English,2018-08-27,Completed,2018-08-27,2392,1/1,null,70,8,794,Yoongi and Hoseok have a happy family with one on the way
15811095,Relapse,/users/bluedot522/pseuds/bluedot522,Creator Chose Not To Use Archive Warnings,General Audiences,Gen,Steven Universe (Cartoon),,"Peridot (Steven Universe), Greg Universe","Post-Episode: s05e25 Legs From Here to Homeworld, Sad Peridot (Steven Universe), POV Peridot (Steven Universe), Heroes to Villains, Angst, Bullying, Insecurity",English,2018-08-27,Completed,2018-08-27,2317,1/1,5,14,1,192,"After losing her barn and her sense of pride, Peridot begins to rethink her role as a Crystal Gem."
