work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15635859,A Cruel Lie to Mask a Lethal Truth,/users/imaginarydaydreams/pseuds/imaginarydaydreams,Teen And Up Audiences,F/M,Mystic Messenger (Video Game),"Saeran Choi/Main Character, Saeran Choi & Main Character","Saeran Choi, Main Character (Mystic Messenger)","Angst and Romance, Lies, Angst and Feels, literally I didn't know my first choice at this part ended up as a lie but okay, didn't know that I would still be haunted by Ray Route but okay",English,2018-08-07,Completed,2018-08-07,675,1/1,null,3,null,40,"He rescued her and now asked for her forgiveness. Her mind told her not to forgive, but the heart...the heart is quite the fickle thing indeed. (Spoilers for Ray Route.)"
15622644,Traditions,/users/ravenic/pseuds/luoup,General Audiences,Gen,Voltron: Legendary Defender,Allura & Hunk & Keith & Lance & Pidge | Katie Holt & Shiro,"Hunk (Voltron), Pidge | Katie Holt, Keith (Voltron), Shiro (Voltron), Lance (Voltron), Allura (Voltron)",,English,2018-08-07,Completed,2018-08-07,795,1/1,null,2,null,14,"
Day 2 Prompt 1: Traditions
 Small things become traditions, after so many years."
15621954,Fighting,/users/ravenic/pseuds/luoup,Teen And Up Audiences,Gen,Voltron: Legendary Defender,Hunk & Keith & Lance & Pidge | Katie Holt & Shiro,"Shiro (Voltron), Lance (Voltron), Keith (Voltron), Hunk (Voltron), Pidge | Katie Holt",Paladin Bond,English,2018-08-07,Completed,2018-08-07,863,1/1,null,2,null,22,"
Day 6 Prompt 1: Fighting
 Fighting as a unit"
15620325,Worldbuilding.,/users/FeliciaAmelloides/pseuds/FeliciaAmelloides,General Audiences,Gen,nonfandom,,,"Crack Treated Seriously, Alternate Universe, philosophical, weird logic, weird world",English,2018-08-07,Completed,2018-08-07,518,1/1,null,null,null,10,"A young being from an alternate universe in another dimension describes her idea for another world very different to hers. She named this strange world ‘Earth’, and it’s a very weird place compared to her own."
15619356,In Which The Winchesters Go On A Beach Trip: Part #2,/users/Wolfstar4evr/pseuds/Wolfstar4evr,Not Rated,,Supernatural,"Castiel/Dean Winchester, castiel and sam winchester","Sam Winchester, Castiel, Dean Winchester","De-Aged Sam Winchester, Sam is three, eating on the road, Diners, Milkshakes, Cute Sam, sam and cas bonding, Cas loves Sam, Dean Loves Cas, Cas loves Dean too but differently (obviously), Sleepy Sam, Family, Holidays, beach trips, Driving",English,2018-08-07,Completed,2018-08-07,1413,1/1,2,15,null,210,"After a hunt gone wrong Sam and Dean find themselves de-aged by a witch. Sam is now a baby, and Dean is 25. Castiel tells them that the spell is permanent, and that Sam will have no recollection of his past life as he is forced to grow up again. After not much deliberation they decide to raise Sam, as they can't have a child of their own (being men, and everything, and also they can't adopt legally because of Dean's criminal record and cause Cas doesn't technically exist and everything). However first, they need to work out how the Hell you look after a baby. This is gonna be a collection of oneshots that are based around Destiel raising baby Sammy cause why not."
15613731,Lipbalm Blessings,/users/Tsukareta/pseuds/Tsukareta,Not Rated,F/M,Yandere Simulator (Video Game),Chojo Tekina/Musume Ronshaku,"Musume Ronshaku, Chojo Tekina, Oka Ruto (Mentioned)","Fluff (?), Kissing, Hugs, Light spoilers (?)",English,2018-08-07,Completed,2018-08-07,640,1/1,null,2,null,null,Ronshaku decides to sneak up on her boyfriend and pepper him with kisses.
15612015,Digitized,/users/UmbraTsuki/pseuds/UmbraTsuki,Teen And Up Audiences,M/M,"Compilation of Final Fantasy VII, Final Fantasy VII, Crisis Core: Final Fantasy VII","Zack Fair/Cloud Strife, Zack Fair & Cloud Strife","Cloud Strife, Zack Fair","Alternate Universe, Alternate Universe - Fantasy, Alternate Universe - Robots & Androids",English,2018-08-07,Completed,2018-08-07,1928,1/1,1,7,null,59,"
When Cloud Strife, a rather quiet young man, decided to grab a cup of coffee before a long night of studying that awaited him, he hadn’t expected to run into one of those hyper-realistic androids he’d heard about. 
    But when his friendly, and admittedly very attractive, barista had gone into the back of the kitchen, he heard some of the other customers whispering...   Written as a one-shot for Clack Week 2018 on Tumblr, but will likely be continued."
15611340,Lunch Break,/users/TheInfiniteQuestion/pseuds/TheInfiniteQuestion,Mature,F/F,Pitch Perfect (Movies),Kommissar/Beca Mitchell,"Beca Mitchell, Kommissar (Pitch Perfect)",,English,2018-08-07,Completed,2018-08-07,2290,1/1,6,11,2,211,Kommissar calls Beca at work and successfully distracts her (as usual).
15611304,Color Bleeds Through,/users/dreamkist/pseuds/dreamkist,General Audiences,M/M,The Avengers (Marvel) - All Media Types,Steve Rogers/Tony Stark,Steve Rogers,"Alternate Universe, Dreams, Drabble",English,2018-08-07,Completed,2018-08-07,100,1/1,null,7,null,82,Dreams bring Steve glimpses of another life.
15610920,Halves of a Whole,/users/ExordiumNoctis/pseuds/ExordiumNoctis,General Audiences,M/M,Destiny (Video Games),Uldren Sov/OC,"Uldren Sov, Mirridon Sov - Character","pre-destiny, Proposals are cute right, Domestic Fluff, Tooth-Rotting Fluff, pregnancy mention (though subtle)",English,2018-08-08,Completed,2018-08-08,600,1/1,1,1,null,14,Uldren works up the nerve to ask his long-standing partner to share a life with him. Mihr has a secret. 600 Words. Too Cute.
