work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
16020077,You Are The Best Dads In The World:,/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply",General Audiences,M/M,Hawaii Five-0 (2010),"Steve McGarrett/Danny ""Danno"" Williams","Steve McGarrett, Danny ""Danno"" Williams, Grace Williams","College, Rating: M, Ratings: R, Romance, Slash, Male Slash, General, Family, Drama, Hurt/Comfort, Emotional Hurt/Comfort, Anxiety, Insecurity, Kissing, Boys Kissing, Boys In Love, Children, Daughters, Consensual, Established Relationship, Mild Sexual Content, Sad, Sadstuck, Happy, Happy Ending",English,2018-09-16,Completed,2018-09-16,252,1/1,null,6,1,123,"*Summary: Grace is starting college, Steve & Danny are helping her get her dorm settled, What happens?, Stay Tuned, It’s gonna be a good one!!!!*"
16016612,once upon a time,/users/haohan/pseuds/haohan,No Archive Warnings Apply,Teen And Up Audiences,M/M,The Legend of Zelda: A Link Between Worlds,Link/Ravio (Legend of Zelda),"Link (Legend of Zelda), Ravio (Legend of Zelda), Sheerow (Legend of Zelda), Mother Maiamai, Yuga (Legend of Zelda), Princess Hilda (Legend of Zelda)",Canon Compliant,English,2018-09-16,Completed,2018-09-16,9844,1/1,2,13,1,85,"In which there are heroes and there are princesses, and Ravio—well, he doesn't belong in the story."
16016579,First // Last,/users/CrimsonVoid/pseuds/CrimsonVoid,No Archive Warnings Apply,Teen And Up Audiences,F/M,Voltron: Legendary Defender,Allura/Shiro (Voltron),"Allura (Voltron), Shiro (Voltron)",Shallura Week 2018,English,2018-09-16,Completed,2018-09-16,1474,1/1,null,4,null,40,"Shallura Week 2018, Day One – First // LastThe first time Allura feels Shiro’s Quintessence in the Black Lion vs. the last"
16015976,[PODFIC] Second Thoughts (A Monster with Two Heads and One Heartbeat),/users/sksNinja/pseuds/sksNinja,Creator Chose Not To Use Archive Warnings,Mature,M/M,Overwatch (Video Game),Jesse McCree/Hanzo Shimada,"Jesse McCree, Hanzo Shimada, Genji Shimada, Mentions of other OW members","Canon-Typical Violence, demon!mccree, Incubus McCree, Genji Shimada is NOT a little shit, Slow Burn, Kinda, Pranks and Practical Jokes, Self-Hatred, Podfic, Audio Content, Podfic Length: 1.5-2 Hours",English,2018-09-17,Completed,2018-09-17,40,1/1,2,5,3,185,"Author Summary: ""Hanzo knew three things about the gunslinger with absolute certainty: 1.) That he was ruggedly handsome2.) That he was dangerous3.) That he was not human It probably said a lot about him that he was more concerned about the first thing than the other two."""
16015916,He Was Amazing,/users/extroidparodox/pseuds/extroidparodox,Creator Chose Not To Use Archive Warnings,General Audiences,M/M,Original Work,,,,English,2018-09-17,Completed,2018-09-17,561,1/1,null,null,null,2,
16015907,do you think you'll leave me after all?,/users/brightlight/pseuds/brightlight,No Archive Warnings Apply,Mature,M/M,bangtansonyeondan | Bangtan Boys | BTS,"Jeon Jungkook/Kim Taehyung | V, Kim Namjoon | RM/Park Jimin","Kim Taehyung | V, Jeon Jungkook, Park Jimin (BTS), Min Yoongi | Suga, Kim Namjoon | RM, Kim Seokjin | Jin, Jung Hoseok | J-Hope","Post-Breakup AU, messy fwb, with feelings, i somehow managed to turn it into a soft emo mess if you can believe that, there's a happy ending of course",English,2018-09-17,Completed,2018-09-17,5696,1/1,6,162,16,1052,"“It won’t be weird,” Taehyung offers, trying to assuage some nervousness he thought he saw in the tightness of Jungkook’s jaw. When you date someone for nearly a year, you pick up on these things.  “I didn’t think it would be weird,” Jungkook tells him, furrowing his eyebrows. Of course, maybe you get worse at picking these things up after you’ve been broken up for a month."
16015901,It Ain't New To Me,/users/deathishauntedbyhumans/pseuds/deathishauntedbyhumans,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,"Gen, M/M",Milo Murphy's Law,"Balthazar Cavendish/Vinnie Dakota, Melissa Chase & Milo Murphy & Zack Underwood, Sara Murphy/Neal","Vinnie Dakota, Balthazar Cavendish, Milo Murphy, Melissa Chase, Zack Underwood, Sara Murphy, Neal (Milo Murphy's Law), Martin Murphy","Crack, Crack Treated Seriously, Memes, I just wanted to write the kids quoting vines okay, Fluff, Established Relationship, vine references, Drabble, Wordcount: 500-1.000",English,2018-09-17,Completed,2018-09-17,699,1/1,4,21,1,119,Alternately titled Murphy’s Memes.  Milo and co. are young teens living in the twenty-first century. They’re probably Gen Z. They probably quote vines.
16015898,Shadows to Light,/users/RainbowSerenity/pseuds/RainbowSerenity,No Archive Warnings Apply,General Audiences,F/F,Kingdom Hearts,Aqua/Cinderella (Kingdom Hearts),"Aqua (Kingdom Hearts), Cinderella (Kingdom Hearts), Terra (Kingdom Hearts), Ventus (Kingdom Hearts)","aquarella is real and true don't judge me, Canon Compliant, sort of i guess, it's not even all that shippy, but oh well",English,2018-09-17,Completed,2018-09-17,1422,1/1,2,10,1,84,"It's lonely in the realm of darkness, but a familiar face gives Aqua the hope to keep going on."
16015892,Breathe,/users/FrodoTinuviel/pseuds/FrodoTinuviel,No Archive Warnings Apply,Mature,M/M,Set Fire To The Stars,Dylan Thomas/John Brinnin,"John Brinnin, Dylan Thomas - Character","conflicting personal narrative, deep thoughts, Drama, Angst, Hurt, A Complicated Relationship, Up for interpretation, New York City",English,2018-09-17,Completed,2018-09-17,398,1/1,null,null,null,1,Warring thoughts. A racing heart. Stars falling in fire.
16015889,Elves And Humans,/users/Arendellecitizen/pseuds/Arendellecitizen,No Archive Warnings Apply,Mature,F/F,Frozen (2013),Anna/Elsa (Disney),"Anna (Disney), Elsa (Disney), Kristoff (Disney), Hans (Disney), Original Female Character(s)","Alternate Universe - Fantasy, Elves, Werewolves, Swordfighting, Action",English,2018-09-17,Completed,2018-09-17,6734,1/1,null,1,null,56,"Elsa and Anna are rulers of the Elven people, embarking on their first visit to the human kingdom. The two of them believe it will be a smooth visit. However, a pack of fearsome Wolfen warriors soon decided to attack the city they are in and Anna and Elsa must defend their new human allies. (Elsanna, Fantasy AU, Based on a pic by Lorelei lilly princess)"
