work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15978542,The Gwen Saga,/users/The4thSnake/pseuds/The4thSnake,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply",General Audiences,Gen,"Spider-Man - All Media Types, Spider-Man (Comicverse), Spider-Gwen (Comics), Unbelievable Gwenpool, Marvel, Scarlet Spider (Comics)",Peter Parker/Gwen Stacy,"Peter Parker, Ben Reilly, Gwen Stacy, Miles Warren, Gwen Poole",Clones,English,2018-09-12,Completed,2018-09-12,3235,1/1,1,4,null,64,"A reimagining of the Clone Saga, to introduce alternate Gwens without using alternate universes."
15978446,Saved,/users/Servena/pseuds/Servena,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,F/M,Titanic (1997),Jack Dawson/Rose DeWitt Bukater,"Rose DeWitt Bukater, Jack Dawson","Fix-It, Canon-Typical Violence, Dead People, Rescue, Alternate Universe - Canon Divergence, Hypothermia, Shipwrecks",English,2018-09-12,Completed,2018-09-12,836,1/1,null,3,null,36,"When she first heard the voice, it came from far away and she was sure she was imagining it."
15977165,Stepping Into Darkness,/users/Ninshadow/pseuds/Ninshadow,No Archive Warnings Apply,Mature,,Harry Potter - J. K. Rowling,Neville Longbottom & Ginny Weasley,"Ginny Weasley, Neville Longbottom, Draco Malfoy, Amycus Carrow","Unforgivable Curses (Harry Potter), Dark Magic, POV Ginny Weasley, Carrows Reign at Hogwarts, Hogwarts Seventh Year, Angst and Hurt/Comfort, Good Draco Malfoy, Torture, Loss of Control",English,2018-09-13,Completed,2018-09-13,2449,1/1,2,9,null,54,"'Slowly, Ginny pulled out her wand. She looked at Neville, still unsure. “What are you wanting me to do, professor?” “A quick crucio ought to be enough!” Amycus said cheerfully, leaning back on his desk and watching the pair with interest. “But that's an unforgivable!” Ginny started, but the calm smile and nod Neville gave her allowed herself to take a deep breath. After what felt like forever, Ginny finally muttered, “Crucio.” Neville fell to the ground instantly, writhing and twisting around. Shocked, Ginny lowered her wand, cutting off the spell. “No, no, no. That just won't do. You have to mean it, miss Weasley. That was nowhere close to a punishment.” Amycus said, frowning slightly. From the ground Neville seemed to determinedly brace himself, giving Ginny another nod. “Just get it over with, Gin.” Squaring her shoulders, Ginny once again  pointed her wand at Neville. She thought about how much she resented Harry, her brother and Hermione, how much she hated Snape and the Carrows, how much Neville has been annoying her lately.. She let all of that build up until her arm was trembling. With more feeling, she shouted, “Crucio!”'"
15977150,5 Minutes or Less,/users/wildlyfuriousdragon/pseuds/wildlyfuriousdragon,Creator Chose Not To Use Archive Warnings,Explicit,M/M,Hamilton - Miranda,Alexander Hamilton/George Washington,"Alexander Hamilton, George Washington, Thomas Jefferson","Vauge Office AU, Plot What Plot/Porn Without Plot, Blow Jobs, Boss/Employee Relationship, Established Relationship, Not Beta Read, because ive never written something so smutty and filthy before, Facials",English,2018-09-13,Completed,2018-09-13,1065,1/1,3,23,null,276,Alexander and George make a bet.
15977144,Status Quo Ante Mortem,/users/Novaviis/pseuds/Novaviis,No Archive Warnings Apply,Teen And Up Audiences,"Gen, M/M","Young Justice (Cartoon), Batman - All Media Types, Batman (Comics), Under the Red Hood","Dick Grayson & Jason Todd, Dick Grayson & Bruce Wayne, Dick Grayson/Wally West","Dick Grayson, Jason Todd, Bruce Wayne, Barbara Gordon, Tim Drake, Damian Wayne","Brothers, Brotherhood, Family Drama, Family Issues, Angst, Family Angst, Post-Under the Red Hood, Implied Dick Grayson/Wally West - Freeform, Bat Family",English,2018-09-13,Completed,2018-09-13,6166,1/1,11,105,7,959,"When the Red Hood starts raising hell in Gotham, Dick realizes there's more to this than meets the eye. Bruce's odd obsession with the bloodthirsty would-be vigilante prompts Dick to do some casework of his own. The results lead to a confrontation that is long over due.  “Why didn’t you tell me?” The past week came back like sand between Dick’s teeth. He could feel the grind when he clenched his jaw. His grip tightened on the back of the chair, scowl set against the glow of the Batcomputer behind him. He still had one hand clenched around the flash drive he’d ripped from its port – Bruce still had his hand clenched around Dick’s wrist. With a snarl, Dick tore his arm out of Bruce’s grip... It had started a week ago."
15977135,Just One Drink,/users/Sayl/pseuds/Sayl,No Archive Warnings Apply,Mature,F/M,Fire Emblem: Kakusei | Fire Emblem: Awakening,Liz | Lissa/Lon'qu,"Lon'qu (Fire Emblem), Liz | Lissa","Smut, Fluff and Smut, Non-Graphic Smut",English,2018-09-13,Completed,2018-09-13,972,1/1,null,4,null,85,"Lon'qu doesn't drink, but when he does make the exception to endure an unbearably crowded party, his lowered inhibitions have an unforseen bonus when it comes to his wife."
15977114,Alphafemaleshipping,/users/Witchan/pseuds/Witchan,"Graphic Depictions Of Violence, Major Character Death",Mature,F/F,Pocket Monsters | Pokemon (Main Video Game Series),Izumi | Shelly/Kagari | Courtney,"Izumi | Shelly, Kagari | Courtney","Sexual Content, Blood and Violence",English,2018-09-13,Completed,2018-09-13,2653,1/1,null,null,null,18,"Shelly and Courtney end up together, leaving their own criminal organization teams. Rated R for Strong Language, Sexual Content, and some Graphic Violence."
15977111,Storm's comin',/users/ThePiggy/pseuds/SeraphSilent,Creator Chose Not To Use Archive Warnings,Mature,,Original Work,,,,English,2018-09-13,Completed,2018-09-13,433,1/1,null,1,null,4,"Life after the apocalypse certainly gets easier, if you really think about it"
15977102,Numbers and Letters,/users/AGJ1990/pseuds/AGJ1990,No Archive Warnings Apply,General Audiences,,Supernatural,,"Sam Winchester, Jessica Moore, Original Jessica Moore/Sam Winchester Child(ren)","Jessica Moore and Sam Winchester Get Married, Jessica Moore Lives, Winchester Daughter, kid feels misunderstood, Angst and Feels",English,2018-09-13,Completed,2018-09-13,4376,1/1,null,null,null,30,"Prequel to Fridays in May. Little Abby wants to go with Daddy to the grocery store, leading to one of their first fights. Mommy tries to help both of them understand that it's okay for Abby to be a little bit different."
15977087,The Looking Glass,/users/sirensoundwave/pseuds/sirensoundwave,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,Naruto,Hyuuga Neji/Nara Shikamaru,"Hyuuga Neji, Hyuuga Hiashi, Nara Shikamaru, Hatake Kakashi, Nara Shikaku, Uzumaki Naruto","Mirror as Alternate Universe window, Witches, Vampires, Crossdressing, kakashi being a little shit, but he's justified, it's too damn early, general weirdness",English,2018-09-13,Completed,2018-09-13,1431,1/1,null,2,null,69,All Naruto wanted was a new mirror. Not a window into a parallel universe. Could be continued. Maybe. I don't know. Send help. Not kidding.
