work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
16087880,Making You Feel Good:,/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Underage",Mature,,Hawaii Five-0 (2010),"Steve McGarrett/Danny ""Danno"" Williams","Steve McGarrett, Danny ""Danno"" Williams","Happy, Happy Ending, Sadstuck, Sad, General, Drama, Hurt/Comfort, Emotional Hurt/Comfort, Ratings: R, Rating: M, Romance, Slash, Male Slash, Kissing, Making Out, Stress/Stresses, Stress Relief, Romantic Gestures, Established Relationship, Consensual, Mild Sexual Content, Episode Related, Episode Tag, Sickfic, Sick Character, Post-Episode: s07e25 Ua Mau Ke Ea O Ka Aina I Ka Pono (Life of Land Perpetuated in Righteousness), Episode: s07e25 Ua Mau Ke Ea O Ka Aina I Ka Pono (Life of Land Perpetuated in Righteousness), Episode: s08e01 A'ole E 'olelo Mai Ana Ke Ahi Ua Ana Ia (Fire Will Never Say That It Has Had Enough), Massage, Stripping, Poisoning, Radiation Poisoning/Poisoning",English,2018-09-23,Completed,2018-09-23,243,1/1,null,8,1,89,"*Summary: Danny saw that Steve was under a lot of stress, What happens between the two of them?, Stay Tuned, You don’t want to miss a thing!!!!*"
16082489,vertigo,/users/drmsqnc/pseuds/drmsqnc,No Archive Warnings Apply,Not Rated,F/M,Detroit: Become Human (Video Game),Connor (Detroit: Become Human)/Reader,"Reader, Hank Anderson, HK800 - Character, Connor (Detroit: Become Human), Connor Anderson - Character, Reverse!Connor, Reverse!Hank","Alternate Universe, Drabble, Drabble Series, just stretching a little warm up for this idea",English,2018-09-24,Completed,2018-09-24,269,1/1,1,14,null,221,beginnings
16082471,Imagine: You figure out Castiel is slyly orchestrating car/travel trouble whenever you work a case together in order to have a pretext to spend more time alone with you.,/users/webcricket/pseuds/webcricket,No Archive Warnings Apply,General Audiences,,Supernatural,"Castiel (Supernatural)/You, Castiel (Supernatural) & You",,Fluff,English,2018-09-24,Completed,2018-09-24,913,1/1,1,10,1,114,
16082468,nothing strung below us baby (if we fall),/users/ThisUsernameTaken/pseuds/ThisUsernameTaken,No Archive Warnings Apply,Not Rated,Gen,Sherlock Holmes (Downey films),Sherlock Holmes & John Watson,"Sherlock Holmes, John Watson","Light Angst, canon where lol, Short, Drabble, of a sort, Pre-Slash, i guess, My First Work in This Fandom, prolly should've put that first, Figurative Language",English,2018-09-24,Completed,2018-09-24,240,1/1,null,1,null,13,"They've the wind at their backs and nothing below, and he thinks, fleetingly, vaguely, finally, that somehow, it's always been this way.--(p.s. I am aware that title also applies to a (frankly superb) stuckony fic, so sh.)"
16082444,Who's Crazy?,/users/scottmon3y/pseuds/scottmon3y,No Archive Warnings Apply,General Audiences,F/M,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,Todoroki Shouto/Yaoyorozu Momo,"Todoroki Shouto, Yaoyorozu Momo","Temporary Amnesia, Amnesia, Disassociation, C-PTSD, PTSD, Comfort, Mild Angst",English,2018-09-24,Completed,2018-09-24,717,1/1,null,34,1,395,Todoroki suffers some temporary amnesia at school.
16082420,Part of the Family,/users/1800areyouslapping/pseuds/1800areyouslapping,Graphic Depictions Of Violence,Mature,F/M,Overwatch (Video Game),Sojiro Shimada/Reader,"Sojiro Shimada, Hanzo Shimada, Chiyo Shimada, Reader, Original Overwatch Character(s)","Chiyo is my OC, Blood and Gore, Sexual Tension, Romance, Mild Language, Mild Blood",English,2018-09-24,Completed,2018-09-24,5890,1/1,1,23,3,101,"A commission done for the lovely Gal Pals anon <3 You’re the best friend of the youngest Shimada. She wanted sister!reader so I gave what’s normally a reader a name, just for this fic, Chiyo. One night you run into her father, Sojiro. And then keep running into him. Curious. You’re starting to think he may like you."
16082384,Mark Joins the Pack,/users/TheManedWolf/pseuds/TheManedWolf,No Archive Warnings Apply,Not Rated,M/M,Zootopia (2016),,,"Anal Sex, Group Sex, Oral Sex, First Time",English,2018-09-24,Completed,2018-09-24,889,1/1,null,4,1,116,A skunk named Dexter initiates a new member into his pack of wolves.
16082375,Made For Each Other,/users/Writerleft/pseuds/Writerleft,No Archive Warnings Apply,General Audiences,,Avatar: Legend of Korra,Korra & Asami Sato,"Korra, Asami Sato, Tonraq, Senna, Hiroshi Sato, Yasuko Sato","Kids, friends - Freeform, little kids, Korrasami Week 2018, Prompt: Childhood Friends, Cute, Canon Compliant",English,2018-09-24,Completed,2018-09-24,2132,1/1,21,42,2,243,"I don't know you, at least not yetBut I know I'll love you once we've met"
16082372,Is This Really Any Better?,/users/fuyuhiko/pseuds/fuyuhiko,No Archive Warnings Apply,Teen And Up Audiences,,"Dangan Ronpa - All Media Types, Super Dangan Ronpa 2",,"Kuzuryu Natsumi, Kuzuryu Fuyuhiko","Alternate Universe - Canon Divergence, Hospitals, Memory Loss, natsumi wasn't killed she was just hospitilized",English,2018-09-24,Completed,2018-09-24,854,1/1,1,5,null,41,
16082366,love vigilantes,/users/eucalyptea/pseuds/eucalyptea,No Archive Warnings Apply,Teen And Up Audiences,M/M,Wen Hao sutoreidotsugusu | Bungou Stray Dogs,"Fyodor Dostoyevsky/Nikolai Gogol/Ivan Goncharov (Bungou Stray Dogs), Fyodor Dostoyevsky/Ivan Goncharov (Bungou Stray Dogs), Nikolai Gogol/Ivan Goncharov (Bungou Stray Dogs), Fyodor Dostoyevsky/Nikolai Gogol (Bungou Stray Dogs)","Fyodor Dostoyevsky (Bungou Stray Dogs), Ivan Goncharov (Bungou Stray Dogs), Nikolai Gogol (Bungou Stray Dogs)","assassinations, Fluff, Trans Male Character, Polyamory",English,2018-09-24,Completed,2018-09-24,2850,1/1,4,5,null,31,Ivan comes home after a mission.
16082342,x.,/users/JlSUNG/pseuds/JlSUNG,Creator Chose Not To Use Archive Warnings,General Audiences,F/M,NCT (Band),Park Jisung (NCT)/Reader,Park Jisung (NCT),,English,2018-09-24,Completed,2018-09-24,930,1/1,null,null,null,69,felt cute in this might delete later
16082330,Countdown,/users/theychosefamily67/pseuds/theychosefamily67,No Archive Warnings Apply,Explicit,F/M,Supernatural,Sam Winchester/Reader,Sam Winchester,"Smut, Spanking, Breathplay, Orgasm Delay/Denial",English,2018-09-24,Completed,2018-09-24,912,1/1,null,7,null,316,The reader introduces Sam to one of her kinks.
16082297,You're Not My Father,/users/1800areyouslapping/pseuds/1800areyouslapping,Rape/Non-Con,Explicit,F/M,Overwatch (Video Game),Soldier: 76 | Jack Morrison/Reader,"Soldier: 76 | Jack Morrison, Reader","Pseudo-Incest, stepdad!jack, Wetting, Overstimulation, Rape/Non-con Elements, Drug Use, yandere!76",English,2018-09-24,Completed,2018-09-24,2953,1/1,2,56,5,1068,Your mom goes away and your stepdad Jack takes opportunities sees an opportunity for a little daddy/daughter bonding.
16082282,"Drunk, Love, And Seduction",/users/Katygirl345/pseuds/Katygirl345,No Archive Warnings Apply,Mature,"F/M, Multi",ikemenZhan Guo  Shi wokakeruLian  | Ikemen Sengoku: Toki o Kakeru Koi (Visual Novel),Akechi Mitsuhide/Ishida Mitsunari/Ritsu (OC),"Ishida Mitsunari, Ritsu, Main Character (Ikemen Sengoku), Akechi Mitsuhide","Smut, Drunk Sex, Groping, Fondling, Vaginal Fingering, Anal Fingering, Hot Sex, Drunken Kissing, Threesome - F/M/M, Seduction, Clothes Ripping, Attempted Seduction, Biting, Nipple Play, Nipple Licking, Dirty Talk, Knifeplay, Moaning, groaning, Butt Slapping",English,2018-09-24,Completed,2018-09-24,2407,1/1,null,null,null,265,"Mitsuhide gets Mitsunari drunk and they seduce Ritsu   Later evening, Ritsu was sewing up some kimono for the warlords, when suddenly someone knocks on the door to  room. But it's none other than Mitsunari. Except...........He's DRUNK!!?!?! From there on  he immediates pushes her down to futon and pins her down. And he's not the only one, Mitsuhide with him as well! How will this sexy threesome play out this evening ? Note: There is a knife in here but it will not be use as knifeplay"
16082279,The Fifth Division Incident,/users/Akaluan/pseuds/Akaluan,No Archive Warnings Apply,Teen And Up Audiences,Gen,Bleach,,"Kurosaki Ichigo, Zangetsu (Bleach), Shiro | White, Ukitake Juushirou, Kyouraku Shunsui, Hirako Shinji, Aizen Sousuke","Ichigo got bored one day, and materialized his spirits, for the soul purpose of doing paperwork, this really doesn't have good repercussions, honestly who wants Shiro doing paperwork anyway?, so anyway because he did that and keeps doing it, all three are considered the 5th's Captain, hence all of them wearing the haori in different colors, anyway yeah urahara is the reason they're back in time, It was an accident though, but hey they'll do whatever they please, because it's Ichigo and his spirits, BAMF Kurosaki Ichigo, he's got decent control at this point, Finally, had to happen someday, Tumblr Ask Box Fic",English,2018-09-24,Completed,2018-09-24,1831,1/1,6,153,30,714,"Jyuushiro wasn't certain what he expected when he pushed his way through the crowd and into the 5th Division's courtyard, but seeing three strangers wearing a Captain's haori for the 5th and Aizen being pinned to the ground was certainly not it."
16082276,Cherry Trainwreck,/users/StonerKeith/pseuds/StonerKeith,No Archive Warnings Apply,Mature,M/M,Voltron: Legendary Defender,Keith/Lance (Voltron),"Keith (Voltron), Lance (Voltron)","Alternate Universe - College/University, Smoking, Shotgunning, also this ones more nsfw just as a warning",English,2018-09-24,Completed,2018-09-24,3066,1/1,4,55,1,551,"“I never expected you, Keith Kogane, to be out of weed.”  Part 5 of the Stoner Keith college au"
16082270,Rough day,/users/Thesummersoldier1917/pseuds/Thesummersoldier1917,No Archive Warnings Apply,General Audiences,,Marvel,irondad - Relationship,"Pepper Potts, Tony Stark, Peter Parker",,English,2018-09-24,Completed,2018-09-24,984,1/1,null,6,null,71,
16082264,Rocks,/users/hyunscroissant/pseuds/hyunscroissant,Creator Chose Not To Use Archive Warnings,Not Rated,F/F,LOONA (Korea Band),Ha Sooyoung | Yves/Kim Jiwoo | Chuu,"Ha Sooyoung | Yves, Kim Jiwoo | Chuu",Fluff,English,2018-09-24,Completed,2018-09-24,568,1/1,null,25,null,324,"Jiwoo wants to show Sooyoung just how much she appreciates her. So, she does."
16082252,dreamsong,/users/brophigenia/pseuds/brophigenia,No Archive Warnings Apply,Explicit,M/M,Raven Cycle - Maggie Stiefvater,Joseph Kavinsky/Prokopenko,"Joseph Kavinsky, Prokopenko (Raven Cycle), Jiang (Raven Cycle), Skov (Raven Cycle), Swan (Raven Cycle), Ronan Lynch, Richard Gansey III","Werewolves, Anal Sex, Anal Fingering, Alternate Universe- Wolfsong by TJ Klune, Wolfsong, Jealousy, Scenting, Recreational Drug Use, Voyeurism, Angst, Mates, True Love, Canon-Typical Violence, did we need this?, i think we did, Alternate Universe - Werewolf",English,2018-09-24,Completed,2018-09-24,4968,1/1,null,13,null,130,"Nothing was fucking easy. There was nothing easy about any of this, least of all K being his mate, destined for him. Destined for him, and him alone, though K saw fit to fuck his way through every room he found himself in. 
(AKA, the Wolfsong AU apparently some of you have been waiting for.)
"
16082249,And I Don't Know What I Know,/users/allonsytotumblr/pseuds/allonsytotumblr,No Archive Warnings Apply,General Audiences,F/M,The Band's Visit - Yazbek/Moses,"Dinah/Tewfiq, Dinah/Haled","Haled (The Band's Visit), Dinah (The Band's Visit), Tewfiq (The Band's Visit)","The Band's Visit - Freeform, Searching, whatever its called when you're like o shit do I like them or nah, Musicals, Israel",English,2018-09-24,Completed,2018-09-24,688,1/1,null,5,null,57,The night drags on.And she doesn’t want to miss out. Hasn’t that been her whole life though-missing out?
16082246,A New World,/users/Godilovefandoms/pseuds/Godilovefandoms,No Archive Warnings Apply,Not Rated,F/F,Atypical (TV 2017),Casey Gardner/Izzie,"Casey Gardner, Izzie (Atypical), Evan Chapin","Heartbreak, Young Love, I Will Go Down With This Ship, How Do I Tag",English,2018-09-24,Completed,2018-09-24,808,1/1,1,55,3,665,"The aftermath of the breakup with Evan. Though Casey and Izzie haven't figured out where they stand, they both know it's positive. They spend valuable time together, doing nothing but stealing shy looks and little touches."
