work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15845367,To live for,/users/Servena/pseuds/Servena,Graphic Depictions Of Violence,Teen And Up Audiences,F/M,Marco Polo (TV),Byamba/Khutulun (Marco Polo),"Byamba (Marco Polo), Khutulun (Marco Polo)","War, Battle, Canon-Typical Violence, Admiration, Kinship, Fighting, Rescue, Blood and Violence",English,2018-08-24,Completed,2018-08-24,505,1/1,null,1,null,5,"He had never seen her fight before. – Well, that wasn’t entirely true."
15836301,apostasy,/users/RamenOverlord/pseuds/RamenOverlord,No Archive Warnings Apply,General Audiences,M/M,Voltron: Legendary Defender,Keith/Shiro (Voltron),"Shiro (Voltron), Keith (Voltron)","Alternate Universe - Fantasy, Knight!Shiro, Prince!Keith, First Meetings, Mentions of Violence",English,2018-08-24,Completed,2018-08-24,744,1/1,2,20,1,107,"The tale has always been that the knight rescues the prince from the tower and they ride off into the sunset, chasing their happily ever after.  Shiro has never heard the tale of the prince who rescues himself because his knight was running a little late. ""You left,"" he says. It's not a question. ""Ho—why?"" The prince looks away, fingers trailing over his sword. ""Because I realized,"" he says, ""that no one was coming to save me. And I wasn't going to give that place another minute of my life."""
15800637,Auditors deal with lots of explosions,/users/ivyness/pseuds/ivyness,No Archive Warnings Apply,Teen And Up Audiences,M/M,James Bond (Craig movies),James Bond/Q,"James Bond, Q (James Bond)","au yeah august, Alternate Universe - Office",English,2018-08-24,Completed,2018-08-24,701,1/1,null,13,null,177,"Bond is an auditor, Q is in IT. Except not really."
15790044,Our Bond is Eternal (Just Accept It),/users/Kimium/pseuds/Kimium,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,"Super Dangan Ronpa 2, Dangan Ronpa - All Media Types",Hinata Hajime/Komaeda Nagito,"Komaeda Nagito, Hinata Hajime, Mioda Ibuki, Asahina Aoi","Alternate Universe - Supernatural, alternate universe - modern AU, One Shot, University Student! Nagito, Demon! Hinata, Hinata out of character because you know he's a demon, unhealthy relationship, Power Dynamic, Forced Relationship, Dubious kisses, Slight Emotional Manipulation, Brief slip in memory, Part Two, Read Part One or you will be confused, Asahina only appears very briefly as a cameo",English,2018-08-24,Completed,2018-08-24,4937,1/1,4,29,2,220,"One shot. Part Two. As Nagito struggles with the fact his friends have forgotten him, Hinata takes him out grocery shopping and (not so) impromptly to a cafe to solidify the new reality Nagito is living."
15790011,Loss,/users/AngelynMoon/pseuds/AngelynMoon,Major Character Death,Not Rated,Gen,The Avengers (Marvel) - All Media Types,Loki & Thor Sibling relationship,Loki (Marvel),Alternate Universe,English,2018-08-24,Completed,2018-08-24,739,1/1,1,3,null,27,"Summary: The War is over Thanos is dead and Loki is back, where did Thor go? Or the Au where Thor dies and Loki Doesn't."
15789660,Secrets,/users/Press23OHara5Morgan13/pseuds/Press23OHara5Morgan13,Creator Chose Not To Use Archive Warnings,Explicit,"F/F, Other",Women's Soccer RPF,Alex Morgan/Christen Press,"Alex Morgan, Christen Press","G!P, Smut, Nothing but smut",English,2018-08-25,Completed,2018-08-25,839,1/1,null,30,2,1306,Alex and Christen get to Have some fun at camp.
15789657,Honey Perfume,/users/charcolor/pseuds/charcolor,No Archive Warnings Apply,Teen And Up Audiences,F/F,Vocaloid,Gumi/Lily (Vocaloid),"Gumi (Vocaloid), Lily (Vocaloid)","Fluff, Implied/Referenced Child Abuse, Hurt/Comfort, sort of? it's like....past hurt/comfort i guess idk",English,2018-08-25,Completed,2018-08-25,714,1/1,3,4,null,42,Gumi likes being at Lily's house.
15789567,"souls, and hearts, and minds intertwined",/users/solange_lol/pseuds/solange_lol,No Archive Warnings Apply,General Audiences,M/M,"Percy Jackson and the Olympians - Rick Riordan, The Heroes of Olympus - Rick Riordan, The Trials of Apollo - Rick Riordan",Nico di Angelo/Will Solace,"Will Solace, Nico di Angelo, Kayla Knowles, Austin Lake, Eros (mentioned)","solangelo, swap au, its kinda like a freaky friday type situation",English,2018-08-25,Completed,2018-08-25,1042,1/1,2,33,2,433,"Will opened his mouth, then closed it. “Who- how- if you’re me then…”“Yeah,” Nico’s (his?) face forced a smile. “I’m you; you’re me."" Will and Nico wake up in each others bodies.  Prompt is ""Swap (God-, Camp-, Personality- etc.)"" for Day 6 of Solangelo Week"
15789561,First Time,/users/NicktheHuman/pseuds/NicktheHuman,No Archive Warnings Apply,Explicit,F/M,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,Asui Tsuyu/Midoriya Izuku,"Asui Tsuyu, Midoriya Izuku","Sex, romantic sex",English,2018-08-25,Completed,2018-08-25,3048,1/1,10,26,1,865,"Set directly after, ""Rescue Mission!"" After a few weeks of dating, Tsuyu and Izuku decide stumble their way into bed together.Warning: Sexual Content. Not Safe For Work."
15789552,Visions,/users/babybrotherdean/pseuds/spartanroses,No Archive Warnings Apply,General Audiences,Gen,God of War (Video Games),"Faye/Kratos (God of War), Atreus & Kratos (God of War)","Faye (God of War), Kratos (God of War), Atreus (God of War)",Prophetic Visions,English,2018-08-25,Completed,2018-08-25,514,1/1,2,16,1,202,"In her visions, Faye sees a man."
