work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
16008215,Maybe He's Worth It,/users/ohohomos/pseuds/caratkat,No Archive Warnings Apply,General Audiences,M/M,SEVENTEEN (Band),Kim Mingyu/Lee Jihoon | Woozi,"Kim Mingyu, Kwon Soonyoung | Hoshi, Lee Seokmin | DK, Chwe Hansol | Vernon, Lee Jihoon | Woozi",Alternate Universe - College/University,English,2018-09-14,Completed,2018-09-14,1109,1/1,null,6,null,67,Prequel to Pick Me. Kim Mingyu first saw him during the cultural festival.
16005461,"Happy Anniversary, Junior:",/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Underage",Mature,F/M,Hawaii Five-0 (2010),Junior Reigns/Tani Rey,"Tani Rey, Junior Reigns","Ratings: R, Rating: M, Romantic Gestures, Lunch, General, Gift Giving, Gift Fic, Established Relationship, Consensual, Mild Sexual Content, Kissing, Anniversary, Surprises, Dinner, Romance, Celebrations",English,2018-09-14,Completed,2018-09-14,259,1/1,null,null,null,12,"*Summary: Junior & Tani celebrate their anniversary, What happens?, Stay Tuned, It’s gonna be a good one!!!!*   *Author’s Note: This is part of my series, Read my other ones first!!!!*"
15995408,The Prince In Damnation,/users/tweekened/pseuds/tweekened,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,,Fire Emblem: Kakusei | Fire Emblem: Awakening,,Azur | Inigo,"AU, Alternate Universe, Prince Inigo, mention of murder, Very brief description of violence",English,2018-09-14,Completed,2018-09-14,361,1/1,null,2,null,29,"Inigo remembered the events clearly as day, if not clearer. He could see their dying faces around every corner. Naga would damn him to hell the same way the Exalt did before his untimely death."
15994424,Back to the Beginning,/users/SupercorpSanvers_fangirl33/pseuds/SupercorpSanvers_fangirl33,No Archive Warnings Apply,General Audiences,F/F,Supergirl (TV 2015),Kara Danvers/Lena Luthor,"Kara Danvers, Lena Luthor","ALL THE FLUFF, Lena Luthor Knows Kara Danvers Is Supergirl, Friends to Lovers, they are cute, All The Love, SO MUCH FLUFF, we are talking tooth rotting level guys",English,2018-09-15,Completed,2018-09-15,1511,1/1,1,109,6,1444,We travel back to the beginning of Lena and Kara’s relationship! Back to shy looks and blushing faces but most importantly their first kiss!! Fluff ahead!
15994406,"Happy Birthday, Babe",/users/Cucci/pseuds/Cucci,No Archive Warnings Apply,Mature,M/M,DC's Legends of Tomorrow (TV),Mick Rory/Leonard Snart,"Leonard Snart, Mick Rory","Birthday, Birthday Sex, Birthday Party, Smut, PWP, Porn, Orgasm Delay/Denial, Multiple Orgasms, dominant Mick, Light Bondage, Love, Gift, surprise",English,2018-09-15,Completed,2018-09-15,1815,1/1,null,20,null,191,"It's Leonard's birthday, and while he's never been keen on birthdays, Mick makes sure that he has a good one."
15994388,right here,/users/staryracha/pseuds/staryracha,Creator Chose Not To Use Archive Warnings,General Audiences,M/M,Stray Kids (Band),"Lee Felix/Seo Changbin, Minor or Background Relationship(s), Bang Chan/Han Jisung | Han","Lee Felix, Seo Changbin, Han Jisung | Han, Bang Chan, Kim Seungmin","changlix, fluff?, theres like slight angst, i went on a chansung tangent, jeongin is mentioned like 3 times, soft, I REALLY DONT KNOW HOW TO TAG THIS, cheers to my NOW longest fic, its cute, kind of open ending??? but not really, changlix fluff, i finished this a while ago but didn't know how to end it so i added the last part like an hour ago, 8/10 would read, I actually kinda like this",English,2018-09-15,Completed,2018-09-15,5005,1/1,1,82,5,509,Felix has shitty friends but it's okay because he meets Changbin.
15994379,Close Enough,/users/crookedashes/pseuds/crookedashes,No Archive Warnings Apply,General Audiences,F/M,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,Asui Tsuyu/Midoriya Izuku,"Midoriya Izuku, Asui Tsuyu","Fluff, DekuWeek2k18, First Date, I'm really terrible at tags",English,2018-09-14,Completed,2018-09-14,1236,1/1,1,12,null,208,Day 7 of DekuWeek2k18! Free day!For my friend Monica.
15994367,All Holds Barred,/users/Acadjonne/pseuds/Acadjonne,Creator Chose Not To Use Archive Warnings,Not Rated,Gen,My Chemical Romance,,Gerard Way,"Near Death Experiences, Mentions of the afterlife, Club 27, Implied Overdose, Literal Gatekeeping (in this case into death), Unhealthy behaviour, Alcohol Abuse/Alcoholism, Drug Abuse, this is kinda sad man im sorry, based on fanart by happy_humbug76 on instagram, frankie dared me to write this, i hope you're happy frankie",English,2018-09-15,Completed,2018-09-15,1154,1/1,null,4,null,24,"Gerard was fed up. He had just turned 27 and was pretty sure he was gonna die, so he hid a backpack with a suit, some liquor, and some pills in it, and told the guys he was going for a hike."
15994355,In Love with a Rebel,/users/backtothestart02/pseuds/backtothestart02,No Archive Warnings Apply,General Audiences,F/M,The Flash (TV 2014),"Barry Allen/Iris West, Barry Allen & Iris West","Barry Allen, Iris West","Pre-Series, teen!westallen, Canon Compliant, Friendship Angst, Unrequited Love, barry takes care of iris, drunk!Iris West, referenced Joe West",English,2018-09-14,Completed,2018-09-14,2147,1/1,16,49,4,327,Pre-series - The first time Iris breaks curfew after switching rooms with Barry.
15994349,Motel,/users/themistrollsin/pseuds/themistrollsin,Creator Chose Not To Use Archive Warnings,Mature,F/M,Hanson (Band),"Taylor Hanson/Original Female Character(s), Taylor Hanson/Isla Moore (OFC), Natalie Hanson/Taylor Hanson","Taylor Hanson, Original Female Character(s), Isla Moore (OFC), Natalie Hanson","Cheating, Nipple Play",English,2018-09-15,Completed,2018-09-15,1566,1/1,1,3,1,29,Taylor had learned long ago that he wouldn't get the one area in sex that he found a love for... until Isla came into his life.  She gives him that and more.
