work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15632535,last first kiss,/users/melanoradrood/pseuds/melanoradrood,Teen And Up Audiences,F/M,"Rogue One: A Star Wars Story (2016), Star Wars - All Media Types",Cassian Andor/Jyn Erso,"Cassian Andor, Jyn Erso","Alternate Universe - Canon Divergence, Ficlet Collection, Canon-Typical Violence, Fluff, Angst, flangst, Pre-Relationship",English,2018-08-04,Completed,2018-08-04,1504,1/1,2,9,1,72,They're caught in a riot - it's a good thing that Jyn's last kiss was Leia Organa.
15632517,only in my dreams,/users/melanoradrood/pseuds/melanoradrood,Explicit,F/M,"Rogue One: A Star Wars Story (2016), Star Wars - All Media Types",Cassian Andor/Jyn Erso,"Cassian Andor, Jyn Erso, Kes Dameron","Alternate Universe - Canon Divergence, Ficlet Collection, Pre-Relationship, Smut, NSFW, Angst, Smangst",English,2018-08-04,Completed,2018-08-04,2346,1/1,null,9,2,133,"Cassian can only touch her in his dreams, so he tries to enjoy it."
15614868,The Coin of Rassilon,/users/rae_marie/pseuds/rae_marie,Not Rated,Gen,Gallifrey (Big Finish Audio),,"Narvin (Doctor Who), Leela (Doctor Who), Irving Braxiatel, Romana II (Doctor Who)",,English,2018-08-04,Completed,2018-08-04,840,1/1,null,3,null,11,"If you've ever wondered what it would be like if Time Lords went grocery shopping, then here is your chance to find out.  - Rae"
15612579,That's On Me,/users/LilyBalfast/pseuds/LilyBalfast,Teen And Up Audiences,"Gen, Other","Marvel Cinematic Universe, The Avengers (Marvel Movies), Spider-Man: Homecoming (2017), Iron Man (Movies)",,"Peter Parker, Tony Stark, Pepper Potts, Happy Hogan, James ""Rhodey"" Rhodes, Friday (Marvel), Peter Quill, Stephen Strange, Mantis (Marvel), Thanos (Marvel), Steve Rogers, Vision (Marvel), Nebula (Marvel), Gamora (Marvel)","Implied/Referenced Suicide, Alcohol Abuse/Alcoholism, Vomiting, Character Death, Canonical Character Death, Depression, Self-Hatred, Self-Destruction",English,2018-08-04,Completed,2018-08-04,2882,1/1,null,5,null,57,"Tony Stark returns to Earth from Titan after the final events of Infinity War, and falls back into his old habits of alcohol abuse. His friends and loved ones try to help him, but can you really help someone if they won't even let you inside the door?"
15593424,The Great Outdoors,/users/SongofThunder/pseuds/SongofThunder,General Audiences,F/M,"The Legend of Zelda: Breath of the Wild, The Legend of Zelda & Related Fandoms",Link/Zelda (Legend of Zelda),"Link (Legend of Zelda), Zelda (Legend of Zelda)",I wrote this too fast,English,2018-08-04,Completed,2018-08-04,655,1/1,1,6,null,51,Link takes Zelda up to Hebra Peak.
15583788,"i recognize, you're a hideous thing inside",/users/softnlonely/pseuds/softnlonely,Teen And Up Audiences,M/M,The Following,Paul Torres/Jacob Wells,"Paul Torres, Jacob Wells","Implied/Referenced Alcohol Abuse/Alcoholism, Implied/Referenced Abuse, Angst, Hurt/Comfort, Alternate Universe - High School",English,2018-08-04,Completed,2018-08-04,409,1/1,null,1,null,9,"Jacob pulls Paul close to him, and it feels like he's holding a ticking time bomb to his chest."
15582141,Rock Climbing.,/users/FeliciaAmelloides/pseuds/FeliciaAmelloides,General Audiences,Gen,Steven Universe (Cartoon),,OC - Character,"Lots of OCs - Freeform, Set just after the Gem war, Random decommissioned Jaspers, Kind Of rogue Morganite, Procrastinating, mountain, Drabble",English,2018-08-04,Completed,2018-08-04,380,1/1,null,1,null,6,"A small group of decommissioned, legally defective Jaspers led by a secretly rogue Morganite climb a ladder to reach a mountain where they’ll start building a new Kindergarten for one of Yellow Diamond’s latest conquests. For this group of failures, life couldn’t be better (yet couldn’t be worse at the same time)."
15577923,Touch,/users/astralpcrker/pseuds/astralpcrker,General Audiences,M/M,"Marvel Cinematic Universe, Marvel, The Avengers (Marvel Movies), The Avengers (Marvel) - All Media Types","Thorbruce - Relationship, Thruce - Relationship","Thor (Marvel), Bruce Banner","thorbruce week 2018, Thorbruce Week, This Got Soft, Soft Boys, allusions to nsfw content, no nsfw content shown",English,2018-08-04,Completed,2018-08-04,250,1/1,2,13,null,110,"The aftermath of intimate moments always brings out the more lighthearted, clingy sides of Thor and Bruce."
15575700,What He's Always Wanted,/users/Wolfstar4evr/pseuds/Wolfstar4evr,Not Rated,,Supernatural,Sam Winchester & Dean Winchester,"Sam Winchester, Dean Winchester, Mary Winchester, Castiel","Christmas Fluff, Christmas in the Bunker, Fluff, Fluff and Angst, Dogs, sam winchester finally gets a damn dog, Dean Loves Sam, Cas loves animals, Christmas, yes i'm aware it's august, Sam-Centric, bit of Dean angst, fear of dogs, Christmas Love",English,2018-08-04,Completed,2018-08-04,3875,1/1,1,17,2,134,"It's Christmas in the bunker, complete with food, decorations and even a tree. One problem: no one knows what to get Sam.This is the youngest Winchester's first Christmas, so everything has to perfect: the food, the decorations, but especially the presents. Dean has no clue what to do.But one conversation with Cas gives him the answer, and he knows exactly what to get the kid who has wanted the same thing his entire life..."
15572778,Five Miles Away,/users/Makigaki/pseuds/Makigaki,General Audiences,Gen,Percy Jackson and the Olympians & Related Fandoms - All Media Types,"Maria di Angelo/Hades, Bianca di Angelo & Nico di Angelo, Maria di Angelo & Nico di Angelo, Bianca di Angelo & Maria di Angelo","Nico di Angelo, Bianca di Angelo, Maria di Angelo, Hades (Percy Jackson)","World War II, Italian Nico di Angelo, Introspection, Concentration Camps, Implied/Referenced Character Death",English,2018-08-04,Completed,2018-08-04,385,1/1,null,5,1,54,Because nobody talks about the oppression of Italian immigrants during World War II. Or the Italians in concentration camps.
15571182,You Never Told Us,/users/Ulteacup/pseuds/Ulteacup,Not Rated,Other,osoSong san | Osomatsu-san (Anime),"Matsuno Karamatsu & Matsuno Osomatsu, Matsuno Choromatsu & Matsuno Osomatsu, Matsuno Ichimatsu & Matsuno Osomatsu, Matsuno Jyushimatsu & Matsuno Osomatsu, Matsuno Osomatsu & Matsuno Todomatsu, Matsuno Osomatsu & Matsuno Sextuplets","Matsuno Osomatsu, Matsuno Karamatsu, Matsuno Choromatsu, Matsuno Ichimatsu, Matsuno Jyushimatsu, Matsuno Todomatsu, Matsuno Matsuyo","Angst, References to Depression, Suicide, Crying, Character Death, How Do I Tag",English,2018-08-05,Completed,2018-08-05,4595,1/1,null,14,2,176,"Osomatsu carries a burdens that is heavier than anyone thinks When he could no longer afford it, death became his choice"
15571164,Open Expressions,/users/Avistella/pseuds/Avistella,Teen And Up Audiences,"F/M, M/M","Fire Emblem Series, Fire Emblem Heroes","Hrid (Fire Emblem)/Reader, Hrid/Summoner | Eclat | Kiran","Hrid (Fire Emblem), Summoner | Eclat | Kiran, Reader","Reader-Insert, POV Second Person, Gender-neutral Reader, Hurt/Comfort",English,2018-08-05,Completed,2018-08-05,1260,1/1,3,43,3,412,Hríd confronts you after you put your life on the line for him.
15571155,How to Keep Your Lover Warm,/users/morganskye/pseuds/morganskye,Explicit,F/M,The Real Ghostbusters,Janine Melnitz/Egon Spengler,"Janine Melnitz, Egon Spengler","Fluff and Smut, Sappy",English,2018-08-05,Completed,2018-08-05,3930,1/1,2,7,null,90,"Egon has finally admitted his feelings for Janine but love can't melt snow. How will they pass the time? Yeah, they do exactly what you think they're going to do. Warning! Ultra sappy!  Rated for smutty mcsmut."
15571143,<<NTRYin Zheng >> 17     ALLYue,/users/NaraTsubaki/pseuds/NaraTsubaki,Mature,F/F,Wang Xia Fan ,allYue  - Relationship,ALLYue  - Character,,English,2018-08-05,Completed,2018-08-05,130,1/1,null,6,null,981,
