work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15537348,Need You First,/users/ImagineBeatles/pseuds/ImagineBeatles,Explicit,M/M,The Beatles (Band),John Lennon/Paul McCartney,,,English,2018-08-02,Completed,2018-08-02,3356,1/1,null,3,null,81,"After Paul comes home from his holiday, he visits John almost immediately. John can’t keeps his hands of him and very quickly things start to heat up. The only problem is, they can’t decide who’s going to get his cock sucked first."
15537333,Emma's Secret,/users/SzonKlin/pseuds/SzonKlin,General Audiences,M/M,The Halcyon (TV),Toby Hamilton/Adil Joshi,"Toby Hamilton, Adil Joshi, Emma Garland",,English,2018-08-02,Completed,2018-08-02,1051,1/1,5,9,null,97,"Emma visits Toby and Adil in Paris, where there are no laws and disapproving family to hide from Can be read as a separate fic, but it makes most sense if you read it as part of the Family Secrets series"
15537318,The Rogue Daughter,/users/violinofademigod/pseuds/violinofademigod,Teen And Up Audiences,,"Percy Jackson and the Olympians - Rick Riordan, The Heroes of Olympus - Rick Riordan",,"Malcolm Pace, Sherman Yang, Will Solace, Nico di Angelo (Mentioned), OC - Character, Original Characters","Oneshot, so far - Freeform, hopefully it will stay a oneshot, but who knows, Will Solace - Freeform, Nico Di Angelo mentioned, Camp Half-Blood (Percy Jackson), New York City, Hellhounds, Demigods, Demigods in action, Unresolved Romantic Tension, Ares - Freeform, apollo - Freeform, Athena - Freeform, Nostalgia",English,2018-08-02,Completed,2018-08-02,1761,1/1,null,null,null,11,"Three greek demigods' quest go a bit south when they take on a bit more than they can handle. But suddenly a rouge demigod appears... The misterious hero knows about camp and Chiron... But now is that possible? The three heroes have never seen this demigod before... Will they  manage to overcome the monsters and find the answers they seek? This is a Oneshot so far, but if People request it, I'll make it longer. Enjoy!!!"
15537312,"We're just machines, Lieutenant.",/users/Policeman/pseuds/Policeman,Teen And Up Audiences,M/M,Detroit: Become Human (Video Game),Hank Anderson/Connor,"Hank Anderson, Connor (Detroit: Become Human)",,English,2018-08-02,Completed,2018-08-02,1604,1/1,null,13,1,325,"Hank ironically grunts, looking into Connor's eyes. In these wonderful eyes, the color of dark chocolate, shimmers a thousand and one star comet, drowning cold stars, harmonizing everything inside. A man cautiously holds his right hand on the left cheek of the Android, touching the velvety skin that does not look like fucking metal. Outlines fingers freckles, conducts along, across. And involuntarily hisses, feeling sharp pain in the bandaged hand. Enjoy playing and at the same time. — Just shut up, okay?"
15537303,Curious George,/users/ImagineBeatles/pseuds/ImagineBeatles,Explicit,M/M,The Beatles (Band),"John Lennon/Paul McCartney, George Harrison/John Lennon/Paul McCartney",,Threesome,English,2018-08-02,Completed,2018-08-02,8095,1/1,null,6,null,112,"George wants to know if his suspicions are correct and John and Paul are really shagging, but when he’s searching for clues in Paul’s room, John and Paul walk in and have sex as George hides in a closet and watches… Until he gets caught."
15537300,On the Edge,/users/DaddyCablePool/pseuds/DaddyCablePool,Explicit,F/M,Benicio del Toro - Fandom,Benicio del Toro/Reader,"Benicio del Toro, Reader","BDSM, Vaginal Fingering, Vaginal Sex, Knife Play, Cunnilingus, BDSM Scene, Master/Slave, Dominant, Submission",English,2018-08-02,Completed,2018-08-02,2225,1/1,2,8,1,231,"""I'm going to teach you a lesson,"" he said. ""About yourself. Do you know what really turns you on?""The sharp edge of the knife floated down toward you. You struggled not to move your eyes. ""No, sir.""""It's my place to know,"" Benicio said in an even voice, unaffected. ""And I'll tell you because in your case, telling doesn't spoil the magic. In fact, I think it adds to it.""You could feel the cold aura of the knife along your skin. Not touching, never touching, but chilling you nonetheless.He paused, and then said finally, ""Anticipation.""The knife was on the pantyhose now, the cool metal handle running up one leg and down the other.""The action is your release,"" he whispered, ""but it's the anticipation that brings you there."""
15537285,Teasing Lips,/users/ImagineBeatles/pseuds/ImagineBeatles,Explicit,,The Beatles (Band),John Lennon/Paul McCartney,,,English,2018-08-02,Completed,2018-08-02,5187,1/1,1,5,null,91,Paul teases John after John had insulted him and it’s driving John insane to the point he can’t hold back anymore and he has to give in.
15537270,Forgiveness,/users/levyofthegarden/pseuds/levyofthegarden,Teen And Up Audiences,F/M,Mass Effect Trilogy,"Kaidan Alenko/Female Shepard, Kaidan Alenko & Female Shepard, Kaidan Alenko/Shepard","Kaidan Alenko, Female Shepard (Mass Effect), Jane Shepard","Mass Effect 2, old fic, Shenko - Freeform, Hurt/Comfort, Hurt",English,2018-08-02,Completed,2018-08-02,560,1/1,null,4,null,91,Kaidan gets an unexpected reply to his message. ME2. Rated T only for slight language. *Old Fic*
15537267,Discount Chocolates,/users/matryoshkaa/pseuds/matryoshkaa,General Audiences,M/M,Stray Kids (Band),"Bang Chan/Kim Woojin, Lee Felix/Seo Changbin","Bang Chan, Kim Woojin, Seo Changbin, Lee Felix","Alternate Universe, Valentine's Day, Candy, Fluff, Humor, Fluff and Humor, Platonic Relationships, Platonic Kissing, woochan - Freeform, Boys Kissing, Denial of Feelings, Developing Relationship, Romantic Friendship, soft woochan for your cold hearts, plus changbin being salty, Chocolate, Mild Language",English,2018-08-02,Completed,2018-08-02,1517,1/1,11,104,4,566,Discount chocolate is definitely the way to a man's heart.
15537258,(Xie Liu )Jiu Shu  Che De Bu Fen,/users/Sapphire1121/pseuds/Sapphire1121,Mature,M/M,Fan fiction - Fandom,,,,English,2018-08-02,Completed,2018-08-02,460,1/1,null,null,null,9,
