work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15763398,The Cat and the Cinders,/users/Tempomental/pseuds/Tempomental,Creator Chose Not To Use Archive Warnings,General Audiences,F/M,Miraculous Ladybug,"Adrien Agreste/Marinette Dupain-Cheng, Chat Noir/Ladybug (Miraculous Ladybug)","Adrien Agreste | Chat Noir, Marinette Dupain-Cheng | Ladybug, Chloe Bourgeois","Identity Reveal, Standalone, My First Work in This Fandom, My First Fanfic",English,2018-08-18,Completed,2018-08-18,7028,1/1,4,18,2,264,"After a mission, Ladybug leaves something behind. Cat Noir decides that this is the purr-fect opportunity to find out who the love of his life really is."
15740187,Most Perfect Gift:,/users/stevedannolover100781/pseuds/stevedannolover100781,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply, Underage",Mature,M/M,Hawaii Five-0 (2010),"Steve McGarrett/Danny ""Danno"" Williams","Steve McGarrett, Danny ""Danno"" Williams","Gift Fic, Gift Giving, General, Kissing, Boys Kissing, Male Slash, Slash, Boys In Love, Baseball, Romantic Gestures, Romance, Ratings: R, Rating: M, Consensual, Established Relationship, Mild Sexual Content, Hugs, Cuddling & Snuggling, Happy, Happy Ending",English,2018-08-18,Completed,2018-08-18,244,1/1,null,5,2,50,"*Summary: Steve surprises Danny with a gift, What happens?, Stay Tuned, It’s gonna be a good one!!!!*"
15730080,These Fears Inside,/users/LoveFandoms828/pseuds/LoveFandoms828,No Archive Warnings Apply,Teen And Up Audiences,M/M,Cloak & Dagger (TV 2018),"Tyrone Johnson & Original Male Character(s), Tyrone Johnson/Original Male Character(s)","Tyrone Johnson, Original Male Character(s)","Bromance, Black Character(s), fears, Nightmares, Angst, Suicidal Thoughts, Sad, Hurt/Comfort, Friends that are very close, hug, Hope, Love, Emotional, Crying, Tears, Talking, Feelings, Kissing, Gay, Cuddling, Warm, Sleeping Together, Affection, One Shot",English,2018-08-18,Completed,2018-08-18,727,1/1,null,1,null,26,Love always overcomes fear.  [Tyrone x Male Oc] ♡
15729600,Falling Head Over Heels For You,/users/SoBeBold/pseuds/SoBeBold,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,"Iron Man (Movies), The Avengers (Marvel Movies), Marvel Cinematic Universe","James ""Rhodey"" Rhodes/Tony Stark","James ""Rhodey"" Rhodes, Tony Stark, OCs","Meet-Cute, or maybe meet-ugly, First Meetings, First Kiss, Alternate Universe - Soulmates, sort of, Fluff, Romantic Fluff, Love at First Sight, they're teenagers but there's no real hanky panky so no worries, my timeline and descriptions of MIT are guaranteed to be inaccurate just roll with it folks",English,2018-08-18,Completed,2018-08-18,3427,1/1,2,27,1,148,"A weird psychic impulse won't stop pulling at Tony, and it's ruining his life. He's falling all over everything trying to figure out where the hell it's taking him. He wishes it would just go away, and it finally does, when he falls in just the right spot."
15729207,I Won't Say (I'm In Love),/users/ThatBohoFemme/pseuds/ThatBohoFemme,No Archive Warnings Apply,General Audiences,F/M,World Wrestling Entertainment,Bayley | Davina Rose/Elias Samson,"Bayley | Davina Rose, Elias Samson","Developing Relationship, Fluff, guitar shopping, Friends to 'more', Extreme Deadlines Treat, Guitars",English,2018-08-19,Completed,2018-08-19,1085,1/1,6,10,null,61,"""Just admit it."" Seth's voice crackled over the car speaker. ""I see it. Anyone with eyes can see it.""  Bayley rolled her eyes as she scoffed. Seth might know her better than most people but that didn't mean he was right this time. There was no way she was in love with him. What an insane thought! ""I'm not in love. That's ridiculous!"""
15729198,please (hermione x pansy),/users/bluemione/pseuds/bluemione,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,F/F,Harry Potter - J. K. Rowling,Hermione Granger/Pansy Parkinson,"Hermione Granger, Pansy Parkinson, Draco Malfoy, Ginny Weasley, Luna Lovegood","drarry and lunny aren't super obvious but they're there, it's a lot of hermione worrying but it has a soft ending",English,2018-08-19,Completed,2018-08-19,459,1/1,1,16,null,278,there's only one person hermione wants to find when the battle is done.
15729186,Fearing A Hero,/users/Mommui/pseuds/Mommui,No Archive Warnings Apply,General Audiences,Gen,Redwall,,"Veil Sixclaw (Redwall), Bryony (Redwall), Friar Bunford (Redwall), Bella of Brockhall (Redwall)",Outcast of Redwall,English,2018-08-19,Completed,2018-08-19,2343,1/1,null,1,null,7,"After the mousebabe Briggle upsets young Veil, he develops a fear unusual for the residents of Redwall Abbey. When he doesn't return his seat, Bryony worries as she is unable to find him inside. As twilight reigns, she embarks to the Abbey lawn. For Redwall fic month week three! Prompt: Stories"
15729183,that's not how the story goes,/users/JennyMNZ/pseuds/JennyMNZ,No Archive Warnings Apply,Teen And Up Audiences,F/M,Bleach,Kuchiki Rukia/Kurosaki Ichigo,"Kuchiki Rukia, Kurosaki Ichigo",,English,2018-08-19,Completed,2018-08-19,689,1/1,null,2,null,49,"""there's no happy endings, not here and not now; this tale is all sorrows and woes."" then why don't we change it?"
15729177,Redamancy,/users/ThatBohoFemme/pseuds/ThatBohoFemme,No Archive Warnings Apply,General Audiences,M/M,World Wrestling Entertainment,Aleister Black | Tommy End/Velveteen Dream,"Aleister Black | Tommy End, Velveteen Dream","Established Relationship, Jewelry, Fluff, Conversations, Talking to animals, Romantic Fluff, Boys In Love, Language of Flowers, Extreme Deadlines Treat, Protection Magic",English,2018-08-19,Completed,2018-08-19,1329,1/1,8,27,3,157,"Of everything written in his Grimoire, the one thing Aleister could not find a passage for involved the procurement of 'fashionable' amulets, suitable for protection charms.  He'll figure it out- just might take some patience.  Nothing is easy when one dates Dream."
15729174,Helping Out,/users/dragonshost/pseuds/dragonshost,No Archive Warnings Apply,General Audiences,F/M,Fairy Tail,Cobra/Lucy Heartfilia,"Cobra (Fairy Tail), Lucy Heartfilia",Post-Alvarez Teikoku | Alvarez Empire Arc,English,2018-08-19,Completed,2018-08-19,510,1/1,null,4,3,55,"After the final battle, Lucy finds herself approached by a man she's never spoken to before, but knows on sight."
