work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15840273,(this is a kind of grief) by mnemememory [podfic],/users/Rhea/pseuds/Rhea314,No Archive Warnings Apply,Teen And Up Audiences,F/F,Critical Role (Web Series),"Beauregard/Yasha (Critical Role), Mollymauk Tealeaf & Yasha","Yasha (Critical Role), Mollymauk Tealeaf, Gustav Fletching, Ornna (Critical Role), Beauregard (Critical Role)","Podfic Length: 10-20 Minutes, Podfic, Audio Format: Streaming, Audio Format: Download",English,2018-08-30,Completed,2018-08-30,23,1/1,1,2,1,117,"A brief, non-chronological look at Yasha's time with the Fletching and Moondrop Travelling Carnival of Curiosity (before everything goes to hell).   or; yasha is a mess and doesn't know how to deal with people who actually want her around."
15840252,Spinning Tires Into Your Heart,/users/the_big_cities_captain_jack_sparrow/pseuds/the_big_cities_captain_jack_sparrow,Graphic Depictions Of Violence,Not Rated,"F/F, F/M",Riverdale - Fandom,"Toni Topaz/Reader, toni topaz - Relationship","Reader, Toni Topaz, Jughead Jones, Sweet Pea, Fangs Fogarty","Violent, car crash, fluff at the end, Flirting",English,2018-08-30,Completed,2018-08-30,826,1/1,null,4,null,29,
15840249,Wishing Well,/users/FunkyWashingMachine/pseuds/FunkyWashingMachine,No Archive Warnings Apply,General Audiences,Gen,Voltron: Legendary Defender,Lance & Others,"Lance (Voltron), Kaltenecker (Voltron), Earth Shop Alien, others - Character, Background & Cameo Characters","Cute, Humor, Friendship, Babysitting, Fluff, Heartwarming, Alien Cultural Differences, Guilt, Knock-Knock Jokes, Bad Jokes, Bribery, Wishes",English,2018-08-30,Completed,2018-08-30,1131,1/1,null,4,null,38,Lance uses his celebrity status to make up for that time he stole money from a child
15840246,Back to Civilization,/users/Magicaleigh/pseuds/Magicaleigh,No Archive Warnings Apply,General Audiences,Gen,Lord of the Flies - William Golding,,"Ralph (Lord of the Flies), Jack Merridew",,English,2018-08-30,Completed,2018-08-30,435,1/1,null,4,1,25,A short conversation between Ralph and Jack on the plane as they leave the island (after the book ends).
15840219,I (Just) Died In Your Arms Tonight,/users/doobler/pseuds/doobler,No Archive Warnings Apply,Not Rated,M/M,"The Avengers (Marvel Movies), Marvel Cinematic Universe",Steve Rogers/Tony Stark/Stephen Strange,"Steve Rogers, Tony Stark, Stephen Strange","Hurt/Comfort, Light Angst, Action, Romance, Established Relationship, BAMF Stephen Strange",English,2018-08-30,Completed,2018-08-30,2645,1/1,5,45,4,239,Stephen Strange is a hero but sometimes he needs saving
15840213,Scarred for Life,/users/SilverWolf7/pseuds/SilverWolf7,No Archive Warnings Apply,Teen And Up Audiences,F/M,Lucifer (TV),Penelope Decker/Lucifer Morningstar,"Chloe Decker, Penelope Decker, Lucifer Morningstar (Lucifer TV)","Drabble, Wordcount: 100, Silly, Crack, Chloe walks in on Lucifer",English,2018-08-30,Completed,2018-08-30,100,1/1,28,18,1,337,Chloe walks in on Lucifer.  With her mother.
15840195,You're You,/users/Thatoneloser_kid/pseuds/Thatoneloser_kid,Creator Chose Not To Use Archive Warnings,Not Rated,F/F,The Last of Us,Dina/Ellie (The Last of Us),,,English,2018-08-30,Completed,2018-08-30,2373,1/1,4,85,8,537,Tumblr prompt: 'Ellie Dina and Jesse playing never have I ever and Jesse is trying to be a smartass and is like “never have I ever kissed a boy” and Ellie just sits there and Jesse is like “drink ellie! You told me you kissed your friend!” and she’s like “I never said it was a guy” or something and that’s how both him and Dina find out about Ellie’s gayness'
15840189,Heirlooms,/users/LeiaHope/pseuds/LeiaHope,No Archive Warnings Apply,General Audiences,,Once Upon A Time - Fandom,"Captain Hook | Killian Jones/Emma Swan, Captain Hook | Killian Jones & Emma Swan, Prince Charming | David Nolan/Snow White | Mary Margaret Blanchard","Emma Swan, Captain Hook | Killian Jones, Hope Swan-Jones, Snow White | Mary Margaret Blanchard, Prince Charming | David Nolan, Elsa (Once Upon a Time), Henry Mills (Once Upon a Time)",,English,2018-08-30,Completed,2018-08-30,792,1/1,1,36,3,391,Emma and Killian take baby Hope to Arendelle for a very special ceremony. One-shot.
15840183,He.,/users/KirMun/pseuds/KirMun,No Archive Warnings Apply,General Audiences,Gen,KirMun,,Banana (Kirby OC),eetsjoke,English,2018-08-30,Completed,2018-08-30,21,1/1,1,1,null,7,He.
15840177,Hold Me,/users/chinshimokkou/pseuds/chinshimokkou,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,Bakugou Katsuki/Todoroki Shouto,"Bakugou Katsuki, Todoroki Shouto","Soft Bakugou Katsuki, Cute Todoroki Shouto, Fluff, Cuddling & Snuggling, Cuddling, I Wrote This Instead of Sleeping, Short & Sweet",English,2018-08-30,Completed,2018-08-30,200,1/1,null,101,8,813,"“I wanted to cuddle.” He said, voice muffled. “Fuck off.”—v short and sweet todobaku in which it’s 12:00 am and todoroki just wants to cuddle."
15840138,grown up stuff,/users/starforged/pseuds/starforged,Creator Chose Not To Use Archive Warnings,General Audiences,F/M,Voltron: Legendary Defender,Lance/Pidge | Katie Holt,"Lance (Voltron), Pidge | Katie Holt","Canon Compliant, Spoilers for S7, 5 Times",English,2018-08-30,Completed,2018-08-30,1668,1/1,1,68,6,438,Five times that Pidge thought Lance was an absolute idiot. One time that she realized he wasn't.
15840129,Torrential Overflow,,No Archive Warnings Apply,Explicit,M/M,Homestuck,Eridan Ampora/Karkat Vantas,"Karkat Vantas, Eridan Ampora","Emotional Sex, Bulges and Nooks, Fluff and Angst, Angst with a Happy Ending, Self-Hatred, Hurt/Comfort, Emotional Hurt/Comfort",English,2018-08-30,Completed,2018-08-30,12085,1/1,9,21,3,113,The game is over. Everyone is finally able to relax and rebuild in 'Verse C. Except Eridan.
15840105,night lights,/users/ososexual/pseuds/ososexual,Creator Chose Not To Use Archive Warnings,General Audiences,M/M,Voltron: Legendary Defender,Keith/Lance (Voltron),"Keith (Voltron), Lance (Voltron)","Post-S7, Night time talks, Romance, Hurt/Comfort, Introspection, garrison hospital",English,2018-08-30,Completed,2018-08-30,1830,1/1,3,98,10,631,"Approaching room 1023, which wasn’t too far from his own, Lance rigidly stared at the door. Why was he getting so nervous? It was just Keith. He sucked in a breath and tapped lightly on the leaden frame. He strained his ears, staring at his slippered feet before a soft voice came from within. “Come in.” Lance opened the door and apprehensively peeked his head inside. “Hello?” He asked, squinting at the figure who was casually lounging in bed. He stepped inside, and after recognizing the other cadet, let a relaxed smile grace his lips. “Hey, Keith.” - Lance and Keith talk in the hospital for a bit after their final battle with Sendak. (Lance introspection)"
15840099,our first and last,/users/leechaeyeonsgf/pseuds/leechaeyeonsgf,Creator Chose Not To Use Archive Warnings,General Audiences,,LOONA (Korea Band),,"Son Hyejoo | Olivia Hye, Jeon Heejin",,English,2018-08-30,Completed,2018-08-30,954,1/1,null,9,null,118,
15840096,A Letter to My Love,/users/theuncertainauthor/pseuds/theuncertainauthor,No Archive Warnings Apply,Not Rated,M/M,No Fandom,,,,English,2018-08-29,Completed,2018-08-29,563,1/1,1,null,null,1,
