work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15719700,chauffeur,/users/jjokkiri/pseuds/jjokkiri,Creator Chose Not To Use Archive Warnings,Explicit,F/M,Monsta X (Band),Shin Hoseok | Wonho/Yoo Kihyun,"Shin Hoseok | Wonho, Yoo Kihyun, Lee Minhyuk (Monsta X), Lim Changkyun | I.M","Alternate Universe - Gender Changes, Smut, Plot What Plot/Porn Without Plot, Fingerfucking, This is nasty, yeoju is rich, hoseok works for her, minji and sangah exist too, ?????",English,2018-08-17,Completed,2018-08-17,4441,1/1,15,64,8,474,"Shin Hoseok works as the personal chauffeur to Yoo Yeoju, the sole heiress of Starship Enterprises with a terrible reputation and the master of getting anything and everything she wants."
15718851,Epilogue,/users/RoNask/pseuds/A%20Lost%20Time%20Journal,Creator Chose Not To Use Archive Warnings,Mature,F/M,Timeless (TV 2016),"Garcia Flynn/Lucy Preston, Garcia Flynn & Lucy Preston, Rufus Carlin/Jiya, Rufus Carlin & Jiya, Jessica Logan/Wyatt Logan, Jessica Logan & Wyatt Logan","Garcia Flynn, Lucy Preston, Denise Christopher, Jiya (Timeless), Rufus Carlin","smut with plot, More Plot than Expected, kinda angst",English,2018-08-18,Completed,2018-08-18,1809,1/1,null,8,1,205,"After the fall of Rittenhouse, the Time Team meets, their lives changed forever in more ways than one."
15718836,Something Unexpected,/users/Gozzer/pseuds/Gozzer,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,F/M,Detroit: Become Human (Video Game),Ralph (Detroit: Become Human)/Reader,"Ralph (Detroit: Become Human), Connor (Detroit: Become Human), Kara (Detroit: Become Human)","Short & Sweet, protective Reader, POV Female Character, Mentions of Murder",English,2018-08-18,Completed,2018-08-18,3963,1/1,null,21,1,261,"Reader becomes deviant and tries to hide in an abandoned house. There she meets Ralph, who ultimately allows her to stay."
15718833,Bathroom Shenanigans,/users/Addictedtotvshows/pseuds/Addictedtotvshows,Creator Chose Not To Use Archive Warnings,Explicit,F/F,Wynonna Earp (TV),"Waverly Earp/Nicole Haught, WayHaught","Waverly Earp, Nicole Haught","Smut, Fluff and Smut, Sexy Times",English,2018-08-18,Completed,2018-08-18,2589,1/1,14,214,8,3965,"As soon as Nicole closed her front door the smell of a delicious home cooked meal hit her nostrils. She could get used to this. Not this as in Waverly cooking for her even though Waverly was a magnificent cook, but this as in coming home and knowing that her girlfriend would be here or would be coming here after work. She took off her coat and boots and quickly walked over to the kitchen, a smile on her face, happy to see her girlfriend. However when she made it to the kitchen she found it empty."
15718806,One for All's Heroes and Donuts Agency,/users/AmorettaDeFane/pseuds/AmorettaDeFane,No Archive Warnings Apply,General Audiences,Gen,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,,"Yagi Toshinori | All Might, Midoriya Izuku","just strait up crack guys, not quite reluctant hero au but deku is a bit sassy so yeah theres that, sarcastic crack lol",English,2018-08-18,Completed,2018-08-18,172,1/1,1,34,1,258,"“The name of my quirk, is One For All.” All Might said, holding out his hand. “Wait, wait, wait, wait.” Izuku said. “One For All.” “Yeah?” “As in, the reverse of All For One, the super villain you took down.” “Oh. I'm surprised you know about that. Well, I mean, the quirk was made to combat All For One, so I guess?” “And this Quirk is supposed to be secret.”"
15718803,The Plunge,/users/decembersiris/pseuds/decembersiris,No Archive Warnings Apply,Not Rated,F/M,Les Miserables - All Media Types,"Enjolras/Eponine Thenardier, Enjonine","Enjolras (Les Miserables), Eponine Thenardier","A Confession, sad eponine is sad, and doesn't know how to handle it, warning, Suicide Attempt, But it's okay, please just read it, Warm and Fuzzy Feelings, Angst, Grief, Love, a little fall of rain prompt, EnjonineWeek2018",English,2018-08-18,Completed,2018-08-18,1953,1/1,1,4,null,52,"Anything was better than what Eponine was feeling... She had been fighting for so long... It was time now, wasn't it? At least, now, Enjolras might understand."
15718788,Breaking Promises In Spite of Love,/users/FayTheGay/pseuds/VesselOfLucifer,Major Character Death,Teen And Up Audiences,M/M,Supernatural,Balthazar/Gabriel (Supernatural),"Gabriel (Supernatural), Balthazar (Supernatural), Kali (Supernatural), Dean Winchester","I'm Sorry, Canonical Character Death, Suicide Attempt, Insanity, Canon Compliant, Sad Ending, Season/Series 13 Spoilers",English,2018-08-18,Completed,2018-08-18,1861,1/1,null,null,null,24,It had been a year now and it still felt surreal. The hospital. The mortality.
15718773,can i be close to you?,/users/mc087710/pseuds/mc087710,No Archive Warnings Apply,Explicit,M/M,Hockey RPF,Sidney Crosby/Evgeni Malkin,"Sidney Crosby, Evgeni Malkin","Fingering, Come Marking",English,2018-08-18,Completed,2018-08-18,1048,1/1,1,28,null,689,Sid can tell immediately what kind of night he's in for when Geno opens the door.
15718722,It's Okay,/users/Alexgalaxies/pseuds/Alexgalaxies,No Archive Warnings Apply,General Audiences,F/F,The Young and the Restless,Mariah Copeland/Tessa Porter,"Noah Newman (Young and the Restless), Mariah Copeland, Tessa Porter","Angst with a Happy Ending, Fluff",English,2018-08-18,Completed,2018-08-18,902,1/1,1,15,2,282,"It's bad at first, but it get's better and feel good I promise. Another short one! But hey Tessa is the main focus! (We've been missing her so here)"
15718704,The Games NCT 127 Play,/users/TYtrack_trash/pseuds/TYtrack_trash,Creator Chose Not To Use Archive Warnings,Teen And Up Audiences,M/M,NCT (Band),"Lee Taeyong/Seo Youngho | Johnny, Dong Si Cheng | WinWin/Nakamoto Yuta, Jung Yoonoh | Jaehyun/Kim Dongyoung | Doyoung, Lee Donghyuck | Haechan/Mark Lee","Lee Taeyong, Seo Youngho | Johnny, Dong Si Cheng | WinWin, Nakamoto Yuta, Jung Yoonoh | Jaehyun, Kim Dongyoung | Doyoung, Lee Donghyuck | Haechan, Mark Lee (NCT)","Drinking Games, College AU, drinking party, nct 127, NCT 127 is a drunk mess, No underage drinking okay hahaha, Legal Age AU",English,2018-08-18,Completed,2018-08-18,2562,1/1,null,40,3,625,"NCT 127's long-awaited reunion ends up in a drinking party celebrating their legal ages. It then continues with some drunk party games. Oneshot/BL/lots of kissing Took this from my previous fanfic on another site with Prince of Tennis Members entitled, ""The Games Seigaku Play"""
