work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15873357,No one knows you better,/users/crimsonspiderlillies/pseuds/LycroisAMV,Creator Chose Not To Use Archive Warnings,General Audiences,F/F,Shingeki no Kyojin | Attack on Titan,Krista Lenz | Historia Reiss/Ymir,"Krista Lenz | Historia Reiss, Ymir (Shingeki no Kyojin)","yumikuri, Femslash, Embedded Video, AMV",English,2018-08-28,Completed,2018-08-28,0,1/1,null,1,null,null,
15831846,My Darling (Spinoff to Unravel),/users/Dahgreatest/pseuds/Dahgreatest,"Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con, Underage",Mature,"F/F, F/M",The Walking Dead (Telltale Video Game),"Clementine/Violet (Walking Dead: Done Running), Clementine/Louis (Walking Dead: Done Running), Brief Marlon/Clementine (Walking Dead: Done Running)","Clementine (Walking Dead), AJ | Alvin Jr. (Walking Dead Video Game), Marlon (Walking Dead), Violet (Walking Dead: Done Running), Louis (Walking Dead: Done Running), (OCs borrowed by H8trzgonnah8te and OmnitrixWeilder1124), Brody, Willy, Aasim, Omar, Ruby, Tennessee, Rosie the dog, William Carver",,English,2018-08-28,Completed,2018-08-28,4752,1/1,9,37,3,413,"Pain, fear, and suffering is something Clementine knows well. Traumatized at a young age, trust has become a struggle. But when she wakes up at a boarding school things take a quick change. She promised herself not to let anyone get too close, she was failing miserably at keeping that promise.She had never been so confused about her feelings in her life. Was it possible to like more than one person, her mind was saying no, but her heart was saying ""hell yes"".Violetine and Clouis fic. Brief Marlontine Warning: Swears, Violence, Future Sex, Past Trauma, Abuse, Mentions of sexual abuse, self-harm."
15830964,Five Times,/users/bastardramseychild/pseuds/bastardramseychild,No Archive Warnings Apply,General Audiences,F/M,Rooster Teeth/Achievement Hunter RPF,Ryan Haywood/Reader,"Ryan Haywood, Reader, Geoff Ramsey, Jack Pattillo, Jeremy Dooley, Michael Jones, Gavin Free",,English,2018-08-29,Completed,2018-08-29,1247,1/1,null,23,3,186,"Five times Ryan comes into work with something from you, and one time you come in with something from him."
15830946,Completely Coco-Nuts,/users/katamari/pseuds/katamari,Creator Chose Not To Use Archive Warnings,General Audiences,"Gen, M/M",NCT (Band),"Lee Donghyuck | Haechan & Wong Yuk Hei | Lucas, Dong Si Cheng | WinWin/Lee Taeyong/Nakamoto Yuta","Lee Donghyuck | Haechan, Lee Taeyong, Dong Si Cheng | WinWin, Wong Yuk Hei | Lucas, Nakamoto Yuta","Fanfiction of Fanfiction, Coconuts, snacks, more snacks, musica demand snacks, Haechan is boss, BOSS is really boss, Fluff and Angst, Fluffy Animals, Alternate Universe - Space, Soulmates, if you like pina coladas",English,2018-08-29,Completed,2018-08-29,2262,1/1,1,14,null,114,"Haechan's getting used to life on NCT - the Felidae, the musica, the very handsome Yukhei's attentions.  There's just one thing that he's missing..."
15830940,one and only one,/users/zach_stone/pseuds/zach_stone,No Archive Warnings Apply,General Audiences,Gen,Pacific Rim (Movies),"Hermann Gottlieb & Amara Namani, Hermann Gottlieb & Mako Mori, Vik Malikova/Amara Namani, referenced Mako Mori/OFC, referenced Newton Geiszler/Hermann Gottlieb","Hermann Gottlieb, Amara Namani, Mako Mori, Vik Malikova (mentioned), Jake Pentecost (mentioned), Newt is also sort of mentioned","Post-Movie: Pacific Rim: Uprising (2018), Alternate Universe - Everyone Lives/Nobody Dies, Mako Mori Lives, (i love that that's a recommended tag), Hermann Gottlieb: Gay Mentor Extraordinaire, Dancing (kind of), Bonding, Found Family",English,2018-08-29,Completed,2018-08-29,2018,1/1,12,13,6,76,"
One and only one: In mathematics, a statement of the uniqueness of an object; the object exists, and furthermore, no other such object exists.
   After avoiding the apocalypse for a second time, the Shatterdome hosts a dance for its teenage cadets. Hermann agrees to chaperone. He's never felt that he is particularly good with the youth — but maybe there's an exception.  (aka Hermann is everyone's gay mentor because I say so.)"
15830937,Iron,/users/IlluminateandRelate/pseuds/IlluminateandRelate,Graphic Depictions Of Violence,Mature,F/M,Tokyo Ghoul,Takizawa Seidou/Yasuhisa Kurona,"Takizawa Seidou, Yasuhisa Kurona, A dumb OC","Violence, Lots of gore y'all, Kissing, Blood, happiness?, Angst with a Happy Ending, Angst, rlly angst, I have a problem, Tokyo Ghoul: re",English,2018-08-29,Completed,2018-08-29,1814,1/1,2,5,1,29,"In Europe Takizawa and Kurona run into a ghoul that challenges their new philosophies, their combat, and brings into the light that their relationship may not be as platonic as once thought."
15830928,A Matter of Time,/users/violet_daydreams/pseuds/violet_daydreams,No Archive Warnings Apply,Teen And Up Audiences,M/M,ziyoziyonoQi Miao naMou Xian  | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure,Dio Brando/Jonathan Joestar,"Dio Brando, Jonathan Joestar","mentions of Erina Pendleton, Dio's a bit possessive, im pretending the sodomy laws weren't a thing, dont mind me im just a gay who wants to write gays unhindered by society in any era, mentions of a murder plot",English,2018-08-29,Completed,2018-08-29,1679,1/1,null,27,2,172,"They're still young, Dio has no qualms waiting for Jonathan to see the light. To see that he and Dio belong together."
15830907,Lending a hand_(or in this case mouth),/users/EcchiStar18/pseuds/EcchiStar18,Creator Chose Not To Use Archive Warnings,Mature,M/M,bangtansonyeondan | Bangtan Boys | BTS,"Kim Taehyung | V/Min Yoongi | Suga, taegi","Kim Namjoon | RM, Kim Seokjin | Jin, Min Yoongi | Suga, Jung Hoseok | J-Hope, Park Jimin (BTS), Kim Taehyung | V, Jeon Jungkook","Gay, water sports, Piss Play, Omorashi, bangtan - Freeform, Face-Fucking, Smut, NSFW",English,2018-08-29,Completed,2018-08-29,1771,1/1,null,56,4,1532,After Taehyung chugged down an entire can of sprite he had to pee like. . .really bad. But schools rules state you cannot go back inside during lunch hours and the restrooms outside are being worked on. Good thing his buddy yoongi is there to help in the weirdest yet hottest way possible.
15830901,A House of Cards,/users/elkcrossing/pseuds/elkcrossing,No Archive Warnings Apply,Mature,F/M,Good Girls (TV),Beth Boland/Rio,"Beth Boland, Rio (Good Girls), Carlos (Good Girls), Annie Marks",,English,2018-08-29,Completed,2018-08-29,3474,1/1,6,65,8,496,"AU where ""we screwed right on the kitchen table, on the breakfast dishes"" was actually how Beth and Rio met."
15830892,Patience,/users/sutsop/pseuds/sutsop,No Archive Warnings Apply,Explicit,F/M,"Dragon Age: Inquisition, Dragon Age (Video Games)","Female Lavellan/Cullen Rutherford, Female Inquisitor/Cullen Rutherford","Cullen Rutherford, Female Lavellan, Lavellan (Dragon Age)","Smut, Vaginal Fingering, Teasing, Porn with Feelings",English,2018-08-29,Completed,2018-08-29,1173,1/1,2,27,null,397,"Cullen demonstrates his ambition to erase every memory she has of the apostate... ""He liked to start with his hands... It required patience, on both their parts."""
