work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15564906,A throne of flesh and blood.,/users/fictionalabyss/pseuds/fictionalabyss,Not Rated,F/M,Supernatural,Crowley (Supernatural)/You,"demon!reader - Character, demon!you - Character, Crowley (Supernatural), Lucifer (Supernatural), sam winchester., Dean Winchester","Human Furniture, past relationship with crowley, Torture Mentioned, minor blood, Threats",English,2018-08-01,Completed,2018-08-01,1639,1/1,null,2,null,45,"After taking Hell for your own, you rid it of the furniture of it's previous rulers, and make yourself a new throne of flesh and blood. Written for : spnkinkbingoSquare : Human furniture."
15555474,Little Soldier Boy.,/users/FeliciaAmelloides/pseuds/FeliciaAmelloides,Teen And Up Audiences,Gen,Avatar: The Last Airbender,,Lu Ten,"Drabble, Angst, Mentions of Violence, War, Implied/Referenced Character Death, Songfic",English,2018-08-01,Completed,2018-08-01,430,1/1,null,null,null,3,"A drabble from the days of Lu Ten, and the war he faced."
15534522,Meet... Cute?,/users/laneywrites/pseuds/laneywrites,Teen And Up Audiences,"F/M, Gen",bangtansonyeondan | Bangtan Boys | BTS,"Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader","Min Yoongi | Suga, Park Jimin (BTS), Reader, Original Characters","Meet-Cute, Angst, Hurt/Comfort, Girls' Night Out, Drinking, Fire, Angst with a Happy Ending, Mentioned Kim Namjoon | RM, One Shot, Rescue, Suspense, Clubbing, trying out a new style, please be kind, Hopeful Ending, Min Yoongi | Suga-centric, Alternate Universe, Alternate Universe - Canon Divergence, Fluff, Fluff and Angst",English,2018-08-01,Completed,2018-08-01,4343,1/1,2,10,2,107," In which a fire breaks out in a Gangnam club, and a girls' night out turns into a panicked fight to escape."
15534492,Caught You,/users/NebulaWrites/pseuds/NebulaWrites,General Audiences,"F/M, M/M",Naruto,"Senju Tobirama/Uchiha Madara, (background) Senju Touka/Uchiha Izuna","Senju Tobirama, Uchiha Madara, Uchiha Izuna, Uchiha Kagami, Uchiha Hikaku, Senju Touka","Alternate Universe, Humor, Fluff, Madara and Hikaku are dragged into this by Kagami and Izuna, Kagami is a little shit yet I adore him, Toka wanted to prove just how wrongly they were going about this, She's the best cousin can't you tell?, Tags Are Hard, help me",English,2018-08-01,Completed,2018-08-01,1473,1/1,1,37,3,277,"As anyone probably would have seen, their next few attempts to catch Tobirama in a trap ended all in failure – failures that Madara was careful to not be connected to – and while Izuna was slowly starting to waver, Kagami was still positive they could succeed. And oh did they."
15534405,"Mischief, Magic, and Mates",/users/froggydarren/pseuds/triggeringthehealing,General Audiences,"Gen, M/M",Teen Wolf (TV),"Derek Hale/Stiles Stilinski, Scott McCall & Stiles Stilinski, Allison Argent/Isaac Lahey/Scott McCall, Melissa McCall/Sheriff Stilinski","Stiles Stilinski, Scott McCall (Teen Wolf), Sheriff Stilinski, Melissa McCall, Allison Argent, Isaac Lahey, Alan Deaton","Mates, Mating Run, Spark Stiles Stilinski, Full Shift Werewolves, Mating Bond, Different Take on Mating Bonds, Mention of Claudia Stilinski, mention of Hale house fire, Future Fic, Alternate Universe, Stiles Stilinski is a Little Shit",English,2018-08-01,Completed,2018-08-01,7051,1/1,25,165,19,1267,"Stiles has always been curious about everything he encountered, always on the search for answers about how things worked and why they worked the way they did. The mating runs which take place in Beacon Hills every spring are no exception, but it took some time before he figured out that there's magic involved.  He doesn't want to find a mate for himself, not after he saw what the loss of one does to a person. He just wants to know how it all works.  Sometimes, when you take things apart and put them back together, some pieces are left behind."
15533637,1. Blinded,/users/Cinno_Angel/pseuds/Cinno_Angel,Teen And Up Audiences,,Detroit: Become Human (Video Game),Hank Anderson & Connor,"Hank Anderson, Connor (Detroit: Become Human), Elijah Kamski","Hurt/Comfort, post perfect ending, Writing prompt challenge, Tags Are Hard",English,2018-08-01,Completed,2018-08-01,1254,1/1,5,47,6,528,"After the revolution, Connor returns to working at the DPD. However, one particulare case and mission turns south and leaves Connor damaged."
15533124,Fast Food Quickie,/users/dirtydarkness418/pseuds/dirtydarkness418,Explicit,M/M,The Flash (TV 2014),Barry Allen/Savitar,"Barry Allen, Savitar","Plot What Plot/Porn Without Plot, well some plot but not really, NSFW, Booty Call, Hook Up, hate sex?, but they kinda both really dig it and it's become a thing",English,2018-08-01,Completed,2018-08-01,1331,1/1,4,10,null,124,"In a future where Iris was killed and Savitar was never defeated, occasionally, Barry is Savitar's booty call."
15533007,More Than a Weapon,/users/Bee_Boy_Apollo/pseuds/Bee_Boy_Apollo,General Audiences,M/M,"Marvel Cinematic Universe, Thor (Movies), The Incredible Hulk (2008)","Bruce Banner/Thor, Bruce Banner & Loki, Loki & Thor (Marvel)","Bruce Banner, Loki (Marvel), Thor (Marvel)","Not Avengers: Infinity War Part 1 (Movie) Compliant, Bruce Cross-Stitches, New Asgard is Set in Iceland, Loki really loves one (1) scarf, Mjolnir - Freeform",English,2018-08-02,Completed,2018-08-02,1869,1/1,6,41,6,253,"Ever since Thor and Bruce settled down in New Asgard, Bruce has been working on a cross-stitch project as a gift for Thor. Today is the day he finally gets to give it to him. ThorBruce Week - Day 1 - First Time (First time Bruce gives a gift to Thor)"
15533001,Ink-Black Feathers,/users/Amrynth/pseuds/Amrynth,General Audiences,Gen,Critical Role (Web Series),,"Vex'ahlia (Critical Role), Vax'ildan (Critical Role), Trinket (Critical Role)","Au-August, Alternate Universe - Soulmates, Soulmates, Implied Perc'ahlia",English,2018-08-02,Completed,2018-08-02,1064,1/1,2,22,null,274,Vex'ahlia and Vax'ildan cast a spell that reveals their soulmates on their skin.
15532977,Dysfunctional Love,/users/brendonstitties/pseuds/brendonstitties,Teen And Up Audiences,M/M,Detroit: Become Human (Video Game),"Connor Anderson/Markus Manfred, Connor/Markus (Detroit: Become Human)","Connor (Detroit: Become Human), Connor Anderson - Character, Hank Anderson, Conrad||RK900, Conrad Anderson, Cole Anderson, BIG FLUFFY SUMO, Markus (Detroit: Become Human), Simon (Detroit: Become Human), Simon Manfred, Kara (Detroit: Become Human), Kara Williams, Luther (Detroit: Become Human), Luther Williams, Alice Williams (Detroit: Become Human)","connor and rk900 are brothers, Or should I say CONRAD, idek I got his name from another fic XD, Hank is Connor and Conrad's adopted father, Sumo is like, 4 years old in this, Caring for Hank, Connor is barely home, Markus is a cheesy romantic, Conrad is kind of a dick to Markus, Eventual Smut, Kara is Connor's best friend, Alice and Cole are best friends, Luther's still a mf giant, Happy-ish Endings, human!AU, everyone is human",English,2018-08-02,Completed,2018-08-02,981,1/1,5,61,4,437,"Hank Anderson and his sons Connor, Conrad, and Cole have been a family for almost twelve years. Connor was eight when he was adopted by Hank, and Conrad was twelve. Hank had been married at the time, and absolutely loved his family. After Cole was born, Hank's wife passed away and he fell into a pit of depression, and started drinking his problems away. After Connor convinced him to turn his life around, they adopted Sumo and we're finally happy again. That is, until Hank was diagnosed with cancer. He was admitted to a caring facility, and nowadays Connor is always there for Hank, making sure he's fed and taking his medicine. But while Connor is there, he meets a man by the name of Markus Manfred, who has his dad registered at the same facility for a little while. Connor and him start talking, and eventually Connor can feel himself falling in love, and he doesn't know what he's doing, at all."
